"ENSEMBL","SYMBOL_wt","log2FC_wt","padj_wt","SYMBOL_KO","log2FC_KO","padj_KO"
"ENSG00000001617","SEMA3F",-0.224815950619774,0.211888581549822,"SEMA3F",-0.560427236711099,0.00146643501176815
"ENSG00000002079","MYH16",1.00525516783898,2.04110370864466e-07,"MYH16",1.38966970157194,9.72541847586919e-13
"ENSG00000002330","BAD",-0.137132588256238,0.361295327619401,"BAD",-0.0627738664600026,0.718702043541975
"ENSG00000003249","DBNDD1",-0.00323253801820536,0.999426996738855,"DBNDD1",-0.150722625594849,0.462940683337009
"ENSG00000003509","NDUFAF7",0.276336982036869,0.0363241880209753,"NDUFAF7",-0.0295803276991202,0.889984028844936
"ENSG00000005156","LIG3",-0.113369913281297,0.284836146270737,"LIG3",0.169104205962963,0.07966265995002
"ENSG00000005469","CROT",0.401315677864662,0.00353657732642678,"CROT",-0.0495048916618873,0.808181665819497
"ENSG00000005884","ITGA3",-0.933672075793435,3.03100569502206e-15,"ITGA3",-1.14768109400409,4.60605702091212e-22
"ENSG00000006327","TNFRSF12A",-0.130166846766921,0.286541013529955,"TNFRSF12A",0.146460420800531,0.20443342834502
"ENSG00000006459","KDM7A",0.371522900740355,0.0667076515329989,"KDM7A",0.037767950958078,0.892965218540264
"ENSG00000006652","IFRD1",0.0464697147310768,0.844742578120284,"IFRD1",0.155758277092883,0.352130922208024
"ENSG00000006715","VPS41",-0.577235655229809,1.588143157104e-08,"VPS41",-1.08926908021566,3.42589421397339e-24
"ENSG00000007047","MARK4",0.328552928784061,0.0158668969670315,"MARK4",0.263573868876763,0.0513886733348178
"ENSG00000007392","LUC7L",-0.164055584774924,0.0918869223175056,"LUC7L",-0.476482846084559,4.37894600170734e-08
"ENSG00000009830","POMT2",0.149767785158995,0.192559704399314,"POMT2",0.292291062997381,0.00373610768090562
"ENSG00000010295","IFFO1",0.597943738811235,1.25296342134343e-06,"IFFO1",0.181544108933508,0.203884952649973
"ENSG00000010319","SEMA3G",2.18964379174163,2.15815952093185e-05,"SEMA3G",2.16863689483134,7.06232959233349e-05
"ENSG00000011009","LYPLA2",0.278608245079986,0.000964862414655287,"LYPLA2",0.393423578571942,1.5350048272243e-06
"ENSG00000011454","RABGAP1",-0.547463240894578,9.69532299910288e-15,"RABGAP1",-0.260733390632722,0.000200965370623455
"ENSG00000012171","SEMA3B",1.43348836884968,5.65114901256451e-08,"SEMA3B",1.41030899162206,8.08824297686165e-10
"ENSG00000013364","MVP",0.243390178162366,0.153026212701455,"MVP",-0.124109408277461,0.496110332709639
"ENSG00000013375","PGM3",0.220030137998107,0.000470269397732926,"PGM3",0.266238287942704,1.28022746711058e-05
"ENSG00000013441","CLK1",-0.169888826321873,0.356889164218846,"CLK1",-0.249838244564702,0.118114954620903
"ENSG00000013503","POLR3B",-0.463606135064844,2.70323901758187e-06,"POLR3B",-0.0911334762975825,0.469466670192699
"ENSG00000013563","DNASE1L1",0.329131563851425,0.0159276937339714,"DNASE1L1",0.0566497542805288,0.766566092364683
