"ENSEMBL","SYMBOL_wt","log2FC_wt","padj_wt","SYMBOL_KO","log2FC_KO","padj_KO"
"ENSG00000005156","LIG3",-0.503118651449746,1.57328663367912e-07,"LIG3",-0.239256632761824,0.0119208769805048
"ENSG00000006327","TNFRSF12A",-0.336565943517325,0.00149110332873046,"TNFRSF12A",-0.523312475344218,4.59116896669185e-07
"ENSG00000006459","KDM7A",-0.722375996263629,0.00158503143320987,"KDM7A",-1.21552342621871,3.88437528569031e-05
"ENSG00000006652","IFRD1",-0.417135292272353,0.00691893347518524,"IFRD1",-0.522956034583036,0.00102299361956997
"ENSG00000007392","LUC7L",-0.201783771527715,0.0399688410402137,"LUC7L",-0.415489400494728,2.6629123744532e-06
"ENSG00000009830","POMT2",-0.30085545650333,0.00615886012660507,"POMT2",-0.296735342440427,0.00474997532770356
"ENSG00000013503","POLR3B",-0.332896507166261,0.00143493590993075,"POLR3B",-0.212021690047856,0.0433691202013984
"ENSG00000013573","DDX11",-0.329472762004824,0.0137047159407853,"DDX11",-0.467968579120306,0.000216393934197235
"ENSG00000014914","MTMR11",-0.490722800260643,6.92477859369913e-05,"MTMR11",-0.797979529684498,4.49506698035801e-10
"ENSG00000020633","RUNX3",-0.387374582793628,0.00791357258285496,"RUNX3",-0.451895883696027,0.00188735912465624
"ENSG00000023572","GLRX2",-0.257387152894479,0.0180915389792866,"GLRX2",-0.368096031402018,0.000279394675004831
"ENSG00000023909","GCLM",-0.578503766135718,9.06243248036798e-07,"GCLM",-0.437142339336914,0.000148297628538821
"ENSG00000026559","KCNG1",-0.414765819418925,0.00272754306903985,"KCNG1",-0.61017291053553,4.62696744025139e-05
"ENSG00000036549","ZZZ3",-0.29947869591733,0.000774838728033402,"ZZZ3",-0.197987470601748,0.0244044947379895
"ENSG00000037897","METTL1",-0.437664100592234,0.000129101174858631,"METTL1",-0.352838118929064,0.00161282776555249
"ENSG00000041802","LSG1",-0.170293025101513,0.00610916069457936,"LSG1",-0.261072119957346,4.54850421899407e-06
"ENSG00000047579","DTNBP1",-0.405110416535005,5.37289881951658e-05,"DTNBP1",-0.247508885699762,0.0102445277814579
"ENSG00000048162","NOP16",-0.240735167257915,0.00429462602391009,"NOP16",-0.178286217337492,0.0369552235608418
"ENSG00000049618","ARID1B",-0.298446055011266,0.00186909005747628,"ARID1B",-0.230096333853817,0.0134971720875319
"ENSG00000050393","MCUR1",-0.4180207187404,5.54061417119185e-08,"MCUR1",-0.235185788434503,0.00119207623791215
"ENSG00000059728","MXD1",-0.307622422987285,0.0350630156466789,"MXD1",-0.658692563252761,2.267993634829e-05
"ENSG00000060982","BCAT1",-0.414076035377437,1.69055423492325e-10,"BCAT1",-0.424165214448405,1.57633804900522e-11
"ENSG00000064419","TNPO3",-0.209004097412585,0.0176975012457171,"TNPO3",-0.173371004171005,0.046822246974314
"ENSG00000064651","SLC12A2",-0.491886324284998,6.77937409283995e-08,"SLC12A2",-0.216302434169097,0.0173767896143577
"ENSG00000065802","ASB1",-0.312632621530476,0.00414913242033542,"ASB1",-0.424922696077356,4.62882070357467e-05
"ENSG00000065809","FAM107B",-0.334689406987508,0.0212202624825334,"FAM107B",-1.23693377356998,1.90413628996988e-14
"ENSG00000065911","MTHFD2",-0.489641501212074,1.13369768012484e-06,"MTHFD2",-0.668535337959576,3.65716617637355e-11
"ENSG00000066117","SMARCD1",-0.435530069224118,3.098015045852e-05,"SMARCD1",-0.344301110373386,0.000671044495914287
"ENSG00000066583","ISOC1",-0.384647472151723,0.00145716186625281,"ISOC1",-0.356558687965137,0.00397053979618639
"ENSG00000067334","DNTTIP2",-0.221641031266604,0.0434591672639772,"DNTTIP2",-0.229351231675029,0.027071010672643
"ENSG00000069011","PITX1",-0.298071419314637,0.00786753716239227,"PITX1",-0.355973397326521,0.00113195151984756
"ENSG00000070371","CLTCL1",-0.883874800045786,0.0013487631075291,"CLTCL1",-0.578933586217401,0.00973795560686072
"ENSG00000070476","ZXDC",-0.330974701182631,0.00691051941058171,"ZXDC",-0.473545005194104,6.4015313234151e-05
"ENSG00000071243","ING3",-0.261865413778649,0.00859422313772436,"ING3",-0.466662292424747,3.58894727997385e-07
"ENSG00000071626","DAZAP1",-0.330254549657944,5.97778404877083e-07,"DAZAP1",-0.269581539912905,4.64596674207072e-05
"ENSG00000073111","MCM2",-0.681789147107768,1.60672184554417e-08,"MCM2",-0.454866605416188,0.000107728320847618
"ENSG00000075131","TIPIN",-0.380215893457838,0.00212925105645304,"TIPIN",-0.365367725428595,0.00224482526787606
"ENSG00000076003","MCM6",-0.631494160033213,4.9197314670919e-08,"MCM6",-0.849685670518749,3.6275204097265e-13
"ENSG00000078177","N4BP2",-0.276881190792182,0.0337135631926954,"N4BP2",-0.286416686006642,0.0141254232801458
"ENSG00000078399","HOXA9",-0.34620296026413,0.00246005396543721,"HOXA9",-0.338414957231251,0.00195564360298664
"ENSG00000079387","SENP1",-0.514880806471569,2.08752801623511e-07,"SENP1",-0.247710347657018,0.00953097401958839
"ENSG00000079999","KEAP1",-0.222931161866252,0.0224604593062552,"KEAP1",-0.287655014106508,0.00150380566499178
"ENSG00000082641","NFE2L1",-0.200091927439152,0.0373056486182757,"NFE2L1",-0.187295349789655,0.0416074090733607
"ENSG00000082898","XPO1",-0.223711889631548,0.00133423198805944,"XPO1",-0.166194306382327,0.0170681174614682
"ENSG00000083544","TDRD3",-0.365714662549763,0.0065214791066557,"TDRD3",-0.35487753020912,0.00623928758959861
"ENSG00000083896","YTHDC1",-0.200387638398427,0.0148942633745262,"YTHDC1",-0.222116045006444,0.00435218571647299
"ENSG00000085415","SEH1L",-0.240540173033567,0.0231783812698043,"SEH1L",-0.451268741231695,5.40630647372986e-06
"ENSG00000085760","MTIF2",-0.192721280343159,0.0459549442542847,"MTIF2",-0.283267905383421,0.00124209476332396
"ENSG00000086589","RBM22",-0.257923218684818,0.000175300870170943,"RBM22",-0.16416985149988,0.018545697677379
"ENSG00000087053","MTMR2",-0.327118331079391,0.000553719342395167,"MTMR2",-0.197310256738618,0.0420916726536366
"ENSG00000087074","PPP1R15A",-0.581028284828203,0.000180338051968405,"PPP1R15A",-0.950467534440723,1.92160016469284e-08
"ENSG00000087448","KLHL42",-0.313651236655218,7.82619949161529e-05,"KLHL42",-0.314203988569033,2.44481126748885e-05
"ENSG00000088035","ALG6",-0.54667400253879,0.00039529842882269,"ALG6",-0.327076264976574,0.0293190008982951
"ENSG00000089195","TRMT6",-0.230956485394166,0.021441039882089,"TRMT6",-0.2510791024463,0.00833492356905711
"ENSG00000089280","FUS",-0.29579390529993,0.000134688035535233,"FUS",-0.177446839917676,0.0267608440938545
"ENSG00000090432","MUL1",-0.273419096455273,0.0118964049741408,"MUL1",-0.408977054969564,4.64596674207072e-05
"ENSG00000090447","TFAP4",-0.552367872251651,1.22819455641604e-06,"TFAP4",-0.354835226161041,0.00111844320630232
"ENSG00000090861","AARS1",-0.388998639544566,8.96346035815503e-05,"AARS1",-0.251886998302752,0.0109792358796448
"ENSG00000092470","WDR76",-0.624112056603019,9.68678802981122e-09,"WDR76",-0.209880425370245,0.0390518695722768
"ENSG00000092621","PHGDH",-0.410458651258528,0.0298622653845966,"PHGDH",-0.748983516960714,0.00208364145656561
"ENSG00000093009","CDC45",-0.514851272000495,0.000210187662559577,"CDC45",-0.316613872904872,0.015991710061707
"ENSG00000095319","NUP188",-0.395900255025227,0.000550669608840467,"NUP188",-0.270532460749164,0.0172861595049868
"ENSG00000096746","HNRNPH3",-0.381168488260139,4.87202960706682e-06,"HNRNPH3",-0.312976393158792,0.000154284782311044
"ENSG00000099622","CIRBP",-0.350273345885188,0.0102402655782327,"CIRBP",-0.265590251795775,0.0452005736665866
