"ENSEMBL","SYMBOL_wt","log2FC_wt","padj_wt","SYMBOL_KO","log2FC_KO","padj_KO"
"ENSG00000001617","SEMA3F",0.546254618485371,0.000365412603287562,"SEMA3F",0.71492730150304,1.2970257725578e-05
"ENSG00000002079","MYH16",0.955200555495541,1.24531726220371e-06,"MYH16",1.3118316575641,4.61849160889190e-11
"ENSG00000002330","BAD",0.277080323304631,0.0273040518367712,"BAD",0.378495655576456,0.0016365502348111
"ENSG00000003249","DBNDD1",0.643053902691828,0.00142667004393739,"DBNDD1",1.27047759355941,3.64139803179642e-09
"ENSG00000003509","NDUFAF7",0.316043417908682,0.0141564546021731,"NDUFAF7",0.300015719681641,0.0141461634533199
"ENSG00000005469","CROT",0.457789136284029,0.000737478907428209,"CROT",0.547713837399888,3.20883041990226e-05
"ENSG00000005884","ITGA3",0.356228744919978,0.00232399024811283,"ITGA3",0.236826088376375,0.0418071632091391
"ENSG00000006715","VPS41",0.216209329690199,0.0453032133999669,"VPS41",0.208920095522975,0.0403499328938687
"ENSG00000007047","MARK4",0.682028608387871,3.11608030183158e-07,"MARK4",0.746602048417737,5.08226315469536e-08
"ENSG00000010295","IFFO1",0.442374496558239,0.000468824212311531,"IFFO1",0.318417941562799,0.0119998251833444
"ENSG00000010319","SEMA3G",0.554489488473465,0.0185581749626787,"SEMA3G",0.968641266037534,0.00506591200058996
"ENSG00000011009","LYPLA2",0.231678661156248,0.00977703066287114,"LYPLA2",0.182396950843502,0.0425511668761968
"ENSG00000011454","RABGAP1",0.362487470410371,2.97285003370228e-07,"RABGAP1",0.33414581834358,7.25625956781452e-07
"ENSG00000012171","SEMA3B",1.96425705790222,1.38844722258713e-12,"SEMA3B",1.08665479275781,4.05974936485442e-06
"ENSG00000013364","MVP",0.38673487111392,0.00956240336039645,"MVP",0.465992483544139,0.00227211418224956
"ENSG00000013375","PGM3",0.189200162570661,0.00754730252312166,"PGM3",0.408904393941945,6.0953689030705e-12
"ENSG00000013441","CLK1",0.390942318416638,0.00802947260512204,"CLK1",0.331253606491311,0.0208492566779047
"ENSG00000013563","DNASE1L1",0.292792388516938,0.0302135092890929,"DNASE1L1",0.356082873203973,0.00527472554569135
"ENSG00000014641","MDH1",0.644039333965749,5.04766606896457e-12,"MDH1",0.325000268503081,0.000506151032706628
"ENSG00000015475","BID",0.46841435859017,6.98870252355323e-07,"BID",0.217801514255645,0.0254143149750327
"ENSG00000015532","XYLT2",0.243497317246265,0.0266936504262649,"XYLT2",0.274376628335807,0.00799465316457111
"ENSG00000021645","NRXN3",0.434461898027084,0.0111717651542552,"NRXN3",0.768983088651416,0.00018135652392902
"ENSG00000022267","FHL1",0.301108769047734,0.00734650676250537,"FHL1",0.336752474606985,0.00212419206337256
"ENSG00000026103","FAS",0.708182273890555,4.47847452904331e-07,"FAS",1.01073387129414,4.42682887742696e-13
"ENSG00000032219","ARID4A",0.580616357583692,4.51421279903285e-08,"ARID4A",0.723991793030839,6.12793142824583e-12
"ENSG00000032444","PNPLA6",0.510731973291395,0.000278450329961754,"PNPLA6",0.654712606855513,1.55524008404254e-05
"ENSG00000033627","ATP6V0A1",0.37889834354221,0.00302554880456018,"ATP6V0A1",0.490010653819343,0.00023066595248506
"ENSG00000037042","TUBG2",0.408438426456569,0.0093503259164612,"TUBG2",0.3327228267654,0.0273075866341412
"ENSG00000041880","PARP3",0.259046542221268,0.0302670947789845,"PARP3",0.466849618661616,2.16475461820581e-05
"ENSG00000042317","SPATA7",0.482745666864313,0.0120355939945638,"SPATA7",0.375310655947476,0.0413853285843694
"ENSG00000042445","RETSAT",0.630407889356791,4.20955571726739e-11,"RETSAT",0.661328806269402,2.28544626699997e-12
"ENSG00000042493","CAPG",0.903951537968329,1.92029451445684e-10,"CAPG",0.96481562934443,3.4338630583756e-12
"ENSG00000046604","DSG2",0.32660270030814,0.000372931252259468,"DSG2",0.416730068329015,1.70365126809703e-06
"ENSG00000047346","ATOSA",0.765275433100198,2.78211664874041e-06,"ATOSA",0.624303272016983,0.000110477191841779
"ENSG00000048392","RRM2B",0.514683937579551,0.000258159463005686,"RRM2B",0.780142310798519,3.16829744423442e-07
"ENSG00000048471","SNX29",0.42544548186655,0.00387783145047657,"SNX29",0.430075835418868,0.00317158140944526
"ENSG00000048649","RSF1",0.217578908738485,0.0121998864314048,"RSF1",0.305436035712369,0.000153249020206617
"ENSG00000049759","NEDD4L",0.378779464331341,0.000724034476457709,"NEDD4L",0.274320085624666,0.0137547362015721
"ENSG00000050165","DKK3",0.488311069196205,2.53585502528314e-05,"DKK3",0.307350458877612,0.00836740427395518
"ENSG00000050405","LIMA1",0.63770382035981,4.76236036497056e-09,"LIMA1",0.630370633366123,8.4433809658157e-09
"ENSG00000052802","MSMO1",0.63587110365609,5.31907774217564e-05,"MSMO1",0.322380871953798,0.0261979485027293
"ENSG00000054148","PHPT1",0.30467096066972,0.0282060726806573,"PHPT1",0.4348458423162,0.00128924009123465
"ENSG00000055163","CYFIP2",0.74725846095953,1.54774591979216e-05,"CYFIP2",1.2918026460402,1.61605438269837e-12
"ENSG00000056558","TRAF1",0.721301958969448,0.000813720850586599,"TRAF1",1.20222168572172,1.93772993344065e-06
"ENSG00000060138","YBX3",0.21930711770482,0.00679572029461489,"YBX3",0.453764559215804,9.59199824939734e-10
"ENSG00000061337","LZTS1",0.899815749102842,0.00287648546478186,"LZTS1",0.90709746131599,0.00306047309604601
"ENSG00000062282","DGAT2",0.410528812463613,0.00612611501310507,"DGAT2",1.04140006166487,1.79517758135649e-09
"ENSG00000063241","ISOC2",0.580010595309167,0.000199356120771088,"ISOC2",0.691615547814317,2.92328731759098e-05
"ENSG00000064115","TM7SF3",0.503059018888625,6.36940264079628e-06,"TM7SF3",0.636437157719094,1.86267276911886e-08
"ENSG00000064300","NGFR",1.08513746289915,0.00032383277441016,"NGFR",1.01576884321176,0.000293872026998981
"ENSG00000064607","SUGP2",0.195153126513304,0.0361610521334422,"SUGP2",0.348946111145753,2.35730870844525e-05
"ENSG00000064961","HMG20B",0.235835030613287,0.0265831959905109,"HMG20B",0.379750422310552,7.26098218553935e-05
"ENSG00000064999","ANKS1A",0.431368820746209,0.00145777634051168,"ANKS1A",0.25932453229272,0.0398452043144902
"ENSG00000065054","NHERF2",0.388150228309725,0.00010073596336988,"NHERF2",0.444823475824826,4.46400563844009e-06
"ENSG00000065357","DGKA",1.02773468443939,1.00471160041392e-35,"DGKA",1.46161347736931,2.13232255846771e-77
"ENSG00000065485","PDIA5",0.308804457213906,0.00288531526859137,"PDIA5",0.542934273346389,4.47758595183059e-08
"ENSG00000065534","MYLK",0.274415651785684,0.0213765472123194,"MYLK",0.559505926790533,1.57604389788997e-06
"ENSG00000065923","SLC9A7",0.289233037256676,0.00318294932927363,"SLC9A7",0.365166252095387,5.94695420085674e-05
"ENSG00000066056","TIE1",0.630433528492469,0.000335712852323485,"TIE1",0.758442401627313,6.80359311111969e-05
"ENSG00000067064","IDI1",0.684019765376601,5.7298003005654e-05,"IDI1",0.317877088599141,0.0358606685193769
"ENSG00000067225","PKM",0.189598358818996,0.0392558740466401,"PKM",0.231955552021359,0.00699339752067537
"ENSG00000067715","SYT1",0.460482565607735,0.016622446120737,"SYT1",0.388755332753103,0.0379330778982774
"ENSG00000067829","IDH3G",0.265927377599413,0.0119651088934099,"IDH3G",0.241966681867406,0.0181063378675083
"ENSG00000068697","LAPTM4A",0.202707827669519,0.0168983208456301,"LAPTM4A",0.199507868971081,0.0147458116930969
"ENSG00000068745","IP6K2",0.61091093764812,2.58338987459518e-11,"IP6K2",0.432770984985091,2.04576545740214e-06
"ENSG00000068912","ERLEC1",0.215806935204073,0.0449567566615031,"ERLEC1",0.214471709667287,0.0350972268701535
"ENSG00000069812","HES2",1.54791088508956,0.000296770826313584,"HES2",2.23417418151887,4.54850421899407e-06
"ENSG00000069966","GNB5",0.271133663425131,0.0045343656366839,"GNB5",0.388066716557457,5.30229209556975e-06
"ENSG00000070501","POLB",0.536845815846517,3.84214716937549e-06,"POLB",0.387837640335184,0.00073724425956159
"ENSG00000071967","CYBRD1",0.494975124686812,0.00013769452632572,"CYBRD1",0.441934177431784,0.000135467072952946
"ENSG00000072062","PRKACA",0.346666572794884,0.00209812628142379,"PRKACA",0.509653052749369,4.44518088627127e-06
"ENSG00000072415","PALS1",0.258942229439401,0.00306648264471965,"PALS1",0.255628609688675,0.00222771839767258
"ENSG00000072682","P4HA2",0.394357660118644,0.00237812336907259,"P4HA2",0.618222353471564,6.06339252425392e-06
"ENSG00000072778","ACADVL",0.301198347328147,0.000362084272912037,"ACADVL",0.252871489455573,0.00180387662189699
"ENSG00000072818","ACAP1",1.07079858205686,0.00016611673333973,"ACAP1",0.767166220159983,0.00208364145656561
"ENSG00000073060","SCARB1",0.349493408983684,0.00773672144390406,"SCARB1",0.3935775520819,0.00357895831084281
"ENSG00000075426","FOSL2",0.264790716774701,0.0125538890555658,"FOSL2",0.318498218080664,0.00172089456316363
"ENSG00000076108","BAZ2A",0.231923793965774,0.0121669357450529,"BAZ2A",0.426424865273615,6.35413081540172e-07
"ENSG00000076641","PAG1",0.384229224465226,0.00266564087453739,"PAG1",0.44645747473899,0.000141083782063257
"ENSG00000076685","NT5C2",0.342687220779112,0.000308139964314726,"NT5C2",0.354160681492561,0.000156208010456027
"ENSG00000078304","PPP2R5C",0.200148680569901,0.000898101056860898,"PPP2R5C",0.263104144173973,2.26354958405356e-06
"ENSG00000079459","FDFT1",0.457395483639719,0.00078331315561822,"FDFT1",0.314163038850438,0.0181205316004823
"ENSG00000079739","PGM1",0.499299839050539,2.44298429843485e-05,"PGM1",0.347074049994581,0.00224110114726826
"ENSG00000079931","MOXD1",0.37280940274843,0.0338618235690684,"MOXD1",0.923169379218646,2.60793149991399e-05
"ENSG00000080546","SESN1",1.06301461663358,5.78432536239302e-16,"SESN1",1.25409474409805,3.30973858511541e-22
"ENSG00000081189","MEF2C",0.434454207608449,0.00859514006279449,"MEF2C",0.953763874806153,2.8736867800952e-07
"ENSG00000081760","AACS",0.36829460413503,0.00107263957367209,"AACS",0.231071831793764,0.0431253382452803
"ENSG00000081923","ATP8B1",1.02945511884645,2.34576437328003e-07,"ATP8B1",0.519057029772872,0.00325471006674837
"ENSG00000082126","MPP4",0.572313663688756,0.00031340973978848,"MPP4",0.293723782438309,0.0482013027327666
"ENSG00000082212","ME2",0.44591010154491,1.30086377732266e-08,"ME2",0.377230450317765,9.66760301633874e-07
"ENSG00000083807","SLC27A5",0.494042512193585,0.0011869828167467,"SLC27A5",0.4686101104314,0.00129602318346245
"ENSG00000084693","AGBL5",0.365489035576607,0.000478071522168794,"AGBL5",0.681318553714875,1.05360255830158e-11
"ENSG00000084754","HADHA",0.146066016701743,0.0383670847844195,"HADHA",0.208996873170826,0.0011073563009882
"ENSG00000085117","CD82",0.441964343600877,0.00132098979790135,"CD82",0.925773594744751,3.96025259236552e-10
"ENSG00000085185","BCORL1",0.404524127070804,0.00440224031151144,"BCORL1",0.957200294432178,1.57596510305079e-09
"ENSG00000085365","SCAMP1",0.360434276164826,2.72652785222918e-06,"SCAMP1",0.167326810082821,0.0422063714374036
"ENSG00000085719","CPNE3",0.3993781038323,6.35451588564009e-05,"CPNE3",0.273772161938507,0.00636059042117079
"ENSG00000085832","EPS15",0.218090705807663,0.0362116388428508,"EPS15",0.271070698634497,0.00449962500564052
"ENSG00000085998","POMGNT1",0.227163586442907,0.03234509200311,"POMGNT1",0.227920043613401,0.0238452416218027
"ENSG00000086504","MRPL28",0.316287934734152,0.0164361755682486,"MRPL28",0.256103297102968,0.0471753678616325
"ENSG00000087077","TRIP6",0.233776302528021,0.00629389842912722,"TRIP6",0.203707367439663,0.0149211567806195
"ENSG00000087088","BAX",0.424077016434867,0.00608296380235428,"BAX",0.568540804476418,0.00056127166392025
"ENSG00000087095","NLK",0.288413906381028,0.0118182177091923,"NLK",0.35847330597672,0.00107160575646415
"ENSG00000087266","SH3BP2",0.329506851897505,0.0219479632886881,"SH3BP2",0.357774542818181,0.0135768016690166
"ENSG00000088367","EPB41L1",0.307368964646161,0.00878051367197807,"EPB41L1",0.286496589401648,0.0121553461993443
"ENSG00000088832","FKBP1A",0.207630054796674,0.00963858903163045,"FKBP1A",0.176476987984355,0.0264316849678049
"ENSG00000089127","OAS1",0.948475876348057,0.000206136807000089,"OAS1",0.494917571454095,0.0124732611522326
"ENSG00000089220","PEBP1",0.172304616977995,0.015628688168033,"PEBP1",0.188440441479,0.00587918799593802
"ENSG00000089351","GRAMD1A",0.402229404796782,2.68206207134704e-05,"GRAMD1A",0.571493438447747,6.55958475747513e-10
"ENSG00000089486","CDIP1",0.334245012367785,0.00447614804543199,"CDIP1",0.450932752721502,9.77024771415519e-05
"ENSG00000090097","PCBP4",0.668977940613973,1.1576197820412e-08,"PCBP4",0.624697887230115,1.33027729624209e-07
"ENSG00000090238","YPEL3",0.919508100754341,3.76479934350081e-05,"YPEL3",0.408073886980159,0.0195640562533274
"ENSG00000090512","FETUB",2.1750638008666,7.81585810743453e-09,"FETUB",1.70955766800394,7.73228209040632e-07
"ENSG00000090776","EFNB1",0.409764804912847,0.000540458521167039,"EFNB1",0.82692554558563,1.33732119835986e-13
"ENSG00000091137","SLC26A4",1.07512557736177,1.34327991567211e-07,"SLC26A4",0.826170225949501,2.0080927260483e-05
"ENSG00000095059","DHPS",0.462081807544603,0.000358313803776706,"DHPS",0.278150001259,0.0266133882936417
"ENSG00000095203","EPB41L4B",0.440980710510578,0.00580250140734778,"EPB41L4B",0.33595976404777,0.0291565445060926
"ENSG00000095321","CRAT",0.301063503167056,0.0403514874283697,"CRAT",0.371963830525401,0.0110245719800815
"ENSG00000095380","NANS",0.258041172223395,0.0120621198145711,"NANS",0.203047822912851,0.0492467535635336
"ENSG00000095970","TREM2",5.00498805841975,5.52194614736507e-11,"TREM2",1.80545016225234,7.7459750646859e-06
"ENSG00000099337","KCNK6",0.454172928290222,0.00596443769571891,"KCNK6",1.26173178228924,4.37145084926377e-09
"ENSG00000099377","HSD3B7",0.538967821497786,0.00426668507451769,"HSD3B7",1.26429442582369,1.29226695896912e-08
"ENSG00000099785","MARCHF2",0.766769785764348,0.000296770826313584,"MARCHF2",0.941184792529581,0.000241576107882629
"ENSG00000099940","SNAP29",0.282288904448506,0.000145832970132902,"SNAP29",0.267002431003707,0.000145561407850854
"ENSG00000099968","BCL2L13",0.250288950621255,0.00237812336907259,"BCL2L13",0.18702467845403,0.026190640216202
"ENSG00000100055","CYTH4",0.684188329086206,0.00634102476096382,"CYTH4",1.00946792431061,0.00135757199936848
"ENSG00000100075","SLC25A1",0.505570721805271,3.08585123387897e-06,"SLC25A1",0.606224812589778,4.81302954006309e-08
"ENSG00000100092","SH3BP1",0.641472539047136,1.24734925107565e-07,"SH3BP1",0.755549585745793,3.01285772601315e-10
"ENSG00000100097","LGALS1",0.305872421585728,0.00231375492103699,"LGALS1",0.275653531747795,0.00512583227399951
"ENSG00000100116","GCAT",0.60115232220834,0.00053853278931872,"GCAT",0.391595147538652,0.0268017126164223
"ENSG00000100234","TIMP3",0.541889835672263,0.00143493590993075,"TIMP3",0.887399138802723,4.68733829695861e-06
"ENSG00000100298","APOBEC3H",0.535180848152171,0.0204600090221384,"APOBEC3H",0.960158958949681,0.00522094020620781
"ENSG00000100321","SYNGR1",0.575347676493383,0.00127608204050859,"SYNGR1",1.02348402576827,2.48910639585176e-06
"ENSG00000100347","SAMM50",0.235595657386082,0.000383996375986707,"SAMM50",0.207471664703527,0.00170804434526747
"ENSG00000100348","TXN2",0.256480739079888,0.000191607520105664,"TXN2",0.169213506058702,0.0180023132843883
"ENSG00000100364","KIAA0930",0.229500691641879,0.0150493375732245,"KIAA0930",0.369174395576083,3.63009650263134e-05
"ENSG00000100417","PMM1",0.322355995544326,0.00973859716056375,"PMM1",0.250938360657454,0.0387760176620947
"ENSG00000100418","DESI1",0.331912308586964,0.000229249484468008,"DESI1",0.310724972470291,0.000597706657560259
"ENSG00000100429","HDAC10",0.488274044788743,0.00338626415339291,"HDAC10",0.705867976383824,0.000135006413838047
"ENSG00000100473","COCH",0.76871235904383,0.00078331315561822,"COCH",0.480852189727354,0.00702874503690313
"ENSG00000100504","PYGL",0.335591686062433,0.000972332548362219,"PYGL",0.434913083357094,2.33245186741376e-05
"ENSG00000100612","DHRS7",0.349518880334703,0.00433693103053125,"DHRS7",0.274696336189896,0.022183550846829
"ENSG00000100644","HIF1A",0.345040143759552,0.000777112577381936,"HIF1A",0.222847869194084,0.0315049443781318
"ENSG00000100865","CINP",0.352996744278466,0.000172531806987127,"CINP",0.248076990428964,0.00814360154835399
"ENSG00000100883","SRP54",0.204410150214245,0.0105537825116115,"SRP54",0.18745379265088,0.0152360276839564
"ENSG00000100934","SEC23A",0.397259740699012,3.31651386169088e-05,"SEC23A",0.214906825542548,0.0267608440938545
"ENSG00000100997","ABHD12",0.352118404029781,1.54774591979216e-05,"ABHD12",0.358713355147007,1.07943883227224e-05
"ENSG00000101000","PROCR",0.64819350041738,5.89338741884368e-09,"PROCR",0.287685051971241,0.0119998251833444
"ENSG00000101019","UQCC1",0.237583568413221,0.0384908715348787,"UQCC1",0.231387299014036,0.0327630682853858
"ENSG00000101079","NDRG3",0.254551423135085,0.0280733558451498,"NDRG3",0.317197144650153,0.00402825107521339
"ENSG00000101307","SIRPB1",0.439182247944601,0.0169470285589178,"SIRPB1",1.14157719834054,1.45390644087503e-05
"ENSG00000101400","SNTA1",0.346914977854058,0.0226270707267814,"SNTA1",0.872217176355763,9.33141972936543e-07
"ENSG00000101844","ATG4A",0.287448253722355,0.0430537123712221,"ATG4A",0.672174634334617,7.75557761018995e-06
