"ENSEMBL","SYMBOL","log2FoldChange","padj"
"ENSG00000001084","GCLC",0.484274003779186,0.000483647145588991
"ENSG00000001167","NFYA",-0.151023891991607,0.2663840525301
"ENSG00000001629","ANKIB1",-0.150561760239766,0.145646553457882
"ENSG00000002586","CD99",-0.258573830721684,0.00249899336899357
"ENSG00000002587","HS3ST1",-0.108751485359684,0.668265998123839
"ENSG00000003400","CASP10",0.196720080174232,0.374664149356661
"ENSG00000004700","RECQL",-0.445658288506359,2.18109785747956e-06
"ENSG00000004848","ARX",3.06065608332598,2.68074099477717e-05
"ENSG00000005020","SKAP2",-0.699904057362748,6.00986405238165e-10
"ENSG00000005059","MCUB",-0.693568644324637,1.17679177241551e-09
"ENSG00000005075","POLR2J",0.0768137144209191,0.4859875663034
"ENSG00000005302","MSL3",0.008657981422119,0.951698856581089
"ENSG00000005448","WDR54",0.169446889430867,0.173223630656561
"ENSG00000005486","RHBDD2",1.19800521688553,2.23644494967882e-19
"ENSG00000005882","PDK2",1.13172578584907,0.00025691436769479
"ENSG00000005893","LAMP2",-0.0556298808375734,0.647964959833082
"ENSG00000006015","REX1BD",0.140762856798071,0.31018687948386
"ENSG00000006125","AP2B1",-0.556257159628534,6.14633792808755e-14
"ENSG00000006453","BAIAP2L1",0.753843453508042,1.67765294783088e-14
"ENSG00000006576","PHTF2",-0.112849663005947,0.320589909365763
"ENSG00000006606","CCL26",3.31383102875425,6.08816913853573e-08
"ENSG00000006695","COX10",0.0268266766961746,0.871168253690927
"ENSG00000006831","ADIPOR2",0.0881410044107157,0.279907509282027
"ENSG00000007202","BLTP2",0.026335183682841,0.867328628619142
"ENSG00000008083","JARID2",0.0278839894035819,0.89321530089423
"ENSG00000008294","SPAG9",-0.280972822007206,0.016111941918279
"ENSG00000008394","MGST1",0.249332751955309,0.00762286017158804
"ENSG00000008441","NFIX",-0.0598855946611605,0.704059424459866
"ENSG00000008838","MED24",0.402248969691515,0.00132282781848765
"ENSG00000008952","SEC62",-0.0203063002556424,0.860883940935723
"ENSG00000009694","TENM1",-2.17669833258544,1.07392890312922e-19
"ENSG00000010017","RANBP9",0.170584485772329,0.121905659279228
"ENSG00000010292","NCAPD2",-0.0442317371774809,0.789084144505441
"ENSG00000011295","TTC19",-0.315369343410119,0.001473129482817
"ENSG00000011347","SYT7",-0.42174162910738,0.101422461658372
"ENSG00000011638","LDAF1",-0.368476698013332,0.020494087438108
"ENSG00000011677","GABRA3",-1.68119198061965,2.99490623302485e-21
"ENSG00000012660","ELOVL5",-0.266604930832218,0.00681031473629261
"ENSG00000013306","SLC25A39",0.00670185261809378,0.960760410499644
"ENSG00000013561","RNF14",0.139385826907326,0.195520243125815
"ENSG00000014216","CAPN1",-0.0909499606544662,0.536192541425785
"ENSG00000017797","RALBP1",0.175906138726353,0.00572713253605331
"ENSG00000018408","WWTR1",-0.0921951657061043,0.392580945684461
"ENSG00000018510","AGPS",0.205486105710251,0.0117321899113573
"ENSG00000018699","TTC27",-0.234501853943514,0.0467820179301868
"ENSG00000019549","SNAI2",-0.0890714553268376,0.676836932792563
"ENSG00000024422","EHD2",-0.0361165182912984,0.854371821715724
"ENSG00000025772","TOMM34",-0.0166131918822706,0.899522970197549
"ENSG00000025800","KPNA6",0.0569947498396553,0.480908940699741
"ENSG00000026508","CD44",0.196520675199736,0.00331885737292641
"ENSG00000028528","SNX1",0.130375031624885,0.119993321123064
"ENSG00000030582","GRN",0.512896938626081,8.88894760910373e-06
"ENSG00000031698","SARS1",-0.118224394581336,0.3847882033256
"ENSG00000032389","EIPR1",-0.495767461730879,7.90304769075578e-07
"ENSG00000033011","ALG1",0.430624058323783,4.50662801027547e-05
"ENSG00000033050","ABCF2",0.095880293186063,0.306714452780246
"ENSG00000033327","GAB2",0.178832290042896,0.396694555259995
"ENSG00000033867","SLC4A7",0.0910728789450704,0.499803525345268
"ENSG00000035403","VCL",-0.190967758253828,0.0422466150625535
"ENSG00000036672","USP2",0.76037215834577,0.0336995772531201
"ENSG00000040531","CTNS",0.304760977866465,0.0411022766060209
"ENSG00000040608","RTN4R",0.594514946519885,0.0172915318763206
"ENSG00000041353","RAB27B",0.149691934174997,0.397443493159297
"ENSG00000041982","TNC",-1.65531186602455,3.61839283097292e-09
"ENSG00000042753","AP2S1",-0.229422584791233,0.0336706691048731
"ENSG00000046647","GEMIN8",-0.399933290360042,0.0222270345920338
"ENSG00000047849","MAP4",-0.650201877374941,5.35687158157041e-20
"ENSG00000048140","TSPAN17",0.124904909561523,0.332068485348091
"ENSG00000048342","CC2D2A",0.0800660013453844,0.600417872114968
"ENSG00000050130","JKAMP",0.243363655217257,0.0130870880058856
"ENSG00000050344","NFE2L3",0.0394987347036879,0.843362327624804
"ENSG00000050748","MAPK9",-0.565927955315392,1.42036394571622e-10
"ENSG00000051108","HERPUD1",-0.840287920697607,5.23595931860473e-08
"ENSG00000051596","THOC3",0.590884697910653,4.64142998006519e-07
"ENSG00000053501","USE1",0.0121049512122992,0.947513257024652
"ENSG00000054267","ARID4B",0.0446687350927624,0.723070144674958
"ENSG00000054277","OPN3",-0.366051307248758,0.0219838974881591
"ENSG00000054356","PTPRN",-0.217740407224657,0.345191593408345
"ENSG00000054523","KIF1B",0.1602456905819,0.0942639621192959
"ENSG00000054793","ATP9A",-0.439825036056759,0.0221140869543773
"ENSG00000054965","FAM168A",0.0972113376978949,0.574483072472888
"ENSG00000055044","NOP58",-0.363008103563775,1.87808367733572e-07
"ENSG00000055483","USP36",-0.0189762965305504,0.925050843061113
"ENSG00000056972","TRAF3IP2",0.669252716192151,2.24367426375926e-08
"ENSG00000057019","DCBLD2",-0.68586424420938,4.97847901679547e-15
"ENSG00000057657","PRDM1",-0.288950701014578,0.151513864444503
"ENSG00000058091","CDK14",-1.07564160541195,3.76729554550168e-17
"ENSG00000058668","ATP2B4",-0.813080202485911,0.000120423101686121
"ENSG00000059758","CDK17",-0.499340816281161,9.94769647849084e-06
"ENSG00000060491","OGFR",0.247743702161064,0.00138363022857768
"ENSG00000063245","EPN1",0.0366733762725355,0.820576193367324
"ENSG00000063660","GPC1",0.932594638097744,3.02423045110166e-13
"ENSG00000063854","HAGH",0.301027395311971,0.0193039988235817
"ENSG00000064763","FAR2",-1.86351785477691,1.87487218817323e-10
"ENSG00000064886","CHI3L2",0.197042231573929,0.376093145299
"ENSG00000064995","TAF11",0.0379282449548554,0.786673439781238
"ENSG00000065243","PKN2",0.116599161649455,0.288028549044506
"ENSG00000065618","COL17A1",0.0499427445348473,0.834719025113985
"ENSG00000066135","KDM4A",0.00267101035190377,0.987636607580824
"ENSG00000066557","LRRC40",0.180195854823523,0.14800912411592
"ENSG00000066777","ARFGEF1",-0.128849735462151,0.20792517717978
"ENSG00000067606","PRKCZ",3.86837981283292,6.42166528861426e-09
"ENSG00000067836","ROGDI",1.55305013989212,2.00367932535538e-12
"ENSG00000067992","PDK3",0.340272597874351,0.0169820070476563
"ENSG00000068024","HDAC4",-0.14790305395038,0.44341075282215
"ENSG00000068305","MEF2A",0.0343414295968083,0.832320401996957
"ENSG00000068438","FTSJ1",0.0856417707833193,0.480908940699741
"ENSG00000068489","PRR11",-0.616847416287232,3.46621118473396e-08
"ENSG00000068878","PSME4",0.385542161601735,8.97786613318905e-09
"ENSG00000069020","MAST4",-0.039256868612403,0.834869264621291
"ENSG00000069702","TGFBR3",-0.474752706942877,0.000268721825125396
"ENSG00000069974","RAB27A",-0.560779397914824,8.71544868776586e-07
"ENSG00000070081","NUCB2",-0.389301086854159,0.000356269298594693
"ENSG00000070214","SLC44A1",-0.447696443265122,7.56221432697893e-09
"ENSG00000070669","ASNS",-0.639894794460401,0.0516928446469202
"ENSG00000070882","OSBPL3",0.179258988564797,0.105602285641106
"ENSG00000071054","MAP4K4",-0.803836229719586,3.89088158524644e-13
"ENSG00000071205","ARHGAP10",-0.0121478281482023,0.934879028425529
"ENSG00000071794","HLTF",-0.0707812211087104,0.626781802580477
"ENSG00000072041","SLC6A15",0.0245253627051623,0.892399048352248
"ENSG00000072134","EPN2",0.120962787323073,0.360993693973548
"ENSG00000072163","LIMS2",-0.0178466645502375,0.951480039765083
"ENSG00000072210","ALDH3A2",0.0684699730664995,0.658038773062424
"ENSG00000072571","HMMR",-0.565199702484704,0.00229044353529434
"ENSG00000072786","STK10",0.246240915938748,0.0549991798842169
"ENSG00000072864","NDE1",-0.257692082913132,0.029649170688384
"ENSG00000073008","PVR",0.249558182219148,0.0532746563488016
"ENSG00000073050","XRCC1",-0.0806191951519144,0.586208018897199
"ENSG00000073150","PANX2",0.17845976279712,0.396707767173307
"ENSG00000073169","SELENOO",0.310946861272191,0.0370765708916528
"ENSG00000073756","PTGS2",1.14583832237048,0.000430738370389544
"ENSG00000073969","NSF",0.0303827217624213,0.85778990597716
"ENSG00000074657","ZNF532",-0.390358760493989,0.00099620530932505
"ENSG00000074935","TUBE1",0.0142506855424109,0.95016849462023
"ENSG00000075340","ADD2",0.0188562752148988,0.937248461862684
"ENSG00000075413","MARK3",-0.429692278844887,6.44800852954788e-14
"ENSG00000075618","FSCN1",0.327905839291065,1.04247918717492e-05
"ENSG00000075643","MOCOS",-0.172626124455948,0.243793219115049
"ENSG00000076351","SLC46A1",2.29262165736492,3.57707480276381e-08
"ENSG00000077152","UBE2T",0.212438374311785,0.168979501310192
"ENSG00000077235","GTF3C1",0.361359549488032,0.000473555463225719
"ENSG00000078237","TIGAR",0.139807928339842,0.419630061218943
"ENSG00000078246","TULP3",0.318117298780413,0.000902314599914462
"ENSG00000079277","MKNK1",0.88075386963283,7.35556106653223e-13
"ENSG00000079337","RAPGEF3",0.592357870179734,0.0193897868769228
"ENSG00000079462","PAFAH1B3",-0.0693843750169284,0.608713896653934
"ENSG00000079805","DNM2",0.023406539089482,0.886533217446906
"ENSG00000079819","EPB41L2",-0.640707147872916,4.41570112525745e-15
"ENSG00000079841","RIMS1",-0.12949412611775,0.611700437494332
"ENSG00000080189","SLC35C2",0.126801731536586,0.176935299785555
"ENSG00000080845","DLGAP4",0.282565652428863,0.0119719681262071
"ENSG00000081377","CDC14B",-0.0564677423361986,0.790238051149257
"ENSG00000081386","ZNF510",0.064651746156721,0.790238051149257
"ENSG00000081721","DUSP12",-0.00058046401978548,0.997993292062286
"ENSG00000081913","PHLPP1",0.00409268636287679,0.984108071332307
"ENSG00000082438","COBLL1",0.279322528770196,0.0128392740970819
"ENSG00000082515","MRPL22",0.296354803954002,0.00215311109274536
"ENSG00000082781","ITGB5",0.0911816263744707,0.513507208176337
"ENSG00000082805","ERC1",-0.567178153428212,3.58690633409094e-07
"ENSG00000083099","LYRM2",-0.0567274683378266,0.624149624723619
"ENSG00000084234","APLP2",-0.0741928465716559,0.482995731014052
"ENSG00000084733","RAB10",-0.004921782191471,0.970049132830379
"ENSG00000085274","MYNN",-0.0918314693750174,0.534590247754532
"ENSG00000085433","WDR47",0.389990788829452,0.0216703378886057
"ENSG00000085644","ZNF213",0.0374288461541095,0.875548740614254
"ENSG00000085871","MGST2",0.860824841618622,0.0189286524564915
"ENSG00000086062","B4GALT1",-0.039620896641398,0.826228767794406
"ENSG00000086475","SEPHS1",-0.107289250333284,0.259399035023053
"ENSG00000086712","TXLNG",-0.0813246444325391,0.464018709977935
"ENSG00000086848","ALG9",-0.275990452734614,0.104654954036173
"ENSG00000086991","NOX4",-0.0308453399522244,0.914886604246039
"ENSG00000087008","ACOX3",-0.380461583299038,0.0078011336782208
"ENSG00000087253","LPCAT2",0.18982969079057,0.275685215450204
"ENSG00000087274","ADD1",-0.0210514167129213,0.867018401681089
"ENSG00000087586","AURKA",-0.236596216442428,0.0210117150333737
"ENSG00000087842","PIR",-0.636410826147101,2.28358717505422e-05
"ENSG00000088205","DDX18",-0.110646257283094,0.045756855003765
"ENSG00000088305","DNMT3B",0.348272820737997,0.0319555671605767
"ENSG00000088727","KIF9",0.0366234943147757,0.867712036486042
"ENSG00000089053","ANAPC5",-0.114012449772799,0.0992468832771301
"ENSG00000089063","TMEM230",-0.20812430222504,0.0785563878772468
"ENSG00000089639","GMIP",1.52304087609393,1.55413735931441e-11
"ENSG00000089693","MLF2",0.540325552154531,1.00397118880944e-12
"ENSG00000090020","SLC9A1",0.368100852706505,0.00894726758878734
"ENSG00000090061","CCNK",0.539571622091149,1.73170067171467e-08
"ENSG00000090686","USP48",-0.0892567661695587,0.300814089026376
"ENSG00000090863","GLG1",-0.307427730900986,0.000216063956357921
"ENSG00000091073","DTX2",0.332649419792972,0.0107057569252325
"ENSG00000091317","CMTM6",-0.0129021440291364,0.93236273071122
"ENSG00000091409","ITGA6",-1.35142310277809,5.47411530631011e-26
"ENSG00000091436","MAP3K20",-0.259646500565265,6.72869930777967e-05
"ENSG00000091542","ALKBH5",0.148336810045404,0.137371919299106
"ENSG00000091844","RGS17",-0.572168459450402,0.00012703064342521
"ENSG00000092020","PPP2R3C",-0.0435014886534629,0.768738205723672
"ENSG00000092094","OSGEP",-0.153488566203243,0.257756055079175
"ENSG00000092871","RFFL",-0.331513755516617,0.00872718505517214
"ENSG00000092929","UNC13D",1.19563132418828,2.18637107673355e-07
"ENSG00000093144","ECHDC1",-0.160323368714064,0.0344235681996387
"ENSG00000093217","XYLB",-0.355843720243339,0.0072915454999594
"ENSG00000095539","SEMA4G",0.687655264784623,0.02559138342744
"ENSG00000095794","CREM",0.153986971622077,0.24738431151365
"ENSG00000096063","SRPK1",-0.17985116900386,0.000152663416675348
"ENSG00000096070","BRPF3",0.187109229637217,0.240759016355024
"ENSG00000097046","CDC7",0.11136079506272,0.469316749336145
"ENSG00000099326","MZF1",-0.217490458142248,0.278669106672308
"ENSG00000099364","FBXL19",0.231182532428258,0.162450333062113
"ENSG00000099814","CEP170B",0.733928961535507,1.78428256507216e-08
"ENSG00000099817","POLR2E",-0.00651143737472721,0.96820369128742
"ENSG00000099860","GADD45B",0.00388752785565653,0.986863382151681
"ENSG00000099875","MKNK2",0.424940989080912,1.31968613807347e-06
"ENSG00000099889","ARVCF",2.01232126408179,8.44000871902813e-10
"ENSG00000099991","CABIN1",0.0778118889667479,0.549625418822662
"ENSG00000100030","MAPK1",-0.0298416747904202,0.725180134506058
"ENSG00000100033","PRODH",3.54584376502288,1.47674004679453e-07
"ENSG00000100034","PPM1F",-0.080832405975911,0.592646641448968
"ENSG00000100099","HPS4",0.319159418411203,0.000980195947710852
"ENSG00000100139","MICALL1",0.285963998355368,0.00596098940307072
"ENSG00000100201","DDX17",0.268687497918255,0.000157185723260137
"ENSG00000100219","XBP1",-1.31888601162083,2.2329058132567e-23
"ENSG00000100221","JOSD1",-0.163251608891251,0.104149708862819
"ENSG00000100243","CYB5R3",0.00791970857213751,0.948625739884222
"ENSG00000100266","PACSIN2",0.104392105316266,0.372462382870966
"ENSG00000100280","AP1B1",-0.0857671658714227,0.459078890382469
"ENSG00000100290","BIK",2.29702237163691,0.000249527997199727
"ENSG00000100296","THOC5",0.167298855993163,0.0185756618220123
"ENSG00000100300","TSPO",-0.269105641055103,0.000772643163420701
"ENSG00000100304","TTLL12",0.167538601613775,0.0519155274627314
"ENSG00000100380","ST13",0.0576846306592384,0.540326677568786
"ENSG00000100401","RANGAP1",0.266663207034136,0.00530316604511155
"ENSG00000100410","PHF5A",-0.419727458213152,1.78538636445312e-05
"ENSG00000100413","POLR3H",0.227701474009153,0.0704071103940364
"ENSG00000100596","SPTLC2",-0.274953648356692,0.0238433590133107
"ENSG00000100823","APEX1",-0.146066542935839,0.206096135731747
"ENSG00000100888","CHD8",0.384030780546657,2.95285458794611e-06
"ENSG00000101084","RAB5IF",0.197071277564872,0.0862531219720351
"ENSG00000101152","DNAJC5",-0.11416543741323,0.380050128794667
"ENSG00000101158","NELFCD",0.0877622281910438,0.459620528380349
"ENSG00000101160","CTSZ",0.103111619212892,0.605220075308798
"ENSG00000101193","GID8",0.2051246394482,0.0204762145361275
"ENSG00000101199","ARFGAP1",0.0963308405355968,0.506962430538016
"ENSG00000101216","GMEB2",-0.0470839980121395,0.784514319231759
"ENSG00000101220","ADISSP",-0.0751787748206777,0.640281767533758
"ENSG00000101236","RNF24",-0.517568425712388,2.06076610327094e-07
"ENSG00000101343","CRNKL1",-0.0307707639857146,0.819813742726071
"ENSG00000101346","POFUT1",-0.133098113577868,0.0840740533538711
"ENSG00000101347","SAMHD1",0.285751053375716,0.0316944862986387
"ENSG00000101417","PXMP4",-0.0546893020109371,0.800399453939205
"ENSG00000101442","ACTR5",0.215216522991507,0.195520243125815
"ENSG00000101574","METTL4",-0.124693088744876,0.486106142130873
"ENSG00000101624","CEP76",0.740638791238986,1.51960133153144e-07
"ENSG00000101639","CEP192",-0.091500231735703,0.567914390199289
"ENSG00000101654","RNMT",0.10158780899398,0.289136080865608
"ENSG00000101665","SMAD7",0.253260290007175,0.177797968800691
"ENSG00000101773","RBBP8",-0.210468694648169,0.0295694201513271
"ENSG00000101882","NKAP",0.207469703577643,0.0292466778609956
"ENSG00000101974","ATP11C",-0.432128349956076,4.52145318494402e-06
"ENSG00000102174","PHEX",-1.01901206232342,1.23161653660966e-06
"ENSG00000102225","CDK16",-0.104392521444913,0.378830811668318
"ENSG00000102265","TIMP1",0.701206772796412,2.71465305900623e-06
"ENSG00000102271","KLHL4",-1.99385671455571,5.9851393673063e-11
"ENSG00000102312","PORCN",0.813319932389232,0.000513626419777589
"ENSG00000102359","SRPX2",-0.107918319412406,0.600713385395912
"ENSG00000102384","CENPI",0.104573618763175,0.419496055965327
"ENSG00000102390","PBDC1",0.037885601446813,0.77780335901002
"ENSG00000102393","GLA",0.677014767138411,5.2611055519646e-10
"ENSG00000102554","KLF5",1.08807784281176,8.46687626478566e-18
"ENSG00000102575","ACP5",-0.294283957816627,0.253268319916877
"ENSG00000102780","DGKH",-0.0442188731993662,0.787901982181026
"ENSG00000102858","MGRN1",0.440014568136312,0.00203592075940722
"ENSG00000102882","MAPK3",-0.0724957294870542,0.655137362473691
"ENSG00000102921","N4BP1",0.068597073525609,0.573695426905408
"ENSG00000102981","PARD6A",0.758917322584037,0.00593361086970945
"ENSG00000103035","PSMD7",-0.312796560626129,4.97172552582959e-06
"ENSG00000103066","PLA2G15",0.278849743432075,0.0485249489921229
"ENSG00000103111","MON1B",-0.458734770014517,8.94462606264467e-08
"ENSG00000103121","CMC2",0.0522791419112462,0.675005624681773
"ENSG00000103168","TAF1C",0.142114711290269,0.297558961923089
"ENSG00000103187","COTL1",0.113553323281693,0.369961223767002
"ENSG00000103319","EEF2K",-0.329247600273661,0.00261389336337095
"ENSG00000103342","GSPT1",-0.0648049336217438,0.437286845500067
"ENSG00000103351","CLUAP1",0.158264881553362,0.141658898455644
"ENSG00000103423","DNAJA3",-0.0602317394068816,0.644198028204828
"ENSG00000103510","KAT8",-0.214655817795036,0.135727448945072
"ENSG00000103740","ACSBG1",0.0458475558398854,0.881658198971109
"ENSG00000103855","CD276",0.558114607909568,8.52836116715264e-08
"ENSG00000103942","HOMER2",-0.136614388037237,0.286964323570242
"ENSG00000103978","TMEM87A",0.221493232524789,0.00588957680548086
"ENSG00000104064","GABPB1",-0.161351329259386,0.204886469070485
"ENSG00000104299","INTS9",-0.581454028274469,9.63510009000298e-05
"ENSG00000104419","NDRG1",0.0318498384815555,0.908970173816647
"ENSG00000104524","PYCR3",0.185959358184846,0.211562326099566
"ENSG00000104529","EEF1D",-0.156529733103851,0.0429886123178132
"ENSG00000104613","INTS10",0.511592538850955,1.17150279580573e-07
"ENSG00000104783","KCNN4",0.0789826944348304,0.508517313725858
"ENSG00000105185","PDCD5",0.0206839210471237,0.911066207019413
"ENSG00000105255","FSD1",0.231321974801655,0.231062278245571
"ENSG00000105325","FZR1",0.178533126782131,0.197742276024506
"ENSG00000105329","TGFB1",0.238033939895524,0.156270961762586
"ENSG00000105373","NOP53",0.0937126187552435,0.366580935602348
"ENSG00000105464","GRIN2D",0.0657784743985772,0.811505638794695
"ENSG00000105472","CLEC11A",-0.295435724046277,0.00654803796017402
"ENSG00000105613","MAST1",0.090433153015782,0.738207348876507
"ENSG00000105851","PIK3CG",0.346254748509025,0.113821416064166
"ENSG00000105855","ITGB8",0.859360889018091,0.000878085327512787
"ENSG00000105866","SP4",-0.290342546608221,0.0636915097072333
"ENSG00000105887","MTPN",-0.0677367740280071,0.302215181297264
"ENSG00000105976","MET",0.169658506624041,0.0623255177119437
"ENSG00000106049","HIBADH",-0.907589479830844,3.36390753862977e-08
"ENSG00000106077","ABHD11",-0.154232879137464,0.247532316888208
"ENSG00000106089","STX1A",-0.422280444329093,0.00113538641091348
"ENSG00000106123","EPHB6",2.74902826978328,6.29366759784781e-24
"ENSG00000106554","CHCHD3",-0.552512799601574,3.38428561062116e-08
"ENSG00000106591","MRPL32",-0.114067135535678,0.403752511654262
"ENSG00000106605","BLVRA",0.28284745344077,0.0435805608141839
"ENSG00000106617","PRKAG2",-0.0757804803333095,0.697130619041025
"ENSG00000106635","BCL7B",-0.0779911689531651,0.523996396768027
"ENSG00000106689","LHX2",-0.0170471421551793,0.949978684016346
"ENSG00000106771","TMEM245",-0.289681608846454,6.3552249819444e-06
"ENSG00000106803","SEC61B",-0.108770289463357,0.285867051609149
"ENSG00000106823","ECM2",-0.334269644124902,0.165209446089009
"ENSG00000106976","DNM1",-0.155301108226686,0.383213338286658
"ENSG00000107020","PLGRKT",-0.404183729164765,0.00918488450795682
"ENSG00000107105","ELAVL2",-0.118144501945029,0.62027454102075
"ENSG00000107130","NCS1",0.408647680711058,6.5156086209866e-05
"ENSG00000107282","APBA1",-0.668297643563116,0.0319499076552544
"ENSG00000107372","ZFAND5",-0.0918998175703761,0.352435685781054
"ENSG00000107651","SEC23IP",0.0890896685846786,0.342145654920166
"ENSG00000107731","UNC5B",-0.729527264193575,0.00251459141148879
"ENSG00000107854","TNKS2",0.285853486560555,0.016584482262891
"ENSG00000107862","GBF1",0.218514018092526,0.0923443753924233
"ENSG00000107863","ARHGAP21",0.0221778119324152,0.909517929778227
