"ENSEMBL","SYMBOL","log2FoldChange","padj"
"ENSG00000001084","GCLC",-0.69434755415257,1.2088014357491e-05
"ENSG00000001167","NFYA",-0.504515968543309,7.063302559374e-05
"ENSG00000005302","MSL3",-0.19294746495221,0.0376124338668505
"ENSG00000005486","RHBDD2",-0.295777251665148,0.0268840185689424
"ENSG00000006695","COX10",-0.222627756636697,0.0315298756639706
"ENSG00000008083","JARID2",-0.273562499288759,0.0266051459299343
"ENSG00000008394","MGST1",-0.447066722523304,1.52078475735813e-06
"ENSG00000008952","SEC62",-0.183235795740951,0.0102183418618527
"ENSG00000010017","RANBP9",-0.293396558011889,0.00644459767887997
"ENSG00000011347","SYT7",-0.997715733526827,0.00387613736548424
"ENSG00000013561","RNF14",-0.270881410053747,0.00583143378810135
"ENSG00000018699","TTC27",-0.27201492390654,0.0173989054517274
"ENSG00000019549","SNAI2",-0.337686583442178,0.0375187937458845
"ENSG00000031698","SARS1",-0.476564349428702,3.11852316017403e-05
"ENSG00000033011","ALG1",-0.404842562712388,0.000426348757565914
"ENSG00000033050","ABCF2",-0.309410964861482,0.000116697040990564
"ENSG00000040531","CTNS",-0.318582756181952,0.0299172877582059
"ENSG00000041353","RAB27B",-0.330143399622694,0.0280128894734293
"ENSG00000041982","TNC",-0.359468887453726,0.0442796032035821
"ENSG00000046647","GEMIN8",-0.553690714598736,0.00245845901135974
"ENSG00000048342","CC2D2A",-0.369982181405787,0.00199718650089424
"ENSG00000050130","JKAMP",-0.604430058167166,9.69459958740395e-09
"ENSG00000050748","MAPK9",-0.205291716019629,0.0244714743788807
"ENSG00000051108","HERPUD1",-0.305569841442936,0.0254779945987848
"ENSG00000053501","USE1",-0.28062495987415,0.0165364960382967
"ENSG00000054277","OPN3",-0.547547401943637,0.00106541982263091
"ENSG00000054356","PTPRN",-0.992786633191768,0.00207700143165499
"ENSG00000055044","NOP58",-0.208255855663826,0.00543768055522899
"ENSG00000055483","USP36",-0.270460002901284,0.0215301486010619
"ENSG00000057657","PRDM1",-0.855287031481418,0.000533727304734647
"ENSG00000059758","CDK17",-0.258936593057157,0.0215301486010619
"ENSG00000060491","OGFR",-0.202916821193408,0.017846882978314
"ENSG00000064995","TAF11",-0.220511990006939,0.0201220958176855
"ENSG00000066135","KDM4A",-0.280834273448278,0.0084693973895029
"ENSG00000068024","HDAC4",-0.4258252410092,0.0142199077511519
"ENSG00000068438","FTSJ1",-0.353004105318868,0.000296624920989028
"ENSG00000070214","SLC44A1",-0.26532554925491,0.00103262869240301
"ENSG00000070669","ASNS",-0.593813610757487,0.015072063337168
"ENSG00000072041","SLC6A15",-0.430333191551707,0.000100158267347365
"ENSG00000073008","PVR",-0.416656937212715,0.000898447299941645
"ENSG00000073150","PANX2",-0.47639385109424,0.0224279313960663
"ENSG00000073756","PTGS2",-2.07394974877196,1.05751768152341e-07
"ENSG00000074657","ZNF532",-0.245236113681899,0.0383421907214146
"ENSG00000074935","TUBE1",-0.946367129575471,2.27365222129871e-06
"ENSG00000075413","MARK3",-0.146619407571654,0.0235116500032538
"ENSG00000075643","MOCOS",-0.400873531959414,0.00274701733584951
"ENSG00000077152","UBE2T",-0.326199771091245,0.0214213325967956
"ENSG00000080189","SLC35C2",-0.212469001558385,0.01601597064596
"ENSG00000081721","DUSP12",-0.376498582107752,0.00225163643446735
"ENSG00000082515","MRPL22",-0.301323498408048,0.00266340304039222
"ENSG00000082781","ITGB5",-0.283793912643903,0.00996512797075439
