"ENSEMBL","SYMBOL","log2FoldChange","padj"
"ENSG00000001629","ANKIB1",0.209473491673885,0.0272202637210981
"ENSG00000002586","CD99",0.236366610106771,0.00597730072968778
"ENSG00000002587","HS3ST1",0.602386425199232,0.0144350489649071
"ENSG00000003400","CASP10",0.501695535658116,0.0186132046185068
"ENSG00000004700","RECQL",0.211418454019755,0.0298388719001501
"ENSG00000004848","ARX",0.384503219677418,0.0403499328938687
"ENSG00000005020","SKAP2",0.266509234296413,0.0132275887683603
"ENSG00000005059","MCUB",0.233498340927795,0.0337592825143145
"ENSG00000005075","POLR2J",0.186362297937763,0.0388730432379559
"ENSG00000005448","WDR54",0.319364685237203,0.004086398108467
"ENSG00000005882","PDK2",0.561412432181865,0.0162909904284357
"ENSG00000005893","LAMP2",0.302325170101741,0.000478389416481775
"ENSG00000006015","REX1BD",0.24179902405994,0.0431918851930844
"ENSG00000006125","AP2B1",0.369988420499705,8.06183929562767e-07
"ENSG00000006453","BAIAP2L1",0.384015466686988,0.000155564350449238
"ENSG00000006576","PHTF2",0.285624128173965,0.00227433402466204
"ENSG00000006606","CCL26",0.433841536280261,0.0415625575836648
"ENSG00000006831","ADIPOR2",0.239151269519644,0.00048273144881963
"ENSG00000007202","BLTP2",0.22943125066197,0.0150868317337729
"ENSG00000008294","SPAG9",0.371313461139324,0.000965432664289306
"ENSG00000008441","NFIX",0.231687055023377,0.040561152669595
"ENSG00000008838","MED24",0.274766596579555,0.0261172426476057
"ENSG00000009694","TENM1",0.544846866932878,0.00205277938629579
"ENSG00000010292","NCAPD2",0.290576063177641,0.00697779943671546
"ENSG00000011295","TTC19",0.324604914645549,0.000891234655514301
"ENSG00000011638","LDAF1",0.315104220229655,0.0261794260426669
"ENSG00000011677","GABRA3",0.263367109347939,0.0364858970111275
"ENSG00000012660","ELOVL5",0.241060063055645,0.0128122421475753
"ENSG00000013306","SLC25A39",0.271059953612074,0.00104763080069836
"ENSG00000014216","CAPN1",0.371411120837951,0.000891234655514301
"ENSG00000017797","RALBP1",0.155945675644974,0.0191662348012701
"ENSG00000018408","WWTR1",0.307800840842796,0.000385826602360985
"ENSG00000018510","AGPS",0.226109336409681,0.0053477512175511
"ENSG00000024422","EHD2",0.306287506520318,0.0111091728486575
"ENSG00000025772","TOMM34",0.200721213842501,0.00925918457746472
"ENSG00000025800","KPNA6",0.267982552171063,1.16545181365032e-05
"ENSG00000026508","CD44",0.214981711199617,0.00139472220822807
"ENSG00000028528","SNX1",0.192059431797901,0.0145837829151514
"ENSG00000030582","GRN",0.258935392693705,0.0252257960573106
"ENSG00000032389","EIPR1",0.265611950753672,0.0063279374118336
"ENSG00000033327","GAB2",0.799277377830594,0.00058624027686576
"ENSG00000033867","SLC4A7",0.343380301247977,0.00113195151984756
"ENSG00000035403","VCL",0.332213948853776,0.000140012743402685
"ENSG00000036672","USP2",2.71198250870174,5.84158161956606e-05
"ENSG00000040608","RTN4R",0.914811430014598,0.000785796291042598
"ENSG00000042753","AP2S1",0.226172891059329,0.0315435795445027
"ENSG00000047849","MAP4",0.419360511915142,1.9964313997421e-09
"ENSG00000048140","TSPAN17",0.328023558699098,0.00224266474040003
"ENSG00000050344","NFE2L3",0.307197733229232,0.0140287391624027
"ENSG00000051596","THOC3",0.265304968936667,0.0233625063932671
"ENSG00000054267","ARID4B",0.200639208953447,0.0251264928249141
"ENSG00000054523","KIF1B",0.259553018707631,0.00332188837410285
"ENSG00000054793","ATP9A",0.610683202819899,0.000536771572743162
"ENSG00000054965","FAM168A",0.27027762488077,0.0400806779308237
"ENSG00000056972","TRAF3IP2",0.380668136821264,0.00140089531834806
"ENSG00000057019","DCBLD2",0.260496781122629,0.00401038100242583
"ENSG00000058091","CDK14",0.485900725993927,1.03715065795392e-05
"ENSG00000058668","ATP2B4",0.952435398873664,7.08600077637049e-06
"ENSG00000063245","EPN1",0.229900966454603,0.0261026456414928
"ENSG00000063660","GPC1",0.736869174578727,1.29226695896912e-08
"ENSG00000063854","HAGH",0.412472122968928,0.000994704920954888
"ENSG00000064763","FAR2",0.497886302298729,0.00339625780127168
"ENSG00000064886","CHI3L2",0.405477110931403,0.0396927076159896
"ENSG00000065243","PKN2",0.211093015680263,0.0277488929982439
"ENSG00000065618","COL17A1",0.488479739374144,0.0025079510991379
"ENSG00000066557","LRRC40",0.241187452911872,0.0347272383631015
"ENSG00000066777","ARFGEF1",0.252254108596808,0.00456749496910047
"ENSG00000067606","PRKCZ",0.475786608682918,0.0287845858733945
"ENSG00000067836","ROGDI",0.706662073419279,0.00108046612465151
"ENSG00000067992","PDK3",0.736720825344756,5.79597905331952e-07
"ENSG00000068305","MEF2A",0.302090429673964,0.00249417156550785
"ENSG00000068489","PRR11",0.611195031547986,5.97907366177703e-08
"ENSG00000068878","PSME4",0.170235256457623,0.024031941235691
"ENSG00000069020","MAST4",0.387514395378069,0.000942678355593316
"ENSG00000069702","TGFBR3",0.242764389522629,0.0494659298042293
"ENSG00000069974","RAB27A",0.297221879796822,0.00702542483998422
"ENSG00000070081","NUCB2",0.545338551334177,5.71217583837789e-07
"ENSG00000070882","OSBPL3",0.703051254298541,3.61530185907135e-12
"ENSG00000071054","MAP4K4",0.574499653814926,1.77210351702727e-07
"ENSG00000071205","ARHGAP10",0.251163608806327,0.0024184868817766
