"ENSEMBL","SYMBOL","log2FoldChange","padj"
"ENSG00000000457","SCYL3",-0.0131349328779002,0.970859216575435
"ENSG00000003137","CYP26B1",0.138438788351581,0.630564442425026
"ENSG00000004399","PLXND1",-0.243569951753987,0.190561628795523
"ENSG00000004478","FKBP4",0.287659312597311,0.000142559390119285
"ENSG00000004534","RBM6",-0.0804275340780253,0.49103145926372
"ENSG00000005100","DHX33",-0.00999040645550699,0.950944313470453
"ENSG00000005194","CIAPIN1",0.330206600581012,0.000101967042455525
"ENSG00000005238","ATOSB",0.555026572585669,0.000227802093973856
"ENSG00000005471","ABCB4",-0.123162487577468,0.666560616742483
"ENSG00000005801","ZNF195",0.734707908953817,4.58680362426924e-13
"ENSG00000006016","CRLF1",1.13375519938329,7.04948775307557e-05
"ENSG00000006282","SPATA20",0.258056459797611,0.0616170799559833
"ENSG00000006451","RALA",0.161077605870437,0.062185162079605
"ENSG00000006534","ALDH3B1",0.346022673543826,0.0291844406913327
"ENSG00000006634","DBF4",-0.601885993711832,6.86007055429134e-10
"ENSG00000007168","PAFAH1B1",0.0039344960467583,0.982012075006714
"ENSG00000007255","TRAPPC6A",0.380591996774691,0.117981341796744
"ENSG00000007866","TEAD3",1.23593500947831,9.43146587410432e-20
"ENSG00000007968","E2F2",-0.846876830608614,3.45538273439769e-05
"ENSG00000008282","SYPL1",0.123431064617066,0.196921669429802
"ENSG00000008869","HEATR5B",0.39535458777224,0.00297337505836705
"ENSG00000008988","RPS20",0.0739483960184865,0.275295988055012
"ENSG00000009954","BAZ1B",-0.232514379204486,0.0197501179246645
"ENSG00000010256","UQCRC1",0.129614482518173,0.194200000868891
"ENSG00000010270","STARD3NL",-0.449047572338339,0.00062218869958059
"ENSG00000010278","CD9",-1.06871650292684,9.48755680969757e-05
"ENSG00000011114","BTBD7",-0.297456164902208,0.000712202635364127
"ENSG00000011201","ANOS1",-1.21463079617291,8.21590075630268e-09
"ENSG00000011260","UTP18",-0.261804203940024,0.0055183553230967
"ENSG00000011304","PTBP1",-0.288385525687985,0.000223575701727588
"ENSG00000011376","LARS2",-0.12839113612893,0.266955207838045
"ENSG00000011405","PIK3C2A",0.186933538009283,0.010121738677934
"ENSG00000011422","PLAUR",-0.60130216952786,1.3226004127395e-10
"ENSG00000011478","QPCTL",-0.268310013118581,0.155483349262409
"ENSG00000012048","BRCA1",-0.0504767895451649,0.720638389155093
"ENSG00000012232","EXTL3",-0.101657895760673,0.335648881662397
"ENSG00000012983","MAP4K5",-0.348809075811812,8.96520980192276e-06
"ENSG00000013810","TACC3",-0.284409688285581,0.0220458351622295
"ENSG00000014138","POLA2",-0.137410166671313,0.384518626245254
"ENSG00000015153","YAF2",-0.28729223250829,0.00584891363121347
"ENSG00000015171","ZMYND11",-0.698963093594851,2.10986310541153e-21
"ENSG00000018869","ZNF582",2.75422725258349e-05,0.999987733893952
"ENSG00000020922","MRE11",-0.0914142810992002,0.471646854745667
"ENSG00000021355","SERPINB1",-0.0425662853299359,0.886097946475146
"ENSG00000021826","CPS1",-1.43604705188777,1.31207166982674e-12
"ENSG00000022277","RTF2",0.217646130830966,2.65693784595172e-05
"ENSG00000023608","SNAPC1",0.0760307028869148,0.586936738683906
"ENSG00000023839","ABCC2",0.557399135950988,0.0432503887940267
"ENSG00000026751","SLAMF7",0.798467866951384,9.83111467856846e-05
"ENSG00000027075","PRKCH",0.483682938943086,0.0266695575719036
"ENSG00000027697","IFNGR1",0.438295692575074,0.0196358658962655
"ENSG00000027847","B4GALT7",0.227617329460423,0.0406492873076721
"ENSG00000028277","POU2F2",-0.558880773028579,0.00293613861314918
"ENSG00000029363","BCLAF1",0.0129850325218223,0.933964719214992
"ENSG00000029639","TFB1M",-0.575875169825765,3.95129073731025e-05
"ENSG00000029993","HMGB3",-0.0860004884138468,0.63031915016314
"ENSG00000030110","BAK1",0.672205066200518,3.05254333922421e-08
"ENSG00000030419","IKZF2",-0.150141514693256,0.582809302975743
"ENSG00000034510","TMSB10",-0.129229518415778,0.357175195550111
"ENSG00000035681","NSMAF",-0.890162713068752,1.17119440860888e-20
"ENSG00000036054","TBC1D23",0.193100015830104,0.104579771389842
"ENSG00000036257","CUL3",-0.245403669853188,0.00112073960813496
"ENSG00000040341","STAU2",-0.729413631602382,1.15950518536966e-06
"ENSG00000040731","CDH10",0.581229762631324,0.0814373256868244
"ENSG00000043355","ZIC2",0.147536457039767,0.386253661837999
"ENSG00000044459","CNTLN",-0.360110593697554,0.000237597408119952
"ENSG00000048028","USP28",-0.131963347448183,0.280352392979065
"ENSG00000049130","KITLG",1.08550768405035,1.60262183318449e-10
"ENSG00000051180","RAD51",-0.423963511806202,0.00560065241539739
"ENSG00000051341","POLQ",-0.109884618217833,0.51364955448864
"ENSG00000052723","SIKE1",0.715558242325319,1.08821903290836e-20
"ENSG00000053900","ANAPC4",-0.388931571682949,2.83251528501118e-05
"ENSG00000054118","THRAP3",-0.512601075593945,1.13327795770952e-15
"ENSG00000054654","SYNE2",-1.0321867017452,2.89043497674154e-12
"ENSG00000056097","ZFR",-0.0865864651230732,0.396136690887151
"ENSG00000057704","TMCC3",0.0292426070454201,0.930438402845965
"ENSG00000057757","PITHD1",-0.264277017666102,0.00672918619556961
"ENSG00000058056","USP13",-0.467468948131443,3.64243382798099e-08
"ENSG00000058404","CAMK2B",1.42106090849956,0.00434404020296846
"ENSG00000058799","YIPF1",0.577538868724703,1.39437350592936e-06
"ENSG00000058804","NDC1",-0.29473904138112,0.00427961688316711
"ENSG00000058866","DGKG",0.058721943571002,0.80529323776208
"ENSG00000060339","CCAR1",-0.0729220118778482,0.423513400957638
"ENSG00000060558","GNA15",1.3651414006505,0.00193515463707621
"ENSG00000060749","QSER1",-0.181670596530944,0.118357893125933
"ENSG00000060971","ACAA1",0.339323820237149,0.00163736664294078
"ENSG00000061273","HDAC7",-0.187555160964598,0.150277171663092
"ENSG00000061936","SFSWAP",0.175600574627696,0.0702345374072757
"ENSG00000062038","CDH3",-0.00267555326283258,0.999559162348204
"ENSG00000062194","GPBP1",0.120535312580653,0.0895022801546315
"ENSG00000064102","INTS13",0.0670547418788304,0.587138060047488
"ENSG00000064490","RFXANK",-0.00259983369318104,0.998612218527151
"ENSG00000064547","LPAR2",0.665235672508162,0.0406845199336256
"ENSG00000064652","SNX24",-0.879475097717721,1.63022669660687e-11
"ENSG00000064687","ABCA7",0.565275750162368,0.0539539208110645
"ENSG00000064787","BCAS1",0.0363252494805925,0.929312821150097
"ENSG00000065328","MCM10",-0.173744508024675,0.0690160211736894
"ENSG00000065491","TBC1D22B",0.515952014193833,0.000552763083740634
"ENSG00000065526","SPEN",0.14080000964394,0.298914736063794
"ENSG00000065613","SLK",-0.0734811966397971,0.575827120018855
"ENSG00000065970","FOXJ2",0.240325028305169,0.0295518355489003
"ENSG00000066136","NFYC",-0.177033972155816,0.13873961670424
"ENSG00000066248","NGEF",0.915868739982142,0.0105560234400678
"ENSG00000066654","THUMPD1",0.0137462383390264,0.908013437765905
"ENSG00000067113","PLPP1",0.80395090620931,5.38735306820878e-07
"ENSG00000067167","TRAM1",0.607282266281711,3.79925769932399e-16
"ENSG00000068079","IFI35",0.597704727447135,0.000404243362018769
"ENSG00000068097","HEATR6",-0.224464226997315,0.0103602286124374
"ENSG00000068784","SRBD1",-0.031478956017791,0.841066932109416
"ENSG00000068971","PPP2R5B",0.856913444726843,0.000123988252409252
"ENSG00000068985","PAGE1",0.0920194383372943,0.754899645922858
"ENSG00000069122","ADGRF5",0.389886448622312,0.0854444803790583
"ENSG00000069275","NUCKS1",-0.925106694690965,3.3818830959557e-23
"ENSG00000069849","ATP1B3",0.154975605561291,0.05734226073574
"ENSG00000070047","PHRF1",0.00426915993443613,0.992145014826152
"ENSG00000070366","SMG6",-0.363205030737714,0.000695573244357885
"ENSG00000070423","RNF126",-0.249359268863598,0.030237812238493
"ENSG00000070540","WIPI1",-0.249821151042474,0.188952166619967
"ENSG00000070770","CSNK2A2",-0.0109228335378728,0.947058199220399
"ENSG00000070814","TCOF1",-0.0720285221889166,0.560576204131285
"ENSG00000071082","RPL31",-0.100257567312168,0.478257985975302
"ENSG00000072195","SPEG",0.192861612052698,0.353453384209549
"ENSG00000072422","RHOBTB1",-0.0161747916568054,0.960907696119422
"ENSG00000072501","SMC1A",-0.168406380704722,0.102758691307248
"ENSG00000072506","HSD17B10",0.245832117117006,0.00383884897247367
"ENSG00000072840","EVC",-0.09532261832413,0.683516169219631
"ENSG00000073803","MAP3K13",0.353249813773483,1.8298829439474e-07
"ENSG00000074181","NOTCH3",-0.0620114453657088,0.860161304817354
"ENSG00000074219","TEAD2",0.00908881291458723,0.983264841692771
"ENSG00000074319","TSG101",0.365922101198156,0.000162871394587603
"ENSG00000074696","HACD3",-0.314718789912897,2.92457677712063e-05
"ENSG00000075213","SEMA3A",-0.687803214224976,0.0021729837994813
"ENSG00000075218","GTSE1",-0.529443371084276,2.26962519032545e-08
"ENSG00000075223","SEMA3C",-0.297590966745957,0.0570461164029563
"ENSG00000075239","ACAT1",-0.10075496176275,0.316041467408349
"ENSG00000075336","TIMM21",-0.0318860758279059,0.817348636185904
"ENSG00000075624","ACTB",-0.403454373000542,2.20630306326665e-06
"ENSG00000075711","DLG1",-1.00243381748784,1.23091004586765e-21
"ENSG00000075856","SART3",-0.0686060836638318,0.480247413113257
"ENSG00000076043","REXO2",-0.162935920390921,0.0619906041623423
"ENSG00000076201","PTPN23",0.242124309519111,0.00800571579712951
"ENSG00000076248","UNG",-0.539210995865815,7.99482633403582e-09
"ENSG00000076321","KLHL20",-0.079876815672448,0.532674339897219
"ENSG00000076604","TRAF4",0.842637572093456,2.83355560170209e-13
"ENSG00000076662","ICAM3",0.895457008641483,8.31386623757999e-11
"ENSG00000076706","MCAM",0.0303192673603245,0.932088791893381
"ENSG00000076944","STXBP2",0.614686469376645,0.0470299971616267
"ENSG00000077150","NFKB2",0.916869438536497,5.06688520191635e-11
"ENSG00000077254","USP33",0.343277708992233,5.96406380582934e-06
"ENSG00000077312","SNRPA",-0.208279688533682,0.0289362645196493
"ENSG00000077454","LRCH4",0.0154699146580314,0.978550808389533
"ENSG00000077514","POLD3",-0.286135598285736,0.0118272515038308
"ENSG00000077684","JADE1",-0.5384807391105,2.36791805805674e-09
"ENSG00000077942","FBLN1",-0.203377553060032,0.432510698081604
"ENSG00000078142","PIK3C3",-0.124658417853368,0.175477927187592
"ENSG00000078369","GNB1",-0.624423665009719,4.83739275194799e-30
"ENSG00000078401","EDN1",1.21140551250839,4.70720867155054e-08
"ENSG00000079102","RUNX1T1",0.148144042718938,0.634985124488395
"ENSG00000079134","THOC1",-0.216466797719153,0.100364688938597
"ENSG00000079150","FKBP7",-0.107384348487325,0.596374070738724
"ENSG00000079215","SLC1A3",0.274098082718541,0.195592411362352
"ENSG00000079263","SP140",-0.292353075534424,0.182412539095728
"ENSG00000079332","SAR1A",0.523620318891231,2.30039934298961e-11
"ENSG00000079385","CEACAM1",6.36636177576974,2.44494105109242e-20
"ENSG00000079616","KIF22",-0.418772361276488,0.000207364937658372
"ENSG00000080298","RFX3",-0.577830507369466,0.0060592796026789
"ENSG00000080345","RIF1",-0.2244436513401,0.00321009136562528
"ENSG00000080371","RAB21",-0.0317594164431041,0.814650823606297
"ENSG00000080603","SRCAP",0.731014041445004,0.000122292113197172
"ENSG00000080824","HSP90AA1",-0.0476103957737412,0.737786800626681
"ENSG00000080839","RBL1",-0.0738372449080349,0.624165956338938
"ENSG00000081154","PCNP",-0.072455647859378,0.430863779091689
