"ENSEMBL","SYMBOL","log2FoldChange","padj"
"ENSG00000004478","FKBP4",-0.247589009967832,0.00303227402604487
"ENSG00000004534","RBM6",-0.226687858383657,0.0228456710824318
"ENSG00000005100","DHX33",-0.240717621039753,0.00679572029461489
"ENSG00000006634","DBF4",-0.261508117773671,0.0117147864869554
"ENSG00000007168","PAFAH1B1",-0.173314210829603,0.0141312091984806
"ENSG00000007968","E2F2",-0.717454200968132,0.000354173409679743
"ENSG00000008282","SYPL1",-0.190171458554282,0.0469960002258171
"ENSG00000009954","BAZ1B",-0.396837637208259,3.29243767747097e-05
"ENSG00000011114","BTBD7",-0.264020842750611,0.00419655732766333
"ENSG00000011260","UTP18",-0.309571476859287,0.00132932036414752
"ENSG00000011304","PTBP1",-0.386026603792819,8.22902206953969e-07
"ENSG00000011376","LARS2",-0.324055049048789,0.0032003918928057
"ENSG00000011422","PLAUR",-0.365484108305934,0.000150743622087902
"ENSG00000012048","BRCA1",-0.615084705563255,1.00139451200058e-09
"ENSG00000012232","EXTL3",-0.201568167593723,0.0382956586721629
"ENSG00000013810","TACC3",-0.367297162624106,0.00198138022894401
"ENSG00000014138","POLA2",-0.284607880651974,0.0339911874591387
"ENSG00000015171","ZMYND11",-0.442034246379692,9.34363210047188e-09
"ENSG00000020922","MRE11",-0.270035968741222,0.0102598575124109
"ENSG00000029363","BCLAF1",-0.381219405324547,3.9347975926662e-06
"ENSG00000029993","HMGB3",-0.469279757341387,0.000415343124568442
"ENSG00000035681","NSMAF",-0.270398953650256,0.00626144407831235
"ENSG00000036257","CUL3",-0.197979865726598,0.0162043643850067
"ENSG00000043355","ZIC2",-0.337168049283281,0.0220149253034573
"ENSG00000044459","CNTLN",-0.289174679037764,0.00473621450379983
"ENSG00000048028","USP28",-0.311507331170659,0.00513820069912745
"ENSG00000051180","RAD51",-0.570949365112609,0.000192356079718443
"ENSG00000051341","POLQ",-0.347704761099027,0.00960656726894076
"ENSG00000053900","ANAPC4",-0.27639015519506,0.00626299647902807
"ENSG00000054118","THRAP3",-0.32320690480996,1.87050884166358e-06
"ENSG00000054654","SYNE2",-0.588841339959927,3.64295976763919e-05
"ENSG00000056097","ZFR",-0.184103908287879,0.0418657695244326
"ENSG00000057757","PITHD1",-0.299674867078434,0.00273120403171781
"ENSG00000058056","USP13",-0.378678379524569,2.72623101572662e-05
"ENSG00000058804","NDC1",-0.427485341872931,3.11439447502378e-05
"ENSG00000060339","CCAR1",-0.175777587079202,0.0272983366517138
"ENSG00000060749","QSER1",-0.225324678100322,0.0453459178705526
"ENSG00000061273","HDAC7",-0.28483094707504,0.0168983208456301
"ENSG00000061936","SFSWAP",-0.196173347568471,0.0486035818237168
"ENSG00000062194","GPBP1",-0.188907225519108,0.0105363592348299
"ENSG00000065328","MCM10",-0.466212656272393,1.58392043935254e-07
"ENSG00000065526","SPEN",-0.468707802038384,5.36774683411948e-05
"ENSG00000065613","SLK",-0.403606414450172,4.50045056479475e-05
"ENSG00000065970","FOXJ2",-0.705772678270162,2.0374153254896e-08
"ENSG00000066136","NFYC",-0.431630997014225,0.000125464614731977
"ENSG00000066654","THUMPD1",-0.201721584565412,0.00842289803852871
"ENSG00000068097","HEATR6",-0.227573007124704,0.015476774076001
"ENSG00000068784","SRBD1",-0.267428104516694,0.0121965276825292
"ENSG00000069275","NUCKS1",-0.308669558186612,0.00157245579090824
"ENSG00000070047","PHRF1",-0.321547609139879,0.00386066500489359
"ENSG00000070366","SMG6",-0.348183836155234,0.00157245579090824
"ENSG00000070423","RNF126",-0.281953155670903,0.0121593586976865
"ENSG00000070770","CSNK2A2",-0.210947662043256,0.0199414548673588
"ENSG00000070814","TCOF1",-0.231870490063111,0.0194369087739668
"ENSG00000072501","SMC1A",-0.382286977073404,4.98876425611769e-05
"ENSG00000072840","EVC",-0.372010952471142,0.0303112857725502
"ENSG00000075218","GTSE1",-0.414908280841032,2.16879713517156e-05
"ENSG00000075336","TIMM21",-0.261113357175649,0.00609861138007629
"ENSG00000075624","ACTB",-0.201819064636625,0.0320626788836352
"ENSG00000075856","SART3",-0.267413340101849,0.000893758461208525
"ENSG00000076201","PTPN23",-0.244669148329881,0.0121965276825292
"ENSG00000076248","UNG",-0.349829835024826,0.00032711684894984
"ENSG00000077312","SNRPA",-0.396164362061867,1.74868138180885e-05
"ENSG00000077514","POLD3",-0.264691188246729,0.0228771261595748
"ENSG00000077684","JADE1",-0.284749604531576,0.00312980455201973
"ENSG00000078369","GNB1",-0.139526032339341,0.0333307147439456
"ENSG00000079134","THOC1",-0.332031810307212,0.00802608338164395
"ENSG00000079616","KIF22",-0.520888050423071,6.07552471393149e-06
"ENSG00000080345","RIF1",-0.24737814598243,0.00164235044896202
"ENSG00000080371","RAB21",-0.221720175591268,0.0193237425349307
"ENSG00000080603","SRCAP",-0.467855323288095,0.0116590057872509
"ENSG00000080824","HSP90AA1",-0.249322265528292,0.0130540226317454
"ENSG00000080839","RBL1",-0.493489743614397,2.67072853885927e-05
"ENSG00000081791","DELE1",-0.259401422306161,0.0327406617386543
"ENSG00000083093","PALB2",-0.309702556444106,0.00911694898592469
"ENSG00000083168","KAT6A",-0.405678212335405,6.24550111173308e-07
"ENSG00000083635","NUFIP1",-0.276718047895166,0.000523737428276618
"ENSG00000083642","PDS5B",-0.386436502203018,5.94806048318554e-05
"ENSG00000084463","WBP11",-0.243535286508232,0.00949220709317072
"ENSG00000085840","ORC1",-0.544720340856356,0.000218941310203332
"ENSG00000085872","CHERP",-0.258216998661219,0.0072856525290939
"ENSG00000085982","USP40",-0.215471116984222,0.0178907518375357
"ENSG00000087087","SRRT",-0.200400767903667,0.018306666651592
"ENSG00000087269","NOP14",-0.212568697967474,0.000959042840968182
"ENSG00000087365","SF3B2",-0.174903976074991,0.00690934736082696
"ENSG00000088247","KHSRP",-0.259191043597642,0.00207488918796454
"ENSG00000088325","TPX2",-0.259171451226168,0.018851635969419
"ENSG00000088833","NSFL1C",-0.232615275165875,0.00413624573376008
"ENSG00000089006","SNX5",-0.168301091008035,0.0149566572728431
"ENSG00000089737","DDX24",-0.201239855024698,0.002679377201914
"ENSG00000090273","NUDC",-0.258909125186635,0.000111043534028037
"ENSG00000090889","KIF4A",-0.300315384133614,0.00726733316690416
"ENSG00000091483","FH",-0.225833890840939,0.0381789257032905
"ENSG00000091527","CDV3",-0.254642776882917,0.0120621198145711
"ENSG00000092201","SUPT16H",-0.35102401880589,4.84649245340982e-05
"ENSG00000092853","CLSPN",-0.530180023821905,3.42778848512638e-06
"ENSG00000093000","NUP50",-0.243228525697899,0.00597557113457516
"ENSG00000094804","CDC6",-0.235345712497679,0.0336582590013531
