"ENSEMBL","SYMBOL_wt","log2FC_wt","padj_wt","SYMBOL_KO","log2FC_KO","padj_KO"
"ENSG00000001036","FUCA2",0.306535319291679,0.00219449638487398,"FUCA2",0.265953333155516,0.00576768098701937
"ENSG00000001084","GCLC",0.456900693265044,0.00163612998607374,"GCLC",0.484274003779186,0.000483647145588991
"ENSG00000001167","NFYA",0.279370324269031,0.0193281529718798,"NFYA",-0.151023891991607,0.2663840525301
"ENSG00000001460","STPG1",0.30421149725721,0.0370067039042915,"STPG1",0.61663668555657,1.90651286347239e-05
"ENSG00000001461","NIPAL3",0.0348916852628478,0.879091914256695,"NIPAL3",0.0592744673877129,0.771024923529146
"ENSG00000001497","LAS1L",-0.187666328920324,0.104827615168106,"LAS1L",0.0250719462166408,0.890521071765223
"ENSG00000002330","BAD",-0.137132588256238,0.361295327619401,"BAD",-0.0627738664600026,0.718702043541975
"ENSG00000002586","CD99",-0.0492011811963343,0.68802829225012,"CD99",-0.258573830721684,0.00249899336899357
"ENSG00000003056","M6PR",0.277361462723127,1.56426823133389e-05,"M6PR",0.130563400361991,0.0722917647927979
"ENSG00000003249","DBNDD1",-0.00323253801820536,0.999426996738855,"DBNDD1",-0.150722625594849,0.462940683337009
"ENSG00000003400","CASP10",0.530893953729567,0.0317970210958588,"CASP10",0.196720080174232,0.374664149356661
"ENSG00000003402","CFLAR",-0.157976676839945,0.284510708087031,"CFLAR",0.125898953619698,0.396631219905669
"ENSG00000003989","SLC7A2",0.371575477293983,0.0439431741212866,"SLC7A2",0.283528541123467,0.102996452335721
"ENSG00000004455","AK2",-0.0763487005466039,0.466018189582136,"AK2",-0.127654180895185,0.168001337907856
"ENSG00000004487","KDM1A",0.00710243950899324,0.976362330857382,"KDM1A",0.218708712384834,0.0266864548398992
"ENSG00000005020","SKAP2",-0.00157292373174111,0.999433637321825,"SKAP2",-0.699904057362748,6.00986405238165e-10
"ENSG00000005100","DHX33",-0.00999040645550699,0.950944313470453,"DHX33",0.0602271247754325,0.593932119732616
"ENSG00000005238","ATOSB",0.555026572585669,0.000227802093973856,"ATOSB",0.310539110608551,0.0411453836581841
"ENSG00000005469","CROT",0.401315677864662,0.00353657732642678,"CROT",-0.0495048916618873,0.808181665819497
"ENSG00000005486","RHBDD2",1.43517197002877,1.00291796423589e-27,"RHBDD2",1.19800521688553,2.23644494967882e-19
"ENSG00000006015","REX1BD",0.0522566958179812,0.773235270296268,"REX1BD",0.140762856798071,0.31018687948386
"ENSG00000006125","AP2B1",-0.686464663807461,1.30449943925158e-20,"AP2B1",-0.556257159628534,6.14633792808755e-14
"ENSG00000006453","BAIAP2L1",0.551498492415767,2.5757767789652e-10,"BAIAP2L1",0.753843453508042,1.67765294783088e-14
"ENSG00000006625","GGCT",-0.381355710369632,0.000433643821135991,"GGCT",-0.142618087754613,0.239533148821914
"ENSG00000006634","DBF4",-0.601885993711832,6.86007055429134e-10,"DBF4",-0.363306352907742,0.000185394732274569
"ENSG00000006638","TBXA2R",0.917608835710669,0.000592886416522932,"TBXA2R",0.868116861256195,0.00402281143817424
"ENSG00000006652","IFRD1",0.0464697147310768,0.844742578120284,"IFRD1",0.155758277092883,0.352130922208024
"ENSG00000006715","VPS41",-0.577235655229809,1.588143157104e-08,"VPS41",-1.08926908021566,3.42589421397339e-24
"ENSG00000006756","ARSD",0.490928581139959,0.00294531283252822,"ARSD",-0.169220379960183,0.477679706933543
"ENSG00000007047","MARK4",0.328552928784061,0.0158668969670315,"MARK4",0.263573868876763,0.0513886733348178
"ENSG00000007392","LUC7L",-0.164055584774924,0.0918869223175056,"LUC7L",-0.476482846084559,4.37894600170734e-08
"ENSG00000007866","TEAD3",1.23593500947831,9.43146587410432e-20,"TEAD3",1.02665906970671,1.37649262385328e-12
"ENSG00000007968","E2F2",-0.846876830608614,3.45538273439769e-05,"E2F2",-0.980854240649395,6.21076619275626e-06
"ENSG00000008283","CYB561",0.904792346892113,2.30551573327032e-13,"CYB561",0.69575394653279,5.96366745764491e-06
"ENSG00000008300","CELSR3",-0.100127708643674,0.708749406599896,"CELSR3",-0.144702211754763,0.475431796479983
"ENSG00000008394","MGST1",0.201191659976955,0.0419849277506256,"MGST1",0.249332751955309,0.00762286017158804
"ENSG00000008517","IL32",0.489205073962409,0.0921555653438569,"IL32",0.15085202364192,0.550907499611889
"ENSG00000008838","MED24",0.16482607331629,0.260060813927576,"MED24",0.402248969691515,0.00132282781848765
"ENSG00000008869","HEATR5B",0.39535458777224,0.00297337505836705,"HEATR5B",0.29164459968224,0.0287008814952974
"ENSG00000009307","CSDE1",-0.271746858966541,6.16693941583334e-10,"CSDE1",-0.308447253573331,1.66058963223794e-12
"ENSG00000009780","FAM76A",0.015613627429229,0.949755306766137,"FAM76A",-0.00137077072778755,0.994320097224252
"ENSG00000010244","ZNF207",-0.258093637958228,6.64514716823886e-05,"ZNF207",-0.247471927122036,0.000191009718141037
"ENSG00000010292","NCAPD2",-0.315402181504924,0.00473882818897822,"NCAPD2",-0.0442317371774809,0.789084144505441
"ENSG00000010295","IFFO1",0.597943738811235,1.25296342134343e-06,"IFFO1",0.181544108933508,0.203884952649973
"ENSG00000011007","ELOA",-0.0403247245062554,0.769686757445034,"ELOA",0.0895466979429793,0.433009828261431
"ENSG00000011009","LYPLA2",0.278608245079986,0.000964862414655287,"LYPLA2",0.393423578571942,1.5350048272243e-06
"ENSG00000011132","APBA3",0.304803143732858,0.0569529070798905,"APBA3",0.688147178064003,1.96662137341892e-05
"ENSG00000011260","UTP18",-0.261804203940024,0.0055183553230967,"UTP18",0.0214351050217419,0.891937497809129
"ENSG00000011295","TTC19",-0.546819772481197,2.69143207763517e-08,"TTC19",-0.315369343410119,0.001473129482817
"ENSG00000011304","PTBP1",-0.288385525687985,0.000223575701727588,"PTBP1",0.0111667449452579,0.935987768251914
"ENSG00000011332","DPF1",0.28358365746516,0.0460973515162672,"DPF1",0.526878148844881,0.000228090043534676
"ENSG00000011454","RABGAP1",-0.547463240894578,9.69532299910288e-15,"RABGAP1",-0.260733390632722,0.000200965370623455
"ENSG00000012171","SEMA3B",1.43348836884968,5.65114901256451e-08,"SEMA3B",1.41030899162206,8.08824297686165e-10
"ENSG00000012211","PRICKLE3",0.335831801878499,0.043004292082917,"PRICKLE3",0.594681909888301,0.000254840747321685
"ENSG00000012660","ELOVL5",-0.442766275880253,2.71560269477442e-06,"ELOVL5",-0.266604930832218,0.00681031473629261
"ENSG00000012822","CALCOCO1",0.920570152319059,0.000108996604335602,"CALCOCO1",0.2129899345759,0.320054970225745
"ENSG00000013016","EHD3",0.47042729879015,0.000852545119568298,"EHD3",0.560657630173821,5.34248667421611e-05
"ENSG00000013364","MVP",0.243390178162366,0.153026212701455,"MVP",-0.124109408277461,0.496110332709639
"ENSG00000013375","PGM3",0.220030137998107,0.000470269397732926,"PGM3",0.266238287942704,1.28022746711058e-05
"ENSG00000013563","DNASE1L1",0.329131563851425,0.0159276937339714,"DNASE1L1",0.0566497542805288,0.766566092364683
"ENSG00000013573","DDX11",-0.283521022090138,0.0346333737343313,"DDX11",-0.0868920355394825,0.576974916443741
"ENSG00000013583","HEBP1",0.0295222735119446,0.849248810030061,"HEBP1",-0.199429825350241,0.0584230236696595
