"ENSEMBL","SYMBOL_wt","log2FC_wt","padj_wt","SYMBOL_KO","log2FC_KO","padj_KO"
"ENSG00000001167","NFYA",-0.266346192296341,0.0376080781702521,"NFYA",-0.317093184355777,0.00990773855296748
"ENSG00000001497","LAS1L",-0.460111394428355,1.35004620355288e-05,"LAS1L",-0.35173181465642,0.00113814896297874
"ENSG00000003056","M6PR",-0.287357189917511,1.07764770844166e-05,"M6PR",-0.287296667659729,1.42336059193337e-05
"ENSG00000003989","SLC7A2",-0.963880353430136,8.35659109982127e-07,"SLC7A2",-0.792371463438347,2.94602060445523e-05
"ENSG00000004455","AK2",-0.231454857555448,0.0057997228001526,"AK2",-0.434799549434239,4.73585800670887e-08
"ENSG00000004487","KDM1A",-0.834315860127118,4.28332901435263e-17,"KDM1A",-0.250154601117066,0.0127971147933755
"ENSG00000005100","DHX33",-0.624005860302934,1.51026338749593e-14,"DHX33",-0.465506113849151,1.58586164422241e-08
"ENSG00000006625","GGCT",-0.450641586155163,2.68829791644345e-05,"GGCT",-0.549964771919024,1.96259345792488e-07
"ENSG00000006634","DBF4",-1.09084306554678,2.8884503180182e-28,"DBF4",-0.430939136204676,8.97113517241556e-06
"ENSG00000006652","IFRD1",-0.66530806850782,5.16901682416862e-05,"IFRD1",-0.51097025340546,0.00101510019420369
"ENSG00000007392","LUC7L",-0.515839399808407,3.74976523389093e-09,"LUC7L",-0.444572151768681,3.25115341406481e-07
"ENSG00000007968","E2F2",-2.60267502415935,6.33592343380422e-19,"E2F2",-1.67184496192514,2.09878447191566e-12
"ENSG00000009307","CSDE1",-0.130121573439462,0.00558991777399171,"CSDE1",-0.110600866996483,0.0252564466371719
"ENSG00000010244","ZNF207",-0.344906123980522,5.84166012389862e-08,"ZNF207",-0.441415355720453,6.91426912306327e-12
"ENSG00000010292","NCAPD2",-1.13585307006086,2.20024915754957e-25,"NCAPD2",-0.266397346558801,0.0178223196212186
"ENSG00000011007","ELOA",-0.35484814220676,9.59399954426695e-05,"ELOA",-0.34368248205509,0.000181673029326649
"ENSG00000011260","UTP18",-0.566801075577966,4.21838622762393e-10,"UTP18",-0.269838609644652,0.00357917695909674
"ENSG00000011304","PTBP1",-0.666680226045367,6.9264089554391e-19,"PTBP1",-0.300857498764585,0.000119845802301163
"ENSG00000012660","ELOVL5",-0.432679531613566,4.58001808164096e-06,"ELOVL5",-0.309148773422627,0.00155604995352863
"ENSG00000013573","DDX11",-0.743361203503481,5.47227648349628e-08,"DDX11",-0.268579147372898,0.0328004433329402
"ENSG00000013588","GPRC5A",-0.722638789963118,0.000108829985134156,"GPRC5A",-0.544928994520063,0.00254486109248485
"ENSG00000020633","RUNX3",-0.527412610292142,0.000574486921490346,"RUNX3",-0.455344393532787,0.00180551345856307
"ENSG00000021776","AQR",-0.344469399761784,3.09956953289422e-06,"AQR",-0.18254469042901,0.0202522391376163
"ENSG00000023171","GRAMD1B",-0.485221764086104,0.00301968128837573,"GRAMD1B",-0.518695130088391,0.00101510019420369
"ENSG00000023287","RB1CC1",-0.372605711587206,1.02595639732689e-05,"RB1CC1",-0.283295393143249,0.00102384974816312
"ENSG00000024526","DEPDC1",-1.1349481334154,7.70104760997556e-19,"DEPDC1",-0.445560160984072,0.000307253666241091
"ENSG00000025796","SEC63",-0.35268169064091,0.000216385595178328,"SEC63",-0.275329139324582,0.00451837131955487
"ENSG00000026559","KCNG1",-0.593631335566162,2.81280786235426e-05,"KCNG1",-0.573314282088673,6.16736078700157e-05
"ENSG00000029363","BCLAF1",-0.894876919963754,2.23902738528475e-29,"BCLAF1",-0.327567575121567,6.03326509647797e-05
"ENSG00000031691","CENPQ",-0.990633435950193,3.04397837768008e-12,"CENPQ",-0.290408855569396,0.0342976104441144
"ENSG00000035499","DEPDC1B",-0.929644112303454,2.92029148731967e-08,"DEPDC1B",-0.361716128462105,0.0194941252381404
"ENSG00000035687","ADSS2",-0.23255380617019,0.0402385135946442,"ADSS2",-0.280414925535919,0.0101335774511401
"ENSG00000037474","NSUN2",-0.367400077688929,2.15876861223757e-06,"NSUN2",-0.411302157248054,1.21090949193329e-07
"ENSG00000039123","MTREX",-0.336227471994926,3.34264496664727e-05,"MTREX",-0.284752358524948,0.000539326884034606
"ENSG00000039560","RAI14",-0.354933764052386,0.000276763183110139,"RAI14",-0.377500207428529,9.41368711684352e-05
"ENSG00000040608","RTN4R",-0.581559563528674,0.0236072762520178,"RTN4R",-0.566455065957418,0.0219460747079878
"ENSG00000043355","ZIC2",-1.03555005401974,2.87989233605538e-10,"ZIC2",-0.375197410459763,0.0107111063664365
"ENSG00000044574","HSPA5",-0.266140519477091,0.00118711460729076,"HSPA5",-0.590164101579603,5.45776363856821e-14
"ENSG00000049541","RFC2",-0.644093406317304,1.18934817640709e-10,"RFC2",-0.326432941229644,0.000924375772059236
"ENSG00000049656","CLPTM1L",-0.21836625472265,0.0222169647182158,"CLPTM1L",-0.394778874618525,1.06861690494271e-05
"ENSG00000053372","MRTO4",-0.505898436826878,1.13467178306739e-10,"MRTO4",-0.572784054621414,2.70411489622813e-13
"ENSG00000054118","THRAP3",-0.495815109820709,9.28695694707003e-15,"THRAP3",-0.333647531532033,3.77048984261842e-07
"ENSG00000055044","NOP58",-0.641253582433094,1.26265664656993e-20,"NOP58",-0.564112777417152,3.24378740696736e-16
"ENSG00000055130","CUL1",-0.49797092251038,3.7405729766859e-13,"CUL1",-0.293810202197934,2.42020896658847e-05
"ENSG00000055483","USP36",-0.344479453311104,0.00444099969357711,"USP36",-0.26274223308221,0.0322357994228929
"ENSG00000055917","PUM2",-0.480832404211811,8.76247502876547e-11,"PUM2",-0.218822309383495,0.00402160831946184
"ENSG00000057608","GDI2",-0.178600267260526,0.0129445579105284,"GDI2",-0.278357845764603,5.34177146338696e-05
"ENSG00000058804","NDC1",-0.960204692024417,2.73628942924591e-21,"NDC1",-0.420722699703133,3.032069633595e-05
"ENSG00000059573","ALDH18A1",-0.287815165737449,0.00612588516623158,"ALDH18A1",-0.316447157560722,0.00241747578951383
"ENSG00000060688","SNRNP40",-0.300903573038461,0.0202043977157915,"SNRNP40",-0.402067762664705,0.00103515842376786
"ENSG00000060982","BCAT1",-0.524330999167593,2.72865111068793e-17,"BCAT1",-0.69430813533119,2.22968566054039e-29
"ENSG00000061794","MRPS35",-0.351719814082278,1.3008854256674e-06,"MRPS35",-0.371058387713754,2.79903561327452e-07
"ENSG00000063244","U2AF2",-0.285777219460611,0.00264625672745326,"U2AF2",-0.199716336240238,0.0457543787770801
"ENSG00000064651","SLC12A2",-0.561725137077495,8.76247502876547e-11,"SLC12A2",-0.22967168433764,0.0109628635763734
"ENSG00000065150","IPO5",-0.51947303341561,1.03563486648372e-13,"IPO5",-0.353596743221172,6.16621073059694e-07
"ENSG00000065183","WDR3",-0.2840791961734,7.32127149688148e-06,"WDR3",-0.478239234828037,2.04521443360611e-14
"ENSG00000065328","MCM10",-1.2782971433366,2.54996712845759e-47,"MCM10",-0.467475871521668,3.97966480241003e-08
"ENSG00000065427","KARS1",-0.188428201280059,0.00102010211971298,"KARS1",-0.268357980983638,2.08813971432856e-06
"ENSG00000065548","ZC3H15",-0.356687913193398,5.50744393064233e-07,"ZC3H15",-0.397546279913708,2.06460501205248e-08
"ENSG00000065809","FAM107B",-0.504792184407363,0.000891302548030093,"FAM107B",-1.10700015543095,1.56325580573745e-12
"ENSG00000065911","MTHFD2",-1.07655472877352,2.97502915743723e-27,"MTHFD2",-1.00229431395203,6.83107883721718e-24
"ENSG00000066583","ISOC1",-0.490659167172434,2.75163955859374e-05,"ISOC1",-0.380349590447623,0.00209943921007888
"ENSG00000067048","DDX3Y",-0.32124904193454,2.85973767337312e-07,"DDX3Y",-0.336880649944204,4.28963544825349e-08
"ENSG00000067334","DNTTIP2",-0.365709819791673,0.000366655109762162,"DNTTIP2",-0.290341128273847,0.00512637967719746
