"ENSEMBL","SYMBOL_wt","log2FC_wt","padj_wt","SYMBOL_KO","log2FC_KO","padj_KO"
"ENSG00000001036","FUCA2",0.475467780016755,6.76356029684387e-07,"FUCA2",0.329161044533581,0.000478888317106166
"ENSG00000001084","GCLC",0.39837135657229,0.00642312994795765,"GCLC",0.281492779813416,0.0479050284975893
"ENSG00000001460","STPG1",0.752591741271577,2.62127823399617e-08,"STPG1",0.814474915830999,7.21419941990379e-09
"ENSG00000001461","NIPAL3",1.28009234250237,5.42331005327221e-19,"NIPAL3",1.13235345250551,3.73535872919688e-14
"ENSG00000002330","BAD",0.62204203470137,1.04697834055015e-07,"BAD",0.809517324775774,1.09999497777611e-11
"ENSG00000002586","CD99",0.336596512455786,5.59580235372682e-05,"CD99",0.292512647944137,0.000490156688306141
"ENSG00000003249","DBNDD1",0.949884711456031,8.84626811496611e-06,"DBNDD1",1.32820919290144,1.38277448599144e-10
"ENSG00000003400","CASP10",0.625044739402059,0.00974768586389905,"CASP10",0.748614510358303,0.0018823561322443
"ENSG00000003402","CFLAR",0.462294551973639,0.000183246289017825,"CFLAR",0.295889318588644,0.0206550773576892
"ENSG00000005020","SKAP2",0.297734305643217,0.00654124179323451,"SKAP2",0.406493741945177,0.000112690428495287
"ENSG00000005238","ATOSB",1.24943226413601,2.3620189152075e-17,"ATOSB",0.872946093933417,1.47989032835544e-08
"ENSG00000005469","CROT",0.934083529323085,6.85908427821071e-13,"CROT",0.829535550419623,8.68799451449815e-11
"ENSG00000005486","RHBDD2",0.421404980964093,0.00191698327710282,"RHBDD2",0.333055254220709,0.0127246220623006
"ENSG00000006015","REX1BD",0.575438148809413,1.31734511852242e-06,"REX1BD",0.56887708712003,1.53834831355258e-06
"ENSG00000006125","AP2B1",0.276522259423484,0.000276763183110139,"AP2B1",0.204124781801476,0.0104415296943355
"ENSG00000006638","TBXA2R",0.911047338492378,0.0002962191592497,"TBXA2R",1.04097616584154,0.000353509515638137
"ENSG00000006715","VPS41",0.384194281651674,7.90246657553678e-05,"VPS41",0.413290894343991,1.60926872607071e-05
"ENSG00000006756","ARSD",0.858419961079951,1.02791981451423e-07,"ARSD",0.46879191066086,0.0323440873430453
"ENSG00000007047","MARK4",0.832782174625077,1.32793608024803e-10,"MARK4",0.664017952518834,3.82198991440104e-07
"ENSG00000007866","TEAD3",0.521254748044061,0.000215143668489746,"TEAD3",0.746941339652318,1.46896474198424e-07
"ENSG00000008283","CYB561",0.953099231903841,5.31323959729759e-15,"CYB561",1.00265517117775,8.90403305031495e-12
"ENSG00000008300","CELSR3",0.733569597579293,0.000292534985905122,"CELSR3",0.564948077281911,0.00159175651710163
"ENSG00000008394","MGST1",0.785647098810831,4.45270566042891e-19,"MGST1",0.316708197916447,0.000532243026868121
"ENSG00000008517","IL32",1.124620209096,0.000287541755941736,"IL32",0.947511810029201,0.00253309193875665
"ENSG00000008838","MED24",0.351998109910914,0.00643895159143006,"MED24",0.358372671125608,0.0045566654407577
"ENSG00000008869","HEATR5B",0.493084153510194,0.00014989360241179,"HEATR5B",0.385425543701597,0.00285035900571612
"ENSG00000009780","FAM76A",0.312318210474432,0.0148030014229523,"FAM76A",0.571986863899756,4.54163104840458e-07
"ENSG00000010295","IFFO1",0.952047198480112,2.08451760182348e-15,"IFFO1",0.791898650398799,2.91922969600191e-10
"ENSG00000011009","LYPLA2",0.860595677513536,1.18776574690086e-27,"LYPLA2",0.343640012830822,3.69046833089681e-05
"ENSG00000011132","APBA3",0.380365105347044,0.0146716944557417,"APBA3",0.377273323395135,0.0139225643356899
"ENSG00000011295","TTC19",0.341577452116739,0.000535273174062589,"TTC19",0.28277226046903,0.0046641323917802
"ENSG00000011454","RABGAP1",0.200986938526772,0.0053528565991226,"RABGAP1",0.190409626703915,0.00774460464325511
"ENSG00000012171","SEMA3B",1.50176830299352,1.07617999497192e-09,"SEMA3B",0.925231356443712,2.16799624303699e-05
"ENSG00000012211","PRICKLE3",0.880554039255717,1.95790181952459e-08,"PRICKLE3",0.343384694630086,0.0294595045915366
"ENSG00000012822","CALCOCO1",1.15633455342601,4.84989133248139e-07,"CALCOCO1",0.878573478096632,0.000213703751236513
"ENSG00000013016","EHD3",1.04199058111223,3.38666279124506e-14,"EHD3",0.379501786225408,0.00551958663360299
