"ENSEMBL","SYMBOL","log2FoldChange","padj"
"ENSG00000000419","DPM1",-0.504814364597978,4.23594679627006e-07
"ENSG00000004779","NDUFAB1",-0.358706777237353,0.000339690831566436
"ENSG00000005022","SLC25A5",-0.211820565262233,0.0426940997300747
"ENSG00000006016","CRLF1",-0.456258859443806,0.0353534925713786
"ENSG00000006062","MAP3K14",-0.460313531697185,0.00825434529897713
"ENSG00000006327","TNFRSF12A",-0.269006671198036,0.0110349064354885
"ENSG00000006695","COX10",-0.339645929583889,0.000770872785069733
"ENSG00000007923","DNAJC11",-0.236811395787854,0.0113482450623486
"ENSG00000008018","PSMB1",-0.226249198049536,0.0251284198717175
"ENSG00000008952","SEC62",-0.174674351729688,0.0140228615607529
"ENSG00000009335","UBE3C",-0.249374354379803,0.00169984907019421
"ENSG00000009844","VTA1",-0.264861762934941,0.000219325302852377
"ENSG00000010165","METTL13",-0.286276474907676,0.000623811306266173
"ENSG00000014824","SLC30A9",-0.174943443980257,0.0339715801947434
"ENSG00000015475","BID",-0.45505255545723,1.91387002777655e-06
"ENSG00000015479","MATR3",-0.682302614145292,0.00729741968985598
"ENSG00000017260","ATP2C1",-0.244459361030215,0.0039363269853835
"ENSG00000021826","CPS1",-0.519483780823959,0.00104288182807406
"ENSG00000023318","ERP44",-0.196587459731326,0.0219343782204238
"ENSG00000023572","GLRX2",-0.268275136501224,0.00940878897714144
"ENSG00000023734","STRAP",-0.274637091709576,3.98059063645469e-05
"ENSG00000025156","HSF2",-0.288803031750242,0.00656745016161283
"ENSG00000025772","TOMM34",-0.351287911526611,1.82845786806582e-06
"ENSG00000027697","IFNGR1",-0.482455630584572,0.00871097243527908
"ENSG00000029364","SLC39A9",-0.287642875326509,0.000191547303788553
"ENSG00000033050","ABCF2",-0.218405441510341,0.0076188647728736
"ENSG00000037241","RPL26L1",-0.194875542580016,0.0318306159347816
"ENSG00000037749","MFAP3",-0.316901004371744,0.00664928806049634
"ENSG00000038274","MAT2B",-0.258468931225581,0.0347469407057231
"ENSG00000038427","VCAN",-0.429176251425633,0.0182576318645981
"ENSG00000041802","LSG1",-0.211660850616999,0.00020116177862692
"ENSG00000043514","TRIT1",-0.255392968817762,0.0234508698074318
"ENSG00000044446","PHKA2",-0.349513485128491,0.0166012536374313
"ENSG00000046647","GEMIN8",-0.416816535614557,0.0149002137702371
"ENSG00000047315","POLR2B",-0.308070150684389,1.72176196160698e-07
"ENSG00000048162","NOP16",-0.588969701806777,4.98830361277044e-14
"ENSG00000048544","MRPS10",-0.322528529294515,2.5508767434849e-05
"ENSG00000048828","FAM120A",-0.154875593595456,0.0235210632665714
"ENSG00000049249","TNFRSF9",-0.593228045767416,0.0247064691878772
"ENSG00000049323","LTBP1",-0.462732312848871,0.0251284198717175
"ENSG00000049449","RCN1",-0.31683701605001,0.00421314681578485
"ENSG00000051108","HERPUD1",-0.382932969381515,0.00723051043623575
"ENSG00000052802","MSMO1",-0.439239318783263,0.0042649440972249
"ENSG00000052841","TTC17",-0.355859914882064,0.000227909682318864
"ENSG00000054356","PTPRN",-0.897289323380615,0.00202300927641972
"ENSG00000056050","HPF1",-0.214014029899508,0.0444153596776426
"ENSG00000058600","POLR3E",-0.460955327780237,4.5467756117023e-05
