"ENSEMBL","SYMBOL","log2FoldChange","padj"
"ENSG00000002079","MYH16",0.583913538105135,0.000908977212288532
"ENSG00000002587","HS3ST1",0.687043891390324,0.0077382066032676
"ENSG00000003147","ICA1",0.544129094147891,0.0268137919300595
"ENSG00000003393","ALS2",0.259231637699322,0.0476969972676432
"ENSG00000004848","ARX",0.730245241163566,0.0083924748159899
"ENSG00000005189","REXO5",0.36813831902568,0.0245810927014034
"ENSG00000005483","KMT2E",0.345981398428653,0.000295975000913073
"ENSG00000006453","BAIAP2L1",0.363490742951387,0.000315831454876054
"ENSG00000006468","ETV1",0.354293339393646,0.043601252222453
"ENSG00000006606","CCL26",0.568263217485313,0.0262556345339162
"ENSG00000006712","PAF1",0.189360105401953,0.0285410204833828
"ENSG00000007541","PIGQ",0.319839847565189,0.028547898595254
"ENSG00000008294","SPAG9",0.426054382635646,0.0001561894918978
"ENSG00000009413","REV3L",0.501718438482849,5.79081085528535e-06
"ENSG00000010322","NISCH",0.343355595550759,0.0133971899616983
"ENSG00000010438","PRSS3",0.848541448051755,0.000389028755631233
"ENSG00000010818","HIVEP2",0.306740993228327,0.00794236980146044
"ENSG00000011332","DPF1",0.301228400662848,0.037315773618707
"ENSG00000012232","EXTL3",0.229120918725733,0.0107770320320333
"ENSG00000014164","ZC3H3",0.569965631071689,0.0021970270993275
"ENSG00000017797","RALBP1",0.32788602481649,3.13908723482698e-08
"ENSG00000018408","WWTR1",0.283171012723787,0.00124507934922614
"ENSG00000018510","AGPS",0.172148528923474,0.0412065316482301
"ENSG00000023445","BIRC3",0.602020975138309,0.00113394254257269
"ENSG00000023892","DEF6",0.528925933354532,0.00373987556012355
"ENSG00000023909","GCLM",0.290241144742847,0.0133997647671197
"ENSG00000024048","UBR2",0.32975905619345,0.000254735067608744
"ENSG00000025039","RRAGD",1.01395313564875,0.00247725424768957
"ENSG00000025770","NCAPH2",0.308465932075269,0.0171727975526583
"ENSG00000025800","KPNA6",0.131970575326801,0.0482436249826383
"ENSG00000036672","USP2",1.1439657631378,0.0016942513845094
"ENSG00000037637","FBXO42",0.325306862300952,0.0155158442216136
"ENSG00000037757","MRI1",0.195938469682744,0.0489696367160608
"ENSG00000043143","JADE2",0.609527653143949,3.96367552470258e-08
"ENSG00000046651","OFD1",0.233976342686031,0.0259354928299733
"ENSG00000047230","CTPS2",0.577649384962046,0.000412266809804705
"ENSG00000047849","MAP4",0.188867801265902,0.0125364385637103
"ENSG00000048707","VPS13D",0.289958236685329,0.0105744529874839
"ENSG00000049246","PER3",0.606624259251738,7.31192154767335e-05
"ENSG00000051128","HOMER3",0.309274002235159,0.0423753260721456
"ENSG00000052126","PLEKHA5",0.260873264145838,0.0024645858003212
"ENSG00000052795","FNIP2",0.35045548893604,0.000884410169474651
"ENSG00000054523","KIF1B",0.431051043528005,2.94693933044986e-07
"ENSG00000054654","SYNE2",0.546722725540219,3.85945539663992e-05
"ENSG00000054965","FAM168A",0.275874534583512,0.0480149909062767
"ENSG00000055208","TAB2",0.169842070033558,0.0471464138421288
"ENSG00000055332","EIF2AK2",0.163444242062797,0.011907958021495
"ENSG00000057252","SOAT1",0.183523714836715,0.0446450630480039
"ENSG00000058085","LAMC2",0.34768433504386,0.00162856719232816
"ENSG00000058091","CDK14",0.346347136986141,0.0017664071543589
"ENSG00000058262","SEC61A1",0.268023442971823,0.00903444334193416
"ENSG00000059145","UNKL",0.550629745371682,2.86143534270043e-08
"ENSG00000060138","YBX3",0.507100433330169,3.93112607773639e-12
