"ENSEMBL","SYMBOL","log2FoldChange","padj"
"ENSG00000000003","TSPAN6",0.273476328220394,0.0325971373983389
"ENSG00000000460","FIRRM",-0.131815399281531,0.440153415348449
"ENSG00000001617","SEMA3F",-0.224815950619774,0.211888581549822
"ENSG00000001631","KRIT1",-0.0294747381435912,0.910000027347657
"ENSG00000002746","HECW1",0.665975654640464,0.0192812957752081
"ENSG00000004139","SARM1",0.29336278776038,0.177068871235956
"ENSG00000004142","POLDIP2",0.0138579607121476,0.909071186300649
"ENSG00000004478","FKBP4",0.287659312597311,0.000142559390119285
"ENSG00000004534","RBM6",-0.0804275340780253,0.49103145926372
"ENSG00000004700","RECQL",-0.24662296770564,0.0133999301587774
"ENSG00000004776","HSPB6",2.42974639769227e-05,0.999987733893952
"ENSG00000004864","SLC25A13",-0.613952526370046,2.73337963990947e-13
"ENSG00000004897","CDC27",-0.264619210386996,0.000162872838402927
"ENSG00000004961","HCCS",0.37517875266698,6.50414966399779e-05
"ENSG00000004975","DVL2",0.0300763925183516,0.872188073449782
"ENSG00000005007","UPF1",0.233169221991205,0.030560093125342
"ENSG00000005059","MCUB",-1.16191137746038,4.87588222097523e-23
"ENSG00000005175","RPAP3",0.230992004302683,0.0123512447569424
"ENSG00000005194","CIAPIN1",0.330206600581012,0.000101967042455525
"ENSG00000005243","COPZ2",0.615947100101152,0.000267533146986847
"ENSG00000005339","CREBBP",0.24899042368992,0.0508806713841998
"ENSG00000005812","FBXL3",0.189812474505531,0.13225038615196
"ENSG00000005882","PDK2",1.71390305767924,7.97381085375784e-13
"ENSG00000005884","ITGA3",-0.933672075793435,3.03100569502206e-15
"ENSG00000006007","GDE1",-0.127167264124188,0.187626998131729
"ENSG00000006282","SPATA20",0.258056459797611,0.0616170799559833
"ENSG00000006377","DLX6",0.00992507306531123,0.988329789139672
"ENSG00000006451","RALA",0.161077605870437,0.062185162079605
"ENSG00000006534","ALDH3B1",0.346022673543826,0.0291844406913327
"ENSG00000006576","PHTF2",-0.299713350792032,0.00203414630909735
"ENSG00000006607","FARP2",-0.183472259507573,0.15309914898424
"ENSG00000006757","PNPLA4",-0.223260510805579,0.182491579835389
"ENSG00000006831","ADIPOR2",-0.138515417662525,0.0604461264735461
"ENSG00000007384","RHBDF1",0.909319852972515,1.22071180502803e-12
"ENSG00000007520","TSR3",0.0417699001728269,0.742467447196443
"ENSG00000008083","JARID2",0.0704396023713835,0.691811374828275
"ENSG00000008382","MPND",0.759679695119644,0.000180465425335527
"ENSG00000008710","PKD1",-0.130492907087231,0.49506261804024
"ENSG00000008853","RHOBTB2",0.626150013209532,1.26991061377929e-05
"ENSG00000008988","RPS20",0.0739483960184865,0.275295988055012
"ENSG00000009954","BAZ1B",-0.232514379204486,0.0197501179246645
"ENSG00000010017","RANBP9",0.132846190632644,0.266162850836886
"ENSG00000010256","UQCRC1",0.129614482518173,0.194200000868891
"ENSG00000010270","STARD3NL",-0.449047572338339,0.00062218869958059
"ENSG00000010278","CD9",-1.06871650292684,9.48755680969757e-05
"ENSG00000010361","FUZ",0.157456129583924,0.15177838559828
"ENSG00000010626","LRRC23",0.339963148003538,0.101704332078903
"ENSG00000010704","HFE",-0.0838353178151506,0.773879217084317
"ENSG00000011143","MKS1",0.212182240244285,0.171795909710611
"ENSG00000011198","ABHD5",0.052718911992212,0.731415454413399
"ENSG00000011275","RNF216",-0.115077379108486,0.295608203648118
"ENSG00000011426","ANLN",-0.314602530420011,0.017951047038185
"ENSG00000011638","LDAF1",0.177227460913628,0.338648863944055
"ENSG00000012048","BRCA1",-0.0504767895451649,0.720638389155093
"ENSG00000012061","ERCC1",0.0375880156281015,0.749746598242551
"ENSG00000012963","UBR7",-0.0254046793304076,0.852540507850925
"ENSG00000013288","MAN2B2",0.504626013831404,0.000941147496317809
"ENSG00000013306","SLC25A39",0.0599754165635318,0.586838797487253
"ENSG00000013392","RWDD2A",0.604296436035124,0.013712220332217
"ENSG00000013441","CLK1",-0.169888826321873,0.356889164218846
"ENSG00000013503","POLR3B",-0.463606135064844,2.70323901758187e-06
"ENSG00000013561","RNF14",0.172869879270855,0.0987451048728631
"ENSG00000013810","TACC3",-0.284409688285581,0.0220458351622295
"ENSG00000014138","POLA2",-0.137410166671313,0.384518626245254
"ENSG00000014641","MDH1",0.0609056288074758,0.644878914559016
"ENSG00000014919","COX15",0.0540228461264453,0.723254664661085
"ENSG00000015171","ZMYND11",-0.698963093594851,2.10986310541153e-21
"ENSG00000016082","ISL1",0.0620575029644318,0.853287572989689
"ENSG00000016864","GLT8D1",-0.145478565762142,0.277452165053123
"ENSG00000018699","TTC27",-0.349164090798395,0.00135967122335654
"ENSG00000019549","SNAI2",0.185208133183367,0.349372771356074
"ENSG00000019995","ZRANB1",0.261450120676338,0.00204757935216928
"ENSG00000020256","ZFP64",0.0213676218278667,0.90234417670637
"ENSG00000020922","MRE11",-0.0914142810992002,0.471646854745667
"ENSG00000021355","SERPINB1",-0.0425662853299359,0.886097946475146
"ENSG00000022277","RTF2",0.217646130830966,2.65693784595172e-05
"ENSG00000023041","ZDHHC6",-0.384359364154308,0.000121113662475465
"ENSG00000023191","RNH1",0.210315644079525,0.0110242838508341
"ENSG00000023516","AKAP11",0.171999451386806,0.0897834926547783
"ENSG00000023697","DERA",0.392235339050664,0.000967833727016566
"ENSG00000023839","ABCC2",0.557399135950988,0.0432503887940267
"ENSG00000025434","NR1H3",0.411837959225446,0.0623625678757566
"ENSG00000026508","CD44",0.271338048531678,2.46658387447798e-05
"ENSG00000026652","AGPAT4",-0.263349650615061,0.0716821969309291
"ENSG00000026950","BTN3A1",0.390303803192672,0.0433422844931195
"ENSG00000027001","MIPEP",-0.670933250080937,2.15815952093185e-05
"ENSG00000027847","B4GALT7",0.227617329460423,0.0406492873076721
"ENSG00000028310","BRD9",-0.102457276589887,0.327701573073532
"ENSG00000028528","SNX1",0.114656845620322,0.184116389895595
"ENSG00000029725","RABEP1",-0.352580193830832,9.03388370114715e-05
"ENSG00000029993","HMGB3",-0.0860004884138468,0.63031915016314
"ENSG00000031003","FAM13B",0.384486747931408,0.0148101080359558
"ENSG00000031823","RANBP3",-0.00859177902550204,0.961628588670398
"ENSG00000032389","EIPR1",-0.596627989259233,3.7642307698412e-09
"ENSG00000033030","ZCCHC8",-0.194047591821576,0.11826930571501
"ENSG00000033100","CHPF2",0.342845077121806,0.00243076623538025
"ENSG00000033170","FUT8",-0.972832118987865,2.41141361679905e-14
"ENSG00000034713","GABARAPL2",0.174329217051301,0.0869182612510816
"ENSG00000035115","SH3YL1",-0.13215804779941,0.624143004031371
"ENSG00000035141","FAM136A",-0.38053587158774,3.89427760877649e-08
"ENSG00000035403","VCL",-0.308186469705829,0.000545033554543866
"ENSG00000035928","RFC1",0.00176044139918617,0.99807438264485
"ENSG00000036257","CUL3",-0.245403669853188,0.00112073960813496
"ENSG00000037897","METTL1",-0.0123087913269644,0.955618300106097
"ENSG00000038210","PI4K2B",-0.817388357746171,1.1470246747699e-07
"ENSG00000038219","BOD1L1",0.156035804039354,0.179300313394089
"ENSG00000040199","PHLPP2",-0.0342075542027879,0.903902598283022
"ENSG00000040275","SPDL1",-0.112140291737557,0.352809582378342
"ENSG00000040531","CTNS",0.38719241374781,0.0108321095301003
"ENSG00000040633","PHF23",-0.191031577001035,0.0263823654834307
"ENSG00000042088","TDP1",-0.797455296310522,2.38135900601097e-12
"ENSG00000044459","CNTLN",-0.360110593697554,0.000237597408119952
"ENSG00000047365","ARAP2",0.0174369118095073,0.960998411165448
"ENSG00000047410","TPR",-0.217444991782552,0.0769268398093723
"ENSG00000047579","DTNBP1",-0.309092767478007,0.00129444068003513
"ENSG00000047634","SCML1",-0.469925852366621,0.00052826622553379
