"ENSEMBL","SYMBOL","log2FoldChange","padj"
"ENSG00000000003","TSPAN6",0.354570392378346,0.00416078237682351
"ENSG00000001617","SEMA3F",0.41323910174363,0.00912864026318775
"ENSG00000002746","HECW1",1.15333941749273,6.91847149257094e-05
"ENSG00000004139","SARM1",0.475605640147059,0.022543402513534
"ENSG00000004142","POLDIP2",0.287253129952088,1.42430228468093e-05
"ENSG00000004961","HCCS",0.288858363021106,0.00281430789982676
"ENSG00000004975","DVL2",0.386552429118833,0.000623547966309283
"ENSG00000005194","CIAPIN1",0.192729620904626,0.0352514691687814
"ENSG00000005243","COPZ2",0.563232754346163,0.00073096233921579
"ENSG00000005882","PDK2",0.445148934004535,0.0457705699404348
"ENSG00000005884","ITGA3",0.377522513803499,0.00141699609953588
"ENSG00000006007","GDE1",0.224766048481291,0.00832741033084246
"ENSG00000006282","SPATA20",0.434795322145726,0.000784205902772508
"ENSG00000006451","RALA",0.446118070295553,5.13020235140813e-09
"ENSG00000006534","ALDH3B1",0.773577729307292,5.06102539300525e-07
"ENSG00000006757","PNPLA4",0.561335620808031,0.000117319582748702
"ENSG00000007384","RHBDF1",0.578481081152649,6.71017132720224e-06
"ENSG00000007520","TSR3",0.26569844075298,0.00188867498614252
"ENSG00000008083","JARID2",0.746902599269233,2.00714177077077e-09
"ENSG00000008382","MPND",0.517891371327512,0.0085869404762116
"ENSG00000008988","RPS20",0.179457065109588,0.00171666782103765
"ENSG00000010256","UQCRC1",0.339065145036499,7.44598365022583e-05
"ENSG00000010270","STARD3NL",0.33335917425709,0.00896651717937704
"ENSG00000010278","CD9",0.821083689958912,0.000404712384358642
"ENSG00000010626","LRRC23",0.794783028927571,9.43549644466112e-05
"ENSG00000010704","HFE",0.557068281132231,0.00972674364296002
"ENSG00000011143","MKS1",0.333644594771933,0.020416065029133
"ENSG00000011198","ABHD5",0.234384950958173,0.0327342143028378
"ENSG00000011638","LDAF1",0.417051467379515,0.0094084955832614
"ENSG00000012061","ERCC1",0.294810178490039,0.0001166306902196
"ENSG00000013288","MAN2B2",0.571825162813718,0.000145594143706861
"ENSG00000013306","SLC25A39",0.19417890749003,0.0224075301820078
"ENSG00000013392","RWDD2A",0.755711546844979,0.00171194185151916
"ENSG00000013441","CLK1",0.321285340091084,0.0450129117093366
"ENSG00000013561","RNF14",0.753112079399339,5.00940713561913e-17
"ENSG00000014641","MDH1",0.256248662698356,0.00860679683422638
"ENSG00000014919","COX15",0.261533949773122,0.0149867090013851
"ENSG00000016082","ISL1",0.731594510691876,0.00363911458773228
"ENSG00000016864","GLT8D1",0.353719134440192,0.0016193336384424
"ENSG00000019549","SNAI2",0.850919293332536,1.50654861520096e-06
"ENSG00000020256","ZFP64",0.239622267624782,0.0219668572966527
"ENSG00000021355","SERPINB1",0.843207900417266,3.656581041957e-05
"ENSG00000022277","RTF2",0.153706929841542,0.00452491595198275
"ENSG00000023191","RNH1",0.206750547395983,0.0123670664877898
"ENSG00000023697","DERA",0.252336711680245,0.0443110642436894
"ENSG00000023839","ABCC2",0.701722122646042,0.00894875239770759
"ENSG00000025434","NR1H3",0.938198884647216,2.93705131490346e-05
"ENSG00000026508","CD44",0.144744489358326,0.0370113279963049
"ENSG00000026652","AGPAT4",0.317117896022545,0.0174035186222551
"ENSG00000026950","BTN3A1",0.86058982583834,7.11394875403132e-06
"ENSG00000027001","MIPEP",0.338303933457225,0.0203489997352601
"ENSG00000027847","B4GALT7",0.611856487732784,9.90127301945038e-10
"ENSG00000028310","BRD9",0.322703789342673,0.00013552850728942
"ENSG00000028528","SNX1",0.164061002245241,0.0397188863605919
"ENSG00000032389","EIPR1",0.395327551716257,2.61774251612266e-05
"ENSG00000033100","CHPF2",0.701330684315991,6.93419547650117e-11
"ENSG00000034713","GABARAPL2",0.293463150316786,0.00173617874197464
"ENSG00000037749","MFAP3",0.347240406988152,0.00197716138908249
"ENSG00000040531","CTNS",0.408621377245269,0.00674802177086184
"ENSG00000040633","PHF23",0.338343478848472,1.3708384117048e-05
"ENSG00000047932","GOPC",0.264368129822643,0.00189536655720356
"ENSG00000048342","CC2D2A",0.265333590541832,0.0267948466022708
"ENSG00000050130","JKAMP",0.482863406564434,2.12854085047056e-07
"ENSG00000050327","ARHGEF5",0.840702992823798,0.000103428680272808
"ENSG00000052723","SIKE1",0.216031127162325,0.0144688590924192
"ENSG00000052802","MSMO1",0.39724026531699,0.0133100064588328
"ENSG00000053501","USE1",0.629213446446121,2.2248931172599e-08
"ENSG00000053770","AP5M1",0.254964580485678,0.0180059071166317
"ENSG00000054116","TRAPPC3",0.237220091297944,0.0194890666043036
"ENSG00000054277","OPN3",0.507310274688651,0.00309705789859185
"ENSG00000055950","MRPL43",0.382381943588827,0.000142187733403
"ENSG00000057019","DCBLD2",0.274789038975558,0.00254395088978636
"ENSG00000057704","TMCC3",0.5414853209806,0.00699656090959165
"ENSG00000057935","MTA3",0.329715642609259,0.0217259660508495
"ENSG00000058799","YIPF1",0.798631433232908,9.87089809129538e-12
"ENSG00000059377","TBXAS1",0.443871806422095,0.0222001497203397
"ENSG00000059691","GATB",0.31857648428287,0.00896188670276756
"ENSG00000060971","ACAA1",0.534359849302392,2.0668104416947e-07
"ENSG00000064490","RFXANK",0.613520696827163,6.68558838532498e-08
"ENSG00000064547","LPAR2",1.43128395080577,3.19633290086082e-05
"ENSG00000064652","SNX24",0.307761808906118,0.00861081562177038
"ENSG00000064961","HMG20B",0.416942670340117,1.24619712187827e-05
"ENSG00000065308","TRAM2",0.308984331570406,0.0134832812061412
"ENSG00000065518","NDUFB4",0.253002979448351,0.000904349981938263
"ENSG00000065802","ASB1",0.41940905941676,3.60039320716811e-05
"ENSG00000065833","ME1",0.54677360628586,7.82827688246695e-07
"ENSG00000066379","POLR1H",0.561928302733705,1.37173771536518e-07
"ENSG00000066926","FECH",0.486008341772443,7.19837290711087e-05
"ENSG00000067167","TRAM1",0.218513924953559,0.00738113401892908
"ENSG00000067221","STOML1",0.3807141001429,0.0142505312819572
"ENSG00000067365","METTL22",0.373758635054378,0.00614304312391941
"ENSG00000067445","TRO",0.852554047681621,0.000950919228796945
"ENSG00000067715","SYT1",0.682707384096589,0.00287376841114869
"ENSG00000068308","OTUD5",0.272004593915007,0.0029497586685389
"ENSG00000068323","TFE3",0.302976986501381,0.0221306522479991
"ENSG00000068354","TBC1D25",0.479662843728917,1.55013394665337e-05
"ENSG00000068394","GPKOW",0.415607359121955,0.00317525779711367
"ENSG00000068438","FTSJ1",0.355794430829821,0.000202123277910797
"ENSG00000068697","LAPTM4A",0.338328932644463,1.02170594022274e-05
"ENSG00000068985","PAGE1",0.71246597622883,0.00295993190657578
"ENSG00000069424","KCNAB2",1.03343976260045,2.42240066895692e-09
"ENSG00000069702","TGFBR3",0.433796233525416,0.00108006666510294
"ENSG00000069943","PIGB",0.657942651016019,1.27951386777423e-05
"ENSG00000070087","PFN2",0.49379449328297,9.94165171911759e-07
"ENSG00000070404","FSTL3",0.543275729353697,0.000980111016379992
"ENSG00000070610","GBA2",0.423030982241819,0.000406194356800723
"ENSG00000070614","NDST1",0.273782138495446,0.0226998071236026
"ENSG00000071082","RPL31",0.293145469681538,0.0104111993137046
"ENSG00000071242","RPS6KA2",0.613175008953967,0.00130663679265814
"ENSG00000071553","ATP6AP1",0.591196365395331,1.00391780739263e-10
"ENSG00000072195","SPEG",0.824710291566776,7.50596720244876e-06
"ENSG00000072422","RHOBTB1",0.692408896770938,1.01861169461939e-05
"ENSG00000072506","HSD17B10",0.251777546531736,0.00297691105948682
"ENSG00000072818","ACAP1",0.584470040793464,0.017519077036268
"ENSG00000073756","PTGS2",0.552341398512662,0.0360444544939847
"ENSG00000073803","MAP3K13",0.52579665630579,1.55826607518155e-15
"ENSG00000074181","NOTCH3",0.606719541945027,0.027910227558098
"ENSG00000074319","TSG101",0.400418969447749,3.17186518104761e-05
"ENSG00000074410","CA12",0.505785630610443,9.50114854569775e-05
"ENSG00000075223","SEMA3C",0.410477846597286,0.00515337629137828
"ENSG00000075785","RAB7A",0.136333157307124,0.021749818973822
"ENSG00000076706","MCAM",0.963616791091583,5.18357120794725e-05
"ENSG00000076944","STXBP2",0.746116455844225,0.0107521711139849
"ENSG00000077380","DYNC1I2",0.333256265344676,5.56931030073439e-06
"ENSG00000077463","SIRT6",0.38647442032803,0.00277314037808757
"ENSG00000077984","CST7",0.545828963418498,0.0492525085702036
"ENSG00000078070","MCCC1",0.404221323545645,0.00213857162873026
"ENSG00000079739","PGM1",0.790300858068922,2.52221913537862e-12
"ENSG00000080815","PSEN1",0.280910053545734,0.0109769576062407
"ENSG00000081051","AFP",0.677142802032275,0.0114548899814897
"ENSG00000081087","OSTM1",0.349413490395479,0.00495708467772529
"ENSG00000081138","CDH7",0.685700875410279,0.0125446986111251
"ENSG00000082014","SMARCD3",0.449973518779304,0.0239958862445025
"ENSG00000083099","LYRM2",0.253425214366525,0.00277964801102473
"ENSG00000083817","ZNF416",0.54422363409498,0.0123425283931557
"ENSG00000083844","ZNF264",0.484719254019006,6.17171625850649e-06
"ENSG00000083845","RPS5",0.269721564668831,0.0179521208794749
"ENSG00000083937","CHMP2B",0.179419618164356,0.0479494679248066
"ENSG00000084623","EIF3I",0.200844643141921,0.0123692688694847
"ENSG00000085733","CTTN",0.413669519220606,1.66092241657878e-05
"ENSG00000086065","CHMP5",0.522672287419274,2.30224033239848e-05
"ENSG00000086544","ITPKC",1.06236179385449,2.4305047944698e-08
"ENSG00000087111","PIGS",0.276601617825596,0.00841472231525913
"ENSG00000087302","RTRAF",0.256332153581466,0.00598277191803896
"ENSG00000087884","AAMDC",0.409552479482337,0.00442640390314269
"ENSG00000088298","EDEM2",0.739377584929238,6.4155730772694e-06
"ENSG00000088543","C3orf18",0.767575937592177,0.0108342393903632
"ENSG00000088726","TMEM40",0.672769214587747,0.0129358269014995
"ENSG00000088899","LZTS3",1.0401157252221,2.95652407883587e-08
"ENSG00000089063","TMEM230",0.325439471983953,0.00425348703954499
"ENSG00000089091","DZANK1",0.536907259400115,0.023858208567314
"ENSG00000089127","OAS1",0.727852128351113,0.00214348131663216
"ENSG00000089157","RPLP0",0.228332605365964,0.00453622827452238
"ENSG00000089220","PEBP1",0.222619181306029,0.000618479256085299
"ENSG00000089818","NECAP1",0.419998914859631,0.00150271074233567
"ENSG00000090266","NDUFB2",0.230994063380279,0.0210555276457393
"ENSG00000090487","SPG21",0.327344200493046,0.000123788373585093
"ENSG00000090581","GNPTG",0.420933403905934,0.0035489490902418
"ENSG00000090612","ZNF268",0.381664844228934,0.00369885223944071
"ENSG00000090932","DLL3",0.564845319096977,0.00181923282471321
"ENSG00000090971","NAT14",0.375180693969578,0.00534965781090393
"ENSG00000090989","EXOC1",0.231338613575495,0.00246556390794085
"ENSG00000091140","DLD",0.170478959228543,0.0447854043667092
"ENSG00000091490","SEL1L3",0.732349384924921,2.00721506256026e-08
"ENSG00000091640","SPAG7",0.256863958141481,0.0345136624848053
"ENSG00000091732","ZC3HC1",0.269635128705315,0.0247626042680396
"ENSG00000091947","TMEM101",0.513499395558919,8.99489511914822e-06
"ENSG00000092010","PSME1",0.383864186227638,0.00478177354670485
"ENSG00000092108","SCFD1",0.35920490216334,1.37131892550462e-05
"ENSG00000092295","TGM1",0.884346864327012,0.00475240935897934
"ENSG00000092330","TINF2",0.753464000163475,4.85622688587136e-10
"ENSG00000092841","MYL6",0.462027156147982,0.000156555255160352
"ENSG00000092931","MFSD11",0.602157554015102,1.55112222303595e-06
"ENSG00000093010","COMT",0.686411267719687,1.68913175908569e-14
"ENSG00000094841","UPRT",0.461209331451713,0.00569896779329909
"ENSG00000095261","PSMD5",0.324587479618397,0.00350457376992412
"ENSG00000095794","CREM",0.452745012976137,0.000179951636727883
"ENSG00000099203","TMED1",0.40284127911306,0.000420370867967605
"ENSG00000099246","RAB18",0.192961845790454,0.0136816799580725
"ENSG00000099290","WASHC2A",0.314704283549641,0.0130009497377374
"ENSG00000099399","MAGEB2",0.331580327168388,9.41867473114512e-06
"ENSG00000099625","CBARP",0.44979462575366,0.0249153845894333
"ENSG00000099949","LZTR1",0.42932097518258,0.000753266184711923
"ENSG00000099992","TBC1D10A",0.613127994777031,0.00787288329189696
"ENSG00000099999","RNF215",0.612255924940296,0.0104419873962611
"ENSG00000100003","SEC14L2",0.589253621427408,0.0024393731903336
"ENSG00000100055","CYTH4",1.35383935510728,5.3208463111413e-06
"ENSG00000100097","LGALS1",0.238932879037749,0.0200290289625597
"ENSG00000100100","PIK3IP1",0.8310103671948,0.00580001669318527
