"ENSEMBL","SYMBOL_wt","log2FC_wt","padj_wt","SYMBOL_KO","log2FC_KO","padj_KO"
"ENSG00000004660","CAMKK1",-0.532417910447916,0.00820948952084606,"CAMKK1",-0.944935966314794,1.88095391658857e-05
"ENSG00000004700","RECQL",-0.24662296770564,0.0133999301587774,"RECQL",-0.445658288506359,2.18109785747956e-06
"ENSG00000004864","SLC25A13",-0.613952526370046,2.73337963990947e-13,"SLC25A13",-0.182977691066881,0.0456703727307002
"ENSG00000005022","SLC25A5",-0.405299493761859,3.61931726748223e-05,"SLC25A5",-0.433063474885907,7.27707024416768e-06
"ENSG00000005059","MCUB",-1.16191137746038,4.87588222097523e-23,"MCUB",-0.693568644324637,1.17679177241551e-09
"ENSG00000005700","IBTK",-0.376691438452857,2.84097410026833e-05,"IBTK",-0.254438363244685,0.00539255452664116
"ENSG00000005810","MYCBP2",-0.536799177593326,3.35904756378245e-07,"MYCBP2",-0.44815022716107,1.85342416643488e-05
"ENSG00000005884","ITGA3",-0.933672075793435,3.03100569502206e-15,"ITGA3",-1.14768109400409,4.60605702091212e-22
"ENSG00000006125","AP2B1",-0.686464663807461,1.30449943925158e-20,"AP2B1",-0.556257159628534,6.14633792808755e-14
"ENSG00000006634","DBF4",-0.601885993711832,6.86007055429134e-10,"DBF4",-0.363306352907742,0.000185394732274569
"ENSG00000006715","VPS41",-0.577235655229809,1.588143157104e-08,"VPS41",-1.08926908021566,3.42589421397339e-24
"ENSG00000007968","E2F2",-0.846876830608614,3.45538273439769e-05,"E2F2",-0.980854240649395,6.21076619275626e-06
"ENSG00000008277","ADAM22",-0.789405017800429,0.000612715447838022,"ADAM22",-0.776707863269666,0.00111712254321653
"ENSG00000008324","SS18L2",-0.30146166250824,0.00806015875464436,"SS18L2",-0.296306219046748,0.00822681186191611
"ENSG00000009307","CSDE1",-0.271746858966541,6.16693941583334e-10,"CSDE1",-0.308447253573331,1.66058963223794e-12
"ENSG00000009694","TENM1",-1.00380321415733,0.00425169831088733,"TENM1",-2.17669833258544,1.07392890312922e-19
"ENSG00000010219","DYRK4",-0.524865248540336,8.21991255111847e-06,"DYRK4",-0.844190638719594,6.52959064607509e-12
"ENSG00000010244","ZNF207",-0.258093637958228,6.64514716823886e-05,"ZNF207",-0.247471927122036,0.000191009718141037
"ENSG00000010803","SCMH1",-1.52161335516146,1.33470474097847e-23,"SCMH1",-1.03363329348803,1.70442214082004e-14
"ENSG00000011114","BTBD7",-0.297456164902208,0.000712202635364127,"BTBD7",-0.202120602155011,0.0263268994651309
"ENSG00000011201","ANOS1",-1.21463079617291,8.21590075630268e-09,"ANOS1",-1.0449223848796,6.71410311682309e-07
"ENSG00000011295","TTC19",-0.546819772481197,2.69143207763517e-08,"TTC19",-0.315369343410119,0.001473129482817
"ENSG00000011422","PLAUR",-0.60130216952786,1.3226004127395e-10,"PLAUR",-0.432678913441138,3.46772165455439e-06
"ENSG00000011454","RABGAP1",-0.547463240894578,9.69532299910288e-15,"RABGAP1",-0.260733390632722,0.000200965370623455
"ENSG00000011677","GABRA3",-0.63957704386666,6.76458662335904e-06,"GABRA3",-1.68119198061965,2.99490623302485e-21
"ENSG00000012124","CD22",-0.757355981772308,0.00217100162241378,"CD22",-0.927739989815036,0.000345261778502093
"ENSG00000012660","ELOVL5",-0.442766275880253,2.71560269477442e-06,"ELOVL5",-0.266604930832218,0.00681031473629261
"ENSG00000014824","SLC30A9",-0.552516463924543,5.86962405910205e-13,"SLC30A9",-0.540763692767164,1.17076051335122e-12
"ENSG00000015133","CCDC88C",-0.428860294604492,0.00508225990056622,"CCDC88C",-0.47746300239575,0.000901544867072856
"ENSG00000015153","YAF2",-0.28729223250829,0.00584891363121347,"YAF2",-0.421837166668636,3.0950593468526e-05
"ENSG00000015171","ZMYND11",-0.698963093594851,2.10986310541153e-21,"ZMYND11",-0.240857193733023,0.0012037584071398
"ENSG00000015475","BID",-0.236556249617804,0.0206791515111706,"BID",-0.299921262548424,0.0019912893825234
"ENSG00000015676","NUDCD3",-0.461428572405282,1.43774280195942e-12,"NUDCD3",-0.448157239272477,4.8820822070455e-12
"ENSG00000018699","TTC27",-0.349164090798395,0.00135967122335654,"TTC27",-0.234501853943514,0.0467820179301868
"ENSG00000020426","MNAT1",-0.613944897115702,1.4323102498489e-08,"MNAT1",-0.4826026312633,4.61871485476399e-06
"ENSG00000021645","NRXN3",-1.3989466198526,6.0708627368282e-08,"NRXN3",-1.47055628104359,1.74890453301426e-07
"ENSG00000021776","AQR",-0.341687717098661,3.46600438237631e-06,"AQR",-0.438720245069604,2.47157923044089e-09
"ENSG00000021826","CPS1",-1.43604705188777,1.31207166982674e-12,"CPS1",-2.3089430991551,6.96384885851438e-21
"ENSG00000022267","FHL1",-0.890410260587069,2.69892136713369e-14,"FHL1",-0.671087997699361,2.02777028322126e-08
"ENSG00000022976","ZNF839",-0.430498972571574,0.0016231634775583,"ZNF839",-0.469154643871028,0.000369031819959156
"ENSG00000023041","ZDHHC6",-0.384359364154308,0.000121113662475465,"ZDHHC6",-0.545133706477186,2.63276789781276e-08
"ENSG00000024526","DEPDC1",-0.599728658741457,2.08457029451773e-06,"DEPDC1",-0.302237377821518,0.0160159706494571
"ENSG00000025796","SEC63",-0.237348134077415,0.0173652149795309,"SEC63",-0.23725718626775,0.0155091432540397
"ENSG00000026025","VIM",-0.474427128806996,0.00222573975227559,"VIM",-0.494524884715929,0.00112015774478449
"ENSG00000026559","KCNG1",-0.393106755623779,0.00609923089694107,"KCNG1",-0.567162765127997,0.000113158582644641
"ENSG00000027001","MIPEP",-0.670933250080937,2.15815952093185e-05,"MIPEP",-1.08113956532712,2.24391892419418e-09
"ENSG00000029153","BMAL2",-1.18737828054663,1.59803802961829e-21,"BMAL2",-0.704898945038033,5.38167273768179e-09
"ENSG00000029639","TFB1M",-0.575875169825765,3.95129073731025e-05,"TFB1M",-0.628946330311159,8.66277786414713e-06
"ENSG00000032389","EIPR1",-0.596627989259233,3.7642307698412e-09,"EIPR1",-0.495767461730879,7.90304769075578e-07
"ENSG00000032742","IFT88",-0.325942930893995,0.0295244083929682,"IFT88",-0.297788424567625,0.0324269930627703
"ENSG00000033170","FUT8",-0.972832118987865,2.41141361679905e-14,"FUT8",-0.699017182522963,7.01648292190257e-08
"ENSG00000034053","APBA2",-0.259048838027294,0.046197207222235,"APBA2",-0.476872632750221,0.00020118202356183
"ENSG00000035403","VCL",-0.308186469705829,0.000545033554543866,"VCL",-0.190967758253828,0.0422466150625535
"ENSG00000035499","DEPDC1B",-0.321606636928297,0.0489984521510685,"DEPDC1B",-0.34662430418047,0.0256959529567757
"ENSG00000035681","NSMAF",-0.890162713068752,1.17119440860888e-20,"NSMAF",-0.501395032332676,5.7216107116396e-08
"ENSG00000038210","PI4K2B",-0.817388357746171,1.1470246747699e-07,"PI4K2B",-0.918956972808171,2.27402164339344e-08
"ENSG00000039560","RAI14",-0.590114449488364,7.28184336433627e-10,"RAI14",-0.422135196348557,1.01898336742597e-05
"ENSG00000040341","STAU2",-0.729413631602382,1.15950518536966e-06,"STAU2",-0.60901304486793,2.22718710636884e-05
"ENSG00000040633","PHF23",-0.191031577001035,0.0263823654834307,"PHF23",-0.216081617562759,0.0100471238815999
"ENSG00000041982","TNC",-1.7157960290648,3.42656869602829e-09,"TNC",-1.65531186602455,3.61839283097292e-09
"ENSG00000042088","TDP1",-0.797455296310522,2.38135900601097e-12,"TDP1",-0.278025357869757,0.0128292365223041
"ENSG00000044459","CNTLN",-0.360110593697554,0.000237597408119952,"CNTLN",-0.402807798480825,2.17225711014227e-05
"ENSG00000044574","HSPA5",-0.824938351926821,5.75079544094861e-26,"HSPA5",-0.862906117793528,6.53357159019866e-28
"ENSG00000047579","DTNBP1",-0.309092767478007,0.00129444068003513,"DTNBP1",-0.293150333630303,0.00195688510432111
"ENSG00000047849","MAP4",-0.690712205450732,1.38457655496408e-22,"MAP4",-0.650201877374941,5.35687158157041e-20
"ENSG00000048828","FAM120A",-0.517395358312175,1.79730205258354e-17,"FAM120A",-0.453882014204709,9.85701670798098e-14
"ENSG00000048991","R3HDM1",-0.681316677507477,2.47789050816687e-14,"R3HDM1",-0.599327162553345,4.26492558336702e-11
"ENSG00000049246","PER3",-0.622322527099152,0.000763634121106407,"PER3",-1.44638418901439,2.56468224519477e-13
"ENSG00000049618","ARID1B",-0.327778892204251,0.000339879356572708,"ARID1B",-0.19509292389417,0.0411508588085551
"ENSG00000050165","DKK3",-0.776261272124704,1.14273376411324e-09,"DKK3",-1.06438290119409,1.57203191484403e-14
"ENSG00000050748","MAPK9",-0.909152737129619,1.28751680221896e-23,"MAPK9",-0.565927955315392,1.42036394571622e-10
"ENSG00000051108","HERPUD1",-0.557273664740484,0.000196976546281031,"HERPUD1",-0.840287920697607,5.23595931860473e-08
"ENSG00000052802","MSMO1",-0.968765862649706,6.32692451479145e-09,"MSMO1",-1.10785279668637,5.83422707157349e-11
"ENSG00000053372","MRTO4",-0.336781418076205,2.66081448875533e-05,"MRTO4",-0.292248770491815,0.000275176410398111
"ENSG00000054118","THRAP3",-0.512601075593945,1.13327795770952e-15,"THRAP3",-0.489324303416323,2.35296098852561e-14
"ENSG00000054282","SDCCAG8",-0.767875523402958,2.21673494898633e-10,"SDCCAG8",-0.974664455298435,1.08145551525556e-15
"ENSG00000054654","SYNE2",-1.0321867017452,2.89043497674154e-12,"SYNE2",-0.953762212161453,9.67067785484547e-11
"ENSG00000055044","NOP58",-0.313767797174383,9.86336100190685e-06,"NOP58",-0.363008103563775,1.87808367733572e-07
"ENSG00000056050","HPF1",-0.430538879483926,2.69548774372963e-05,"HPF1",-0.318627492754247,0.00155566332165604
"ENSG00000057019","DCBLD2",-0.776090701903392,4.8905451903736e-19,"DCBLD2",-0.68586424420938,4.97847901679547e-15
"ENSG00000057608","GDI2",-0.290879137590566,2.04798896276569e-05,"GDI2",-0.222377763013503,0.00150957774382746
"ENSG00000057663","ATG5",-0.400717763950603,0.00122896014839759,"ATG5",-0.295317606512548,0.0141866842881264
"ENSG00000058085","LAMC2",-0.482059690678091,1.0705685484474e-05,"LAMC2",-0.353561769712017,0.00169231184534249
"ENSG00000058091","CDK14",-0.976789016934691,7.85403790860422e-15,"CDK14",-1.07564160541195,3.76729554550168e-17
"ENSG00000058668","ATP2B4",-0.389808886436433,0.0463212259247235,"ATP2B4",-0.813080202485911,0.000120423101686121
"ENSG00000059758","CDK17",-0.815595812550537,2.63061976175377e-13,"CDK17",-0.499340816281161,9.94769647849084e-06
"ENSG00000060982","BCAT1",-1.63727463326279,2.03807759330142e-144,"BCAT1",-1.58686792729454,8.95520844304063e-137
"ENSG00000064199","SPA17",-0.370391982244689,0.0129759540956213,"SPA17",-0.791329319814743,6.9288376906416e-07
"ENSG00000064313","TAF2",-0.222683485672009,0.00127087273034985,"TAF2",-0.261416374971965,0.00016143795700675
"ENSG00000064393","HIPK2",-0.339346258865333,0.0162261580909225,"HIPK2",-0.44101352816919,0.00108349197619114
"ENSG00000064652","SNX24",-0.879475097717721,1.63022669660687e-11,"SNX24",-0.818924507801723,2.51528972694159e-10
"ENSG00000064692","SNCAIP",-2.43727956045794,5.29238547870442e-06,"SNCAIP",-2.58275566648544,1.87808367733572e-07
