"ENSEMBL","SYMBOL_wt","log2FC_wt","padj_wt","SYMBOL_KO","log2FC_KO","padj_KO"
"ENSG00000000003","TSPAN6",0.273476328220394,0.0325971373983389,"TSPAN6",0.470852665876454,5.44164898323144e-05
"ENSG00000001036","FUCA2",0.306535319291679,0.00219449638487398,"FUCA2",0.265953333155516,0.00576768098701937
"ENSG00000001084","GCLC",0.456900693265044,0.00163612998607374,"GCLC",0.484274003779186,0.000483647145588991
"ENSG00000001460","STPG1",0.30421149725721,0.0370067039042915,"STPG1",0.61663668555657,1.90651286347239e-05
"ENSG00000002079","MYH16",1.00525516783898,2.04110370864466e-07,"MYH16",1.38966970157194,9.72541847586919e-13
"ENSG00000002746","HECW1",0.665975654640464,0.0192812957752081,"HECW1",0.760751559154607,0.0112054031572949
"ENSG00000004478","FKBP4",0.287659312597311,0.000142559390119285,"FKBP4",0.54495259425385,2.6673379391407e-13
"ENSG00000004848","ARX",1.71620027271539,0.00068787250095869,"ARX",3.06065608332598,2.68074099477717e-05
"ENSG00000004961","HCCS",0.37517875266698,6.50414966399779e-05,"HCCS",0.271341414016518,0.0052050252091583
"ENSG00000005175","RPAP3",0.230992004302683,0.0123512447569424,"RPAP3",0.389621275960703,5.21608078839021e-06
"ENSG00000005189","REXO5",0.377086226512323,0.0283870544765235,"REXO5",0.973677078675843,3.76985186253229e-08
"ENSG00000005194","CIAPIN1",0.330206600581012,0.000101967042455525,"CIAPIN1",0.26597796637057,0.00205084289357031
"ENSG00000005238","ATOSB",0.555026572585669,0.000227802093973856,"ATOSB",0.310539110608551,0.0411453836581841
"ENSG00000005243","COPZ2",0.615947100101152,0.000267533146986847,"COPZ2",0.344535509948443,0.0472422367577674
"ENSG00000005486","RHBDD2",1.43517197002877,1.00291796423589e-27,"RHBDD2",1.19800521688553,2.23644494967882e-19
"ENSG00000005882","PDK2",1.71390305767924,7.97381085375784e-13,"PDK2",1.13172578584907,0.00025691436769479
"ENSG00000006016","CRLF1",1.13375519938329,7.04948775307557e-05,"CRLF1",1.12265866099689,2.20968895415623e-05
"ENSG00000006432","MAP3K9",0.553178136884292,0.000791615745218478,"MAP3K9",0.839362467158487,2.01024859541652e-05
"ENSG00000006453","BAIAP2L1",0.551498492415767,2.5757767789652e-10,"BAIAP2L1",0.753843453508042,1.67765294783088e-14
"ENSG00000006606","CCL26",2.36062826044511,1.917799614116e-08,"CCL26",3.31383102875425,6.08816913853573e-08
"ENSG00000006638","TBXA2R",0.917608835710669,0.000592886416522932,"TBXA2R",0.868116861256195,0.00402281143817424
"ENSG00000006712","PAF1",0.17714038069346,0.0424286359127021,"PAF1",0.212342698293297,0.0119795537909678
"ENSG00000007341","ST7L",0.396039575299201,0.00580607145472351,"ST7L",0.326813786378511,0.0208215860936753
"ENSG00000007384","RHBDF1",0.909319852972515,1.22071180502803e-12,"RHBDF1",0.719797355830169,2.02777028322126e-08
"ENSG00000007866","TEAD3",1.23593500947831,9.43146587410432e-20,"TEAD3",1.02665906970671,1.37649262385328e-12
"ENSG00000008283","CYB561",0.904792346892113,2.30551573327032e-13,"CYB561",0.69575394653279,5.96366745764491e-06
"ENSG00000008382","MPND",0.759679695119644,0.000180465425335527,"MPND",0.735079546876528,0.00322399120705082
"ENSG00000008394","MGST1",0.201191659976955,0.0419849277506256,"MGST1",0.249332751955309,0.00762286017158804
"ENSG00000008735","MAPK8IP2",0.845501139640884,0.0181003591258923,"MAPK8IP2",1.13097791936414,0.0106776518440781
"ENSG00000008869","HEATR5B",0.39535458777224,0.00297337505836705,"HEATR5B",0.29164459968224,0.0287008814952974
"ENSG00000010319","SEMA3G",2.18964379174163,2.15815952093185e-05,"SEMA3G",2.16863689483134,7.06232959233349e-05
"ENSG00000010322","NISCH",0.451308671439908,0.000973626015277475,"NISCH",0.417477290389194,0.00246523103970337
"ENSG00000010818","HIVEP2",0.280266975164797,0.0189060819345974,"HIVEP2",0.580912356134146,2.37284679545053e-07
"ENSG00000011009","LYPLA2",0.278608245079986,0.000964862414655287,"LYPLA2",0.393423578571942,1.5350048272243e-06
"ENSG00000011243","AKAP8L",0.768136340384772,1.14466609159843e-06,"AKAP8L",0.660629479054761,4.23385274805399e-05
"ENSG00000011332","DPF1",0.28358365746516,0.0460973515162672,"DPF1",0.526878148844881,0.000228090043534676
"ENSG00000011405","PIK3C2A",0.186933538009283,0.010121738677934,"PIK3C2A",0.310748274258071,5.07459326271092e-06
"ENSG00000011451","WIZ",0.347678161110017,0.0037925714440041,"WIZ",0.457040905720477,0.000102888321793294
"ENSG00000011523","CEP68",0.663453702899023,6.16093788937313e-07,"CEP68",0.292301711706463,0.0338814820744817
"ENSG00000012171","SEMA3B",1.43348836884968,5.65114901256451e-08,"SEMA3B",1.41030899162206,8.08824297686165e-10
"ENSG00000012211","PRICKLE3",0.335831801878499,0.043004292082917,"PRICKLE3",0.594681909888301,0.000254840747321685
"ENSG00000013016","EHD3",0.47042729879015,0.000852545119568298,"EHD3",0.560657630173821,5.34248667421611e-05
"ENSG00000013275","PSMC4",0.432811665137312,9.53909044284469e-06,"PSMC4",0.272316434056152,0.00649653497523741
"ENSG00000013375","PGM3",0.220030137998107,0.000470269397732926,"PGM3",0.266238287942704,1.28022746711058e-05
"ENSG00000013523","ANGEL1",1.21338314454709,8.47161363425052e-07,"ANGEL1",0.443393442516214,0.045388191139586
"ENSG00000013588","GPRC5A",1.89047103649199,1.04617609079957e-21,"GPRC5A",1.9574349321791,1.73144408247823e-22
"ENSG00000017797","RALBP1",0.26607940141744,7.20152651109572e-06,"RALBP1",0.175906138726353,0.00572713253605331
"ENSG00000019144","PHLDB1",0.729530930804934,9.84802526929155e-09,"PHLDB1",0.789425522055735,1.71775967333785e-09
"ENSG00000020129","NCDN",0.364666486574064,0.00178509806625971,"NCDN",0.27584809779397,0.0182768012511872
"ENSG00000022840","RNF10",0.195831894453822,0.0245942178086827,"RNF10",0.368771905951028,7.40345403025772e-06
"ENSG00000023287","RB1CC1",0.332086767145566,8.02577576345795e-05,"RB1CC1",0.201906412112793,0.0230104221677143
"ENSG00000023330","ALAS1",0.269383282599001,0.0450247277528741,"ALAS1",0.399553222358777,0.00170401644361046
