"ENSEMBL","SYMBOL","log2FoldChange","padj"
"ENSG00000001617","SEMA3F",-0.560427236711099,0.00146643501176815
"ENSG00000002586","CD99",-0.258573830721684,0.00249899336899357
"ENSG00000003147","ICA1",-0.853192176688885,0.0219489497317547
"ENSG00000004399","PLXND1",-0.806044015007008,6.91262935980372e-06
"ENSG00000005020","SKAP2",-0.699904057362748,6.00986405238165e-10
"ENSG00000005379","TSPOAP1",-0.87506382946559,0.014297787119836
"ENSG00000006194","ZNF263",-0.356959891737878,0.00158697164178856
"ENSG00000006757","PNPLA4",-0.382522666483615,0.0108192109761393
"ENSG00000007392","LUC7L",-0.476482846084559,4.37894600170734e-08
"ENSG00000008294","SPAG9",-0.280972822007206,0.016111941918279
"ENSG00000008513","ST3GAL1",-0.460084052354788,0.0023385166671807
"ENSG00000008988","RPS20",-0.205858945436168,0.000282386002274098
"ENSG00000010810","FYN",-0.237229016781769,0.0380420177568532
"ENSG00000011105","TSPAN9",-0.452728775161661,0.0102116391832878
"ENSG00000011638","LDAF1",-0.368476698013332,0.020494087438108
"ENSG00000014641","MDH1",-0.271558985277014,0.00464791677348641
"ENSG00000026652","AGPAT4",-0.457622801610967,0.000797958530437857
"ENSG00000028310","BRD9",-0.224415666586131,0.0117494413429466
"ENSG00000034510","TMSB10",-0.506793487896591,9.16302042825465e-06
"ENSG00000036448","MYOM2",-0.822911366033517,0.0263298098379214
"ENSG00000038532","CLEC16A",-0.474900975227794,0.00215740454553504
"ENSG00000039139","DNAH5",-0.70290270062079,0.0300151407223583
"ENSG00000042493","CAPG",-0.465525620898397,0.000461129512416624
"ENSG00000042753","AP2S1",-0.229422584791233,0.0336706691048731
"ENSG00000044446","PHKA2",-0.377865963556542,0.0104622357303722
"ENSG00000046647","GEMIN8",-0.399933290360042,0.0222270345920338
"ENSG00000047644","WWC3",-0.370397806428197,0.00535504586758182
"ENSG00000048405","ZNF800",-0.353011421114857,0.00021417201018128
"ENSG00000048471","SNX29",-0.534500265451454,0.00192239777039708
"ENSG00000048544","MRPS10",-0.327125161979295,1.64492065367723e-05
"ENSG00000049167","ERCC8",-0.281127028460614,0.0494589472204462
"ENSG00000049239","H6PD",-0.669044897235587,0.00808677676258469
"ENSG00000049323","LTBP1",-1.28766616557439,1.46901361561305e-06
"ENSG00000049449","RCN1",-0.271872235198593,0.0148244660829135
"ENSG00000049883","PTCD2",-0.335792554229003,0.0148169423965131
"ENSG00000050438","SLC4A8",-0.490120558506777,0.0272353789082489
"ENSG00000053254","FOXN3",-0.47286922219977,5.99188817343723e-05
"ENSG00000054277","OPN3",-0.366051307248758,0.0219838974881591
"ENSG00000054793","ATP9A",-0.439825036056759,0.0221140869543773
"ENSG00000059691","GATB",-0.538937093913804,2.16305905943308e-05
"ENSG00000060762","MPC1",-0.315301399599442,0.0135017223778119
"ENSG00000063241","ISOC2",-0.80450668140398,2.27995495252087e-05
"ENSG00000063978","RNF4",-0.231472806594329,0.0447435704555536
"ENSG00000064300","NGFR",-1.14646067746502,0.000119076389235232
"ENSG00000065600","PACC1",-0.320923661677203,0.0427179139196195
"ENSG00000065615","CYB5R4",-0.459425025513709,0.000203249073089349
"ENSG00000067182","TNFRSF1A",-0.192385741151474,0.0379381765281558
"ENSG00000067225","PKM",-0.202139309307999,0.0211866147007541
"ENSG00000068323","TFE3",-0.298392414427288,0.0217970424139115
"ENSG00000070159","PTPN3",-0.306022148495914,0.0329385377590235
"ENSG00000070540","WIPI1",-0.3563554717164,0.034322828679989
"ENSG00000071082","RPL31",-0.280908155540217,0.0120248735552014
"ENSG00000071537","SEL1L",-0.383840290241704,9.03759266431702e-06
"ENSG00000072756","TRNT1",-0.347514190663755,0.000344073641040851
"ENSG00000073417","PDE8A",-0.276544202904038,0.0326000845020323
"ENSG00000076043","REXO2",-0.178598293629471,0.0364825772118732
"ENSG00000077157","PPP1R12B",-0.548811694758907,0.00238500152618989
"ENSG00000078142","PIK3C3",-0.307457115608539,0.00012709905729866
"ENSG00000078319",NA,-0.283661966837548,0.0368496488457364
"ENSG00000079691","CARMIL1",-0.412727157837004,0.00117551338090541
"ENSG00000082258","CCNT2",-0.426935759572817,0.00128444627753503
"ENSG00000083457","ITGAE",-0.329695326705919,0.0149761618143157
"ENSG00000083520","DIS3",-0.142970915161638,0.0284541522051801
"ENSG00000083535","PIBF1",-0.351560296553435,0.00568677801319914
"ENSG00000083845","RPS5",-0.285214608564645,0.00967251400525006
"ENSG00000084623","EIF3I",-0.172556661062639,0.0373686234325248
"ENSG00000085063","CD59",-0.36461295506732,0.000983390357641027
"ENSG00000085365","SCAMP1",-0.185900380992214,0.0249544495927355
"ENSG00000087008","ACOX3",-0.380461583299038,0.0078011336782208
