"ENSEMBL","SYMBOL","log2FoldChange","padj"
"ENSG00000004487","KDM1A",0.218708712384834,0.0266864548398992
"ENSG00000005339","CREBBP",0.382835703884867,0.0011963645720306
"ENSG00000006451","RALA",0.253095309381253,0.00151266784331183
"ENSG00000007168","PAFAH1B1",0.194946853141624,0.00199189833418978
"ENSG00000008838","MED24",0.402248969691515,0.00132282781848765
"ENSG00000009830","POMT2",0.292291062997381,0.00373610768090562
"ENSG00000010404","IDS",0.536365036836137,0.00276693483809077
"ENSG00000011132","APBA3",0.688147178064003,1.96662137341892e-05
"ENSG00000012048","BRCA1",0.224588950686894,0.0227501237536299
"ENSG00000012963","UBR7",0.224961867477243,0.00716956575978287
"ENSG00000016082","ISL1",0.792367062468307,0.000355779497684031
"ENSG00000018510","AGPS",0.205486105710251,0.0117321899113573
"ENSG00000018610","STEEP1",0.337191952367526,0.0127540093032077
"ENSG00000022567","SLC45A4",0.33041461634474,0.036752219845778
"ENSG00000023516","AKAP11",0.201832944403247,0.0364825772118732
"ENSG00000023608","SNAPC1",0.61538369841076,2.85783532925372e-09
"ENSG00000025434","NR1H3",0.508636720864861,0.0167640150514442
"ENSG00000029993","HMGB3",0.298023130295844,0.0236839533070392
"ENSG00000031823","RANBP3",0.182601067103175,0.0417679906255551
"ENSG00000036054","TBC1D23",0.372821690847145,0.000409799104144939
"ENSG00000036672","USP2",0.76037215834577,0.0336995772531201
"ENSG00000037897","METTL1",0.272777847707139,0.0133710211532402
"ENSG00000038002","AGA",0.50181513897378,0.00102862223882053
"ENSG00000040608","RTN4R",0.594514946519885,0.0172915318763206
"ENSG00000047249","ATP6V1H",0.36235509814008,0.000173023189514425
"ENSG00000047315","POLR2B",0.312859827132276,3.39906158570344e-08
"ENSG00000047617","ANO2",1.3585078520952,0.00571382639710861
"ENSG00000047936","ROS1",1.47836463001454,0.00250112649131012
"ENSG00000049656","CLPTM1L",0.265267056925723,0.00373610768090562
"ENSG00000050130","JKAMP",0.243363655217257,0.0130870880058856
"ENSG00000051596","THOC3",0.590884697910653,4.64142998006519e-07
