"ENSEMBL","SYMBOL","log2FoldChange","padj"
"ENSG00000000419","DPM1",-0.285174320922248,0.00534422198906167
"ENSG00000004897","CDC27",-0.264619210386996,0.000162872838402927
"ENSG00000006530","AGK",-0.273706905751075,0.0323081040820497
"ENSG00000006576","PHTF2",-0.299713350792032,0.00203414630909735
"ENSG00000006625","GGCT",-0.381355710369632,0.000433643821135991
"ENSG00000006704","GTF2IRD1",-0.505368162654152,8.31906251275775e-05
"ENSG00000009844","VTA1",-0.182858287313998,0.0134536495814597
"ENSG00000009954","BAZ1B",-0.232514379204486,0.0197501179246645
"ENSG00000010270","STARD3NL",-0.449047572338339,0.00062218869958059
"ENSG00000010278","CD9",-1.06871650292684,9.48755680969757e-05
"ENSG00000010292","NCAPD2",-0.315402181504924,0.00473882818897822
"ENSG00000011260","UTP18",-0.261804203940024,0.0055183553230967
"ENSG00000011304","PTBP1",-0.288385525687985,0.000223575701727588
"ENSG00000011426","ANLN",-0.314602530420011,0.017951047038185
"ENSG00000012983","MAP4K5",-0.348809075811812,8.96520980192276e-06
"ENSG00000013503","POLR3B",-0.463606135064844,2.70323901758187e-06
"ENSG00000013573","DDX11",-0.283521022090138,0.0346333737343313
"ENSG00000013810","TACC3",-0.284409688285581,0.0220458351622295
"ENSG00000018408","WWTR1",-0.246886729815849,0.00622207225464255
"ENSG00000025772","TOMM34",-0.197738211017443,0.0106239366154481
"ENSG00000028277","POU2F2",-0.558880773028579,0.00293613861314918
"ENSG00000029725","RABEP1",-0.352580193830832,9.03388370114715e-05
"ENSG00000033800","PIAS1",-0.180208912422742,0.0413537813898542
"ENSG00000035141","FAM136A",-0.38053587158774,3.89427760877649e-08
"ENSG00000035687","ADSS2",-0.400868404418007,0.000195628508276624
"ENSG00000036257","CUL3",-0.245403669853188,0.00112073960813496
"ENSG00000036549","ZZZ3",-0.442448317251957,1.0233903597482e-07
"ENSG00000039123","MTREX",-0.268668165076674,0.00116407859130205
"ENSG00000044115","CTNNA1",-0.226586665707687,0.00472671606237247
"ENSG00000047634","SCML1",-0.469925852366621,0.00052826622553379
"ENSG00000048162","NOP16",-0.244880425162568,0.0023108420912232
"ENSG00000049192","ADAMTS6",-0.589295351070561,0.00205673591615012
"ENSG00000049541","RFC2",-0.312475263674654,0.00212035246461074
"ENSG00000049759","NEDD4L",-0.308280800420917,0.0078413605694827
"ENSG00000051180","RAD51",-0.423963511806202,0.00560065241539739
"ENSG00000051382","PIK3CB",-0.374197761302129,0.000118775092504795
"ENSG00000051825","MPHOSPH9",-0.335167830651973,0.0057609861982947
"ENSG00000053900","ANAPC4",-0.388931571682949,2.83251528501118e-05
"ENSG00000054611","TBC1D22A",-0.47191662256419,0.000210309978730032
"ENSG00000055208","TAB2",-0.186925582916808,0.0331179965726518
"ENSG00000055332","EIF2AK2",-0.151489956993018,0.0235295506896199
"ENSG00000057252","SOAT1",-0.315836702525961,0.000595270598199227
"ENSG00000057757","PITHD1",-0.264277017666102,0.00672918619556961
"ENSG00000058056","USP13",-0.467468948131443,3.64243382798099e-08
"ENSG00000058272","PPP1R12A",-0.211545383622354,0.000329613367639682
