"ENSEMBL","SYMBOL","log2FoldChange","padj"
"ENSG00000000971","CFH",0.808702082200418,0.0322732451074321
"ENSG00000001167","NFYA",0.279370324269031,0.0193281529718798
"ENSG00000003056","M6PR",0.277361462723127,1.56426823133389e-05
"ENSG00000003400","CASP10",0.530893953729567,0.0317970210958588
"ENSG00000003509","NDUFAF7",0.276336982036869,0.0363241880209753
"ENSG00000003989","SLC7A2",0.371575477293983,0.0439431741212866
"ENSG00000005007","UPF1",0.233169221991205,0.030560093125342
"ENSG00000005206","SPPL2B",0.586214867797903,0.000412475761615454
"ENSG00000005302","MSL3",0.208328534908079,0.0190913925806523
"ENSG00000005436","GCFC2",0.328415727034202,0.00391430102566102
"ENSG00000005469","CROT",0.401315677864662,0.00353657732642678
"ENSG00000005801","ZNF195",0.734707908953817,4.58680362426924e-13
"ENSG00000006025","OSBPL7",0.399838963885808,0.0340654914654716
"ENSG00000006042","TMEM98",0.748773438300028,4.96579810412427e-06
"ENSG00000006194","ZNF263",0.266775876299241,0.0173358264735662
"ENSG00000006534","ALDH3B1",0.346022673543826,0.0291844406913327
"ENSG00000006756","ARSD",0.490928581139959,0.00294531283252822
"ENSG00000007047","MARK4",0.328552928784061,0.0158668969670315
"ENSG00000007080","CCDC124",0.411678047502169,0.000650164954908187
"ENSG00000008056","SYN1",1.48330149605122,0.00403309697423777
"ENSG00000008130","NADK",0.352725436140444,0.00871593712058113
"ENSG00000008853","RHOBTB2",0.626150013209532,1.26991061377929e-05
"ENSG00000009950","MLXIPL",1.7270683038604,0.00186077732495252
"ENSG00000010072","SPRTN",0.288123323627507,0.021853586782856
"ENSG00000010165","METTL13",0.190801602441284,0.0260972012471475
"ENSG00000010295","IFFO1",0.597943738811235,1.25296342134343e-06
"ENSG00000010539","ZNF200",0.499169625717753,0.000516251743703982
"ENSG00000012822","CALCOCO1",0.920570152319059,0.000108996604335602
"ENSG00000013288","MAN2B2",0.504626013831404,0.000941147496317809
"ENSG00000013392","RWDD2A",0.604296436035124,0.013712220332217
"ENSG00000013563","DNASE1L1",0.329131563851425,0.0159276937339714
"ENSG00000014257","ACP3",0.721497620185252,0.0444615481873725
"ENSG00000019582","CD74",0.638565423279816,0.0355224473991401
"ENSG00000019995","ZRANB1",0.261450120676338,0.00204757935216928
"ENSG00000022277","RTF2",0.217646130830966,2.65693784595172e-05
"ENSG00000023191","RNH1",0.210315644079525,0.0110242838508341
"ENSG00000023697","DERA",0.392235339050664,0.000967833727016566
"ENSG00000023734","STRAP",0.149761197409257,0.0335300839187702
"ENSG00000023839","ABCC2",0.557399135950988,0.0432503887940267
"ENSG00000025039","RRAGD",0.786614404355502,0.00437120258505375
"ENSG00000026950","BTN3A1",0.390303803192672,0.0433422844931195
"ENSG00000027697","IFNGR1",0.438295692575074,0.0196358658962655
"ENSG00000027847","B4GALT7",0.227617329460423,0.0406492873076721
"ENSG00000033050","ABCF2",0.216082484614463,0.00561636905646506
"ENSG00000037757","MRI1",0.217544041314077,0.0243434698847482
"ENSG00000039139","DNAH5",0.619259485991291,0.0311772294289906
"ENSG00000041357","PSMA4",0.252774926137362,0.00161436077525567
"ENSG00000041988","THAP3",0.301169568587598,0.0204898638156282
"ENSG00000042317","SPATA7",1.10098132492099,4.78712445180603e-06
"ENSG00000049769","PPP1R3F",0.815187230899694,0.0212113276451057
"ENSG00000050327","ARHGEF5",0.946749239402295,2.77131950216078e-05
"ENSG00000050426","LETMD1",0.434544269971496,0.00560866657495184
"ENSG00000050820","BCAR1",0.336530582078079,0.00778524766724747
"ENSG00000051009","FHIP1B",0.336428202021666,0.0266161488109912
"ENSG00000053524","MCF2L2",1.34710115755736,0.00176435165754239
"ENSG00000054277","OPN3",0.372746438437892,0.0343208983587446
"ENSG00000060558","GNA15",1.3651414006505,0.00193515463707621
"ENSG00000060971","ACAA1",0.339323820237149,0.00163736664294078
"ENSG00000062282","DGAT2",0.328159328520109,0.0415294599052345
"ENSG00000063169","BICRA",0.407066311929114,0.0406546758800964
"ENSG00000063322","MED29",0.235077455276654,0.0283870544765235
"ENSG00000064195","DLX3",1.934862837316,3.97595925849647e-05
"ENSG00000064547","LPAR2",0.665235672508162,0.0406845199336256
"ENSG00000065054","NHERF2",0.429249897950819,9.369043434338e-06
"ENSG00000065970","FOXJ2",0.240325028305169,0.0295518355489003
"ENSG00000066248","NGEF",0.915868739982142,0.0105560234400678
"ENSG00000066322","ELOVL1",0.306511317651048,0.00795120906933819
"ENSG00000067208","EVI5",0.4179427101023,0.00075290661221226
"ENSG00000067601",NA,0.542284616347483,0.0218655928673306
"ENSG00000067829","IDH3G",0.388956068008585,7.93707198699318e-05
"ENSG00000068079","IFI35",0.597704727447135,0.000404243362018769
"ENSG00000068383","INPP5A",0.280766125377954,0.0219013767119138
"ENSG00000068697","LAPTM4A",0.237250376546007,0.00294128718208215
"ENSG00000068976","PYGM",1.15367319139804,0.00918303567281973
"ENSG00000069431","ABCC9",0.802068874595506,0.0227238738665117
"ENSG00000069509","FUNDC1",0.337822191951344,0.00178792669334219
"ENSG00000069667","RORA",1.23364435279122,1.58333138146159e-05
"ENSG00000070010","UFD1",0.26519360770128,0.000234628121674843
"ENSG00000070444","MNT",0.447733868434851,7.35976308843778e-05
"ENSG00000070526","ST6GALNAC1",0.747710280271036,0.0389145333933477
"ENSG00000071967","CYBRD1",0.30028320859186,0.0272069707142147
"ENSG00000072062","PRKACA",0.292703851950683,0.0106418703835439
"ENSG00000072121","ZFYVE26",0.576738757437056,0.000302820617275822
"ENSG00000072134","EPN2",0.291558480660535,0.0111285638039155
"ENSG00000072135","PTPN18",0.319886144866809,0.00208422033254139
"ENSG00000072506","HSD17B10",0.245832117117006,0.00383884897247367
"ENSG00000072786","STK10",0.25054110826703,0.0499806797953335
"ENSG00000072849","DERL2",0.186387480928779,0.0331296625616172
"ENSG00000073150","PANX2",0.752638460728777,0.00065932153134403
"ENSG00000073464","CLCN4",0.915254236808924,1.71044766786282e-09
"ENSG00000073614","KDM5A",0.159771319588443,0.0451391217173882
"ENSG00000074356","NCBP3",0.250768164855566,0.00336509166398747
"ENSG00000074582","BCS1L",0.276823729079757,0.0241256762276898
"ENSG00000074966","TXK",1.87909844896794,0.00142200695719188
"ENSG00000075234","TTC38",0.32313235515433,0.0241586941033132
"ENSG00000076924","XAB2",0.716004364209178,1.13613719812678e-05
"ENSG00000076944","STXBP2",0.614686469376645,0.0470299971616267
"ENSG00000077063","CTTNBP2",0.501073164467309,0.0238754757431489
"ENSG00000077348","EXOSC5",0.210189866762057,0.0149863310722913
"ENSG00000077585","GPR137B",0.429478777573612,0.0344982079853932
"ENSG00000078114","NEBL",0.867127464952738,0.0186550729703605
"ENSG00000078237","TIGAR",0.481565840345785,0.00202388461321767
"ENSG00000078487","ZCWPW1",0.583151892175782,0.0167266040600189
"ENSG00000078804","TP53INP2",0.404606997765857,0.0213227715417684
"ENSG00000080031","PTPRH",0.811584886932496,0.0277435120828176
"ENSG00000080189","SLC35C2",0.177811749468429,0.0436117543641496
"ENSG00000080854","IGSF9B",0.549033469449329,0.0476154886316117
"ENSG00000081386","ZNF510",0.414173412055924,0.0274659563486421
"ENSG00000082213","C5orf22",0.358171893514889,0.00164041963481509
"ENSG00000082781","ITGB5",0.2364817471938,0.0447305199717965
"ENSG00000083812","ZNF324",0.47160079451971,0.00361529878742962
"ENSG00000083817","ZNF416",1.17020221051797,6.44225647914943e-07
"ENSG00000083838","ZNF446",0.380068310884236,0.0296089264909429
"ENSG00000084072","PPIE",0.292304756403966,0.00576041675213497
"ENSG00000084092","NOA1",0.412687178917549,8.48233232782864e-06
"ENSG00000084463","WBP11",0.25923749050126,0.00391777668867619
