"ENSEMBL","SYMBOL_wt","log2FC_wt","padj_wt","SYMBOL_KO","log2FC_KO","padj_KO"
"ENSG00000002079","MYH16",1.00525516783898,2.04110370864466e-07,"MYH16",1.38966970157194,9.72541847586919e-13
"ENSG00000003400","CASP10",0.530893953729567,0.0317970210958588,"CASP10",0.196720080174232,0.374664149356661
"ENSG00000004487","KDM1A",0.00710243950899324,0.976362330857382,"KDM1A",0.218708712384834,0.0266864548398992
"ENSG00000005059","MCUB",-1.16191137746038,4.87588222097523e-23,"MCUB",-0.693568644324637,1.17679177241551e-09
"ENSG00000005156","LIG3",-0.113369913281297,0.284836146270737,"LIG3",0.169104205962963,0.07966265995002
"ENSG00000005189","REXO5",0.377086226512323,0.0283870544765235,"REXO5",0.973677078675843,3.76985186253229e-08
"ENSG00000005302","MSL3",0.208328534908079,0.0190913925806523,"MSL3",0.008657981422119,0.951698856581089
"ENSG00000006118","TMEM132A",0.263928813051473,0.112555048335914,"TMEM132A",0.237394996890467,0.135411932511019
"ENSG00000006282","SPATA20",0.258056459797611,0.0616170799559833,"SPATA20",-0.0421343567340489,0.83369057945543
"ENSG00000006432","MAP3K9",0.553178136884292,0.000791615745218478,"MAP3K9",0.839362467158487,2.01024859541652e-05
"ENSG00000006607","FARP2",-0.183472259507573,0.15309914898424,"FARP2",-0.179300892986595,0.152494735644313
"ENSG00000007047","MARK4",0.328552928784061,0.0158668969670315,"MARK4",0.263573868876763,0.0513886733348178
"ENSG00000007923","DNAJC11",0.00145210724158975,0.999433637321825,"DNAJC11",0.105139628194586,0.32093744524482
"ENSG00000007968","E2F2",-0.846876830608614,3.45538273439769e-05,"E2F2",-0.980854240649395,6.21076619275626e-06
"ENSG00000008283","CYB561",0.904792346892113,2.30551573327032e-13,"CYB561",0.69575394653279,5.96366745764491e-06
"ENSG00000008311","AASS",-0.0908765453274065,0.535769948777,"AASS",0.0764133383934893,0.59686952646918
"ENSG00000008394","MGST1",0.201191659976955,0.0419849277506256,"MGST1",0.249332751955309,0.00762286017158804
"ENSG00000008952","SEC62",0.0989187584470295,0.203801761065375,"SEC62",-0.0203063002556424,0.860883940935723
"ENSG00000009830","POMT2",0.149767785158995,0.192559704399314,"POMT2",0.292291062997381,0.00373610768090562
"ENSG00000010244","ZNF207",-0.258093637958228,6.64514716823886e-05,"ZNF207",-0.247471927122036,0.000191009718141037
"ENSG00000010256","UQCRC1",0.129614482518173,0.194200000868891,"UQCRC1",0.0703866766198819,0.534483338373181
"ENSG00000010704","HFE",-0.0838353178151506,0.773879217084317,"HFE",0.400901111329052,0.0678963948368314
"ENSG00000011028","MRC2",-0.270116890396083,0.190244565801215,"MRC2",-0.32867255494762,0.0752296756541233
"ENSG00000011105","TSPAN9",-0.173727182618833,0.406818397836508,"TSPAN9",-0.452728775161661,0.0102116391832878
"ENSG00000011198","ABHD5",0.052718911992212,0.731415454413399,"ABHD5",0.175298390131781,0.12335899115828
"ENSG00000011260","UTP18",-0.261804203940024,0.0055183553230967,"UTP18",0.0214351050217419,0.891937497809129
"ENSG00000011304","PTBP1",-0.288385525687985,0.000223575701727588,"PTBP1",0.0111667449452579,0.935987768251914
"ENSG00000011485","PPP5C",-0.00878741410729882,0.976371682540351,"PPP5C",0.169624419465466,0.194810067551565
"ENSG00000012061","ERCC1",0.0375880156281015,0.749746598242551,"ERCC1",0.137568229669543,0.108165247385265
"ENSG00000012124","CD22",-0.757355981772308,0.00217100162241378,"CD22",-0.927739989815036,0.000345261778502093
"ENSG00000012171","SEMA3B",1.43348836884968,5.65114901256451e-08,"SEMA3B",1.41030899162206,8.08824297686165e-10
"ENSG00000012983","MAP4K5",-0.348809075811812,8.96520980192276e-06,"MAP4K5",-0.0789774293712127,0.421513568832971
"ENSG00000013503","POLR3B",-0.463606135064844,2.70323901758187e-06,"POLR3B",-0.0911334762975825,0.469466670192699
"ENSG00000018699","TTC27",-0.349164090798395,0.00135967122335654,"TTC27",-0.234501853943514,0.0467820179301868
"ENSG00000019144","PHLDB1",0.729530930804934,9.84802526929155e-09,"PHLDB1",0.789425522055735,1.71775967333785e-09
"ENSG00000019186","CYP24A1",-0.0191378169959816,0.965013208677084,"CYP24A1",0.164872710815022,0.475053543738924
"ENSG00000023171","GRAMD1B",0.0681925388772418,0.761245686372821,"GRAMD1B",0.097361057173504,0.610806024581249
"ENSG00000023572","GLRX2",0.0366458910992577,0.815664802565515,"GLRX2",0.113408845913594,0.337031628140939
"ENSG00000023892","DEF6",0.20703780625473,0.340659898665239,"DEF6",0.250369689444137,0.180197560907377
"ENSG00000023902","PLEKHO1",0.0579601584859725,0.743957049385625,"PLEKHO1",0.149003708458839,0.275739322736782
"ENSG00000025293","PHF20",0.364086617200418,7.00912834555119e-08,"PHF20",0.555047359798566,3.47817487001331e-17
"ENSG00000026025","VIM",-0.474427128806996,0.00222573975227559,"VIM",-0.494524884715929,0.00112015774478449
"ENSG00000026508","CD44",0.271338048531678,2.46658387447798e-05,"CD44",0.196520675199736,0.00331885737292641
"ENSG00000028116","VRK2",0.0233436715924856,0.908749857401802,"VRK2",-0.0616842375275411,0.703118774116545
"ENSG00000028277","POU2F2",-0.558880773028579,0.00293613861314918,"POU2F2",-0.311490916290815,0.0700564222097806
"ENSG00000029363","BCLAF1",0.0129850325218223,0.933964719214992,"BCLAF1",-0.129862098026578,0.163994993600311
"ENSG00000030582","GRN",0.990037604296752,1.51628785101599e-17,"GRN",0.512896938626081,8.88894760910373e-06
"ENSG00000032219","ARID4A",0.346333189304557,0.00124056146288783,"ARID4A",0.254804577028535,0.019141226423286
"ENSG00000032742","IFT88",-0.325942930893995,0.0295244083929682,"IFT88",-0.297788424567625,0.0324269930627703
"ENSG00000033100","CHPF2",0.342845077121806,0.00243076623538025,"CHPF2",0.254324230662659,0.0292012128512667
"ENSG00000034677","RNF19A",0.194429103658527,0.193212627978509,"RNF19A",0.00715805755230252,0.971820551997054
"ENSG00000035681","NSMAF",-0.890162713068752,1.17119440860888e-20,"NSMAF",-0.501395032332676,5.7216107116396e-08
"ENSG00000035862","TIMP2",0.114243322453227,0.361288951617386,"TIMP2",0.0689234521505001,0.615923073736657
