"ENSEMBL","SYMBOL_wt","log2FC_wt","padj_wt","SYMBOL_KO","log2FC_KO","padj_KO"
"ENSG00000004487","KDM1A",-0.389414621921922,0.000301478634245573,"KDM1A",-0.223721326497853,0.0232267667046613
"ENSG00000005059","MCUB",-0.381839740294664,0.00505496976794284,"MCUB",-0.556299834048112,3.11198896199884e-06
"ENSG00000005156","LIG3",-0.462518642951054,2.55018168292505e-06,"LIG3",-0.417431999322462,1.13902427027185e-06
"ENSG00000005302","MSL3",-0.348707725846898,0.000928998145459931,"MSL3",-0.23315274110339,0.014363822481079
"ENSG00000007923","DNAJC11",-0.251412225210156,0.0109726023158548,"DNAJC11",-0.197889122153978,0.0280532341376431
"ENSG00000007968","E2F2",-0.839094283988492,6.37324848402135e-05,"E2F2",-0.44480832644886,0.00704205667285579
"ENSG00000008283","CYB561",-0.229376944307258,0.021996187476305,"CYB561",-0.199903006072083,0.0250411018117383
"ENSG00000008394","MGST1",-0.568087346767274,2.7043713107805e-08,"MGST1",-0.34160403494713,9.87875005982462e-05
"ENSG00000009830","POMT2",-0.42224816128358,0.000596144722648185,"POMT2",-0.285566917007475,0.0095948838146538
"ENSG00000010244","ZNF207",-0.178590858775175,0.0329515075121773,"ZNF207",-0.217427683616964,0.00215780921313634
"ENSG00000011198","ABHD5",-0.624789780453297,4.70012857911167e-07,"ABHD5",-0.285735989237657,0.0103390799176402
"ENSG00000011260","UTP18",-0.479465948314183,1.27497966923298e-05,"UTP18",-0.44061033356327,1.96878237194323e-06
"ENSG00000011304","PTBP1",-0.228424488426301,0.0172642707869829,"PTBP1",-0.501034956466084,5.35581633416711e-11
"ENSG00000011485","PPP5C",-0.684550775281321,1.04601784928659e-06,"PPP5C",-0.427645742275431,0.000294326660973626
"ENSG00000012124","CD22",-2.43628025346355,3.22188013508367e-09,"CD22",-0.707964857768946,0.0135304348488021
"ENSG00000013503","POLR3B",-0.541076989662814,1.82444645034177e-06,"POLR3B",-0.349078951919774,0.00057311858049315
"ENSG00000018699","TTC27",-0.25201594708951,0.0470627238216261,"TTC27",-0.492356912614225,1.51767738949567e-05
"ENSG00000023572","GLRX2",-0.395880116398291,0.00043200007861901,"GLRX2",-0.505144289611443,1.15384479242563e-07
"ENSG00000028116","VRK2",-0.400370720882813,0.00279514373813156,"VRK2",-0.389034177782477,0.000670208759180166
"ENSG00000029363","BCLAF1",-0.299634709980167,0.00225701528516226,"BCLAF1",-0.355472064828394,1.36166623561729e-05
"ENSG00000032742","IFT88",-0.438205595889252,0.0060486646773756,"IFT88",-0.465647117365116,0.000781794545129311
"ENSG00000035681","NSMAF",-0.445695382017858,2.34270764816601e-05,"NSMAF",-0.293268576114985,0.00203052134365236
"ENSG00000037897","METTL1",-0.451466957073697,0.000670654959518187,"METTL1",-0.295256000433447,0.0106810571419348
"ENSG00000038274","MAT2B",-0.330348998425045,0.0161052624236455,"MAT2B",-0.253530886786537,0.0363387977486103
"ENSG00000040531","CTNS",-0.396399224354542,0.0304139461228669,"CTNS",-0.455705574422101,0.00591711255238352
"ENSG00000040633","PHF23",-0.491886753467497,6.49719683520618e-07,"PHF23",-0.343044996606172,0.000118798644516264
"ENSG00000041802","LSG1",-0.314876468341072,8.09599994857032e-06,"LSG1",-0.236390468849588,0.000225874644510695
"ENSG00000046647","GEMIN8",-0.833114038527256,1.88338841471754e-05,"GEMIN8",-0.455362431585445,0.00368108469035608
"ENSG00000047579","DTNBP1",-0.304648654467225,0.0112093626544666,"DTNBP1",-0.467091606508685,7.85273585468439e-06
"ENSG00000048162","NOP16",-0.435970413848324,2.26594642876028e-06,"NOP16",-0.614824311858368,2.06443073784856e-15
"ENSG00000048405","ZNF800",-0.242520037384391,0.0415149625815274,"ZNF800",-0.228744084804645,0.0375400441681682
"ENSG00000049656","CLPTM1L",-0.299019530227071,0.00677686318207608,"CLPTM1L",-0.363479696099988,8.98953796426021e-05
