"ENSEMBL","SYMBOL_wt","log2FC_wt","padj_wt","SYMBOL_KO","log2FC_KO","padj_KO"
"ENSG00000002079","MYH16",2.3029606247483,0.000117708546488458,"MYH16",1.01563047254924,0.000457481659356748
"ENSG00000003400","CASP10",1.45334370446263,0.00370374291613944,"CASP10",3.07362245949706,9.12805003193827e-07
"ENSG00000005189","REXO5",0.465993919106775,0.0325900485317225,"REXO5",0.364139558755035,0.0423217541319808
"ENSG00000006118","TMEM132A",0.441584133918773,0.0142470013434224,"TMEM132A",0.735834680495293,1.14822522072501e-05
"ENSG00000006282","SPATA20",1.57343133896846,4.05071666688372e-15,"SPATA20",1.16082273685629,3.11774655663028e-13
"ENSG00000006432","MAP3K9",0.582966595236895,0.000961099191510866,"MAP3K9",0.315483893551022,0.0306500580034487
"ENSG00000006607","FARP2",0.319498548758617,0.00718601906703921,"FARP2",0.243487850145655,0.0202399813213524
"ENSG00000007047","MARK4",0.465407059383794,0.00159477600637693,"MARK4",0.488415089552868,0.000120674265965787
"ENSG00000008311","AASS",0.546735093106188,6.18017833478588e-05,"AASS",0.364042632806699,0.00124655115437174
"ENSG00000010256","UQCRC1",0.302105764106271,0.00303335785914016,"UQCRC1",0.226024208025146,0.0117568740239898
"ENSG00000010704","HFE",0.457126280026683,0.0314275124465754,"HFE",0.373769574685679,0.0365693725986957
"ENSG00000011028","MRC2",2.61837977626302,1.84885317248053e-05,"MRC2",1.61216301407571,3.59791828733213e-05
"ENSG00000011105","TSPAN9",1.33161888327797,6.47146679507497e-06,"TSPAN9",0.532112985385668,0.00500697657290785
"ENSG00000012061","ERCC1",0.863516354202958,1.50544843381275e-20,"ERCC1",0.282922571028158,0.000476809502728108
"ENSG00000012171","SEMA3B",1.15793395106134,1.01133086267791e-05,"SEMA3B",2.2235564398948,7.98083667750132e-23
"ENSG00000019144","PHLDB1",1.05368050287271,6.50450791251536e-11,"PHLDB1",0.255053377211578,0.0491921014595319
"ENSG00000019186","CYP24A1",2.39088740094446,0.000571672379699857,"CYP24A1",0.795078142931079,0.0147246597312035
"ENSG00000023171","GRAMD1B",1.67956024885329,0.00058245106145477,"GRAMD1B",2.40303030567829,1.35729302085581e-12
"ENSG00000023892","DEF6",0.620909790338689,0.00345439116273123,"DEF6",0.568998709789378,0.0013022076444053
"ENSG00000025293","PHF20",0.323906423496887,2.09193688388997e-05,"PHF20",0.285853399867997,1.35365662072469e-05
"ENSG00000026025","VIM",2.11967106161626,1.2363713687021e-26,"VIM",0.39512712007214,0.0072800896223102
"ENSG00000026508","CD44",0.890389487769312,5.38422110053115e-30,"CD44",0.497950070952273,2.96845110063224e-14
"ENSG00000028277","POU2F2",0.532920365929418,0.0374464270951492,"POU2F2",0.453821906689622,0.0346595275381265
"ENSG00000030582","GRN",0.680643797191428,9.66894559818481e-07,"GRN",0.746063263641416,3.29595667369756e-10
"ENSG00000032219","ARID4A",0.318765332250849,0.00794499824514254,"ARID4A",0.621341266626672,8.03896292978972e-10
"ENSG00000033100","CHPF2",0.299877483060935,0.0328532561352954,"CHPF2",0.291460872979928,0.0203599239857459
"ENSG00000034677","RNF19A",0.435716147079093,0.00561739210268187,"RNF19A",0.326441828526059,0.0158352773354481
"ENSG00000035862","TIMP2",0.45286790526698,0.000245322372014466,"TIMP2",0.53188275156952,2.94449703838529e-07
"ENSG00000035928","RFC1",0.356977459607374,4.67993207710632e-05,"RFC1",0.240566726861189,0.00159759457350293
