"ENSEMBL","SYMBOL","log2FoldChange","padj"
"ENSG00000003056","M6PR",-0.201026597059816,0.0127445607325165
"ENSG00000004478","FKBP4",-0.379714316419508,1.19871743727355e-07
"ENSG00000004866","ST7",-0.337551726308908,0.0140625691145692
"ENSG00000004897","CDC27",-0.163482028652874,0.0377691226217261
"ENSG00000005075","POLR2J",-0.228377600661617,0.0137417695276786
"ENSG00000006194","ZNF263",-0.396429928859149,0.00114845270680463
"ENSG00000006327","TNFRSF12A",-0.699788033346291,1.29902976280699e-10
"ENSG00000006652","IFRD1",-0.417636510919424,0.00705672316588106
"ENSG00000006712","PAF1",-0.217247208713374,0.0150802646616399
"ENSG00000007168","PAFAH1B1",-0.193164733553432,0.00494635614876585
"ENSG00000007376","RPUSD1",-0.359664136430236,0.00461693162510622
"ENSG00000007392","LUC7L",-0.321595478860357,0.000633871254003971
"ENSG00000008405","CRY1",-0.496846377787405,0.00970517833603715
"ENSG00000008952","SEC62",-0.175366026512193,0.0173050513834346
"ENSG00000010219","DYRK4",-0.280454820861104,0.0183970535354994
"ENSG00000011376","LARS2",-0.371387975280266,0.000103247707390247
"ENSG00000012983","MAP4K5",-0.203776786417183,0.0144682322545204
"ENSG00000013275","PSMC4",-0.567357268235725,1.102626786622e-08
"ENSG00000013375","PGM3",-0.14857353959444,0.0447776575906012
"ENSG00000015171","ZMYND11",-0.213589245824181,0.00651199698186881
"ENSG00000020577","SAMD4A",-0.315304665431629,0.0442023017641999
"ENSG00000023734","STRAP",-0.294735599994406,1.22200971336281e-05
"ENSG00000023902","PLEKHO1",-0.352562435803535,0.00562484327306883
"ENSG00000023909","GCLM",-0.459756482806833,0.000101777887410824
"ENSG00000025770","NCAPH2",-0.333541846685388,0.0107692966756794
"ENSG00000028310","BRD9",-0.243136227635855,0.00990047389050429
"ENSG00000033050","ABCF2",-0.192860270709598,0.0173050513834346
"ENSG00000034533","ASTE1",-0.603111009548412,0.00299527036104396
"ENSG00000035141","FAM136A",-0.380005890497219,5.04686269183531e-07
"ENSG00000036257","CUL3",-0.28126139011625,0.000399058727645411
"ENSG00000037474","NSUN2",-0.236799769820689,0.00515879805315933
"ENSG00000042286","AIFM2",-0.438098365286218,0.00514459996696609
"ENSG00000044574","HSPA5",-0.422407874509923,1.15765744089356e-07
"ENSG00000049246","PER3",-0.747120345324598,0.00143041520422669
"ENSG00000052749","RRP12",-0.457108240385678,0.00046456755726346
"ENSG00000052795","FNIP2",-0.319846186824396,0.00489517805586205
"ENSG00000053372","MRTO4",-0.499297705147654,3.08958325684595e-10
"ENSG00000053900","ANAPC4",-0.221650071945973,0.0210933346544954
"ENSG00000054118","THRAP3",-0.21440359545481,0.00213380615471232
"ENSG00000054598","FOXC1",-0.31941209918593,0.00183247338066305
"ENSG00000055044","NOP58",-0.406646471329727,9.95802685420338e-09
"ENSG00000055070","SZRD1",-0.262793843911835,8.02920800603148e-05
"ENSG00000055130","CUL1",-0.173377259196195,0.0174103674536566
"ENSG00000055917","PUM2",-0.219994968333262,0.00641424751010252
"ENSG00000056050","HPF1",-0.261940769604635,0.0168638585450869
"ENSG00000056277","ZNF280C",-0.526193639070716,0.00189074855721492
"ENSG00000057757","PITHD1",-0.235224331257188,0.0240536273126121
"ENSG00000058262","SEC61A1",-0.223547061380023,0.0404021025083625
"ENSG00000058804","NDC1",-0.272783214793948,0.00833840440264217
"ENSG00000060688","SNRNP40",-0.373768104154968,0.00224874879753244
"ENSG00000061794","MRPS35",-0.313840741328567,2.12348458298278e-05
"ENSG00000064419","TNPO3",-0.270964753221809,0.00111626025341667
"ENSG00000064651","SLC12A2",-0.399365757160628,1.13721494396223e-06
"ENSG00000064703","DDX20",-0.281408705383409,0.00372529105192066
"ENSG00000065328","MCM10",-0.225810344161307,0.0169663452509646
"ENSG00000065427","KARS1",-0.243754413302493,3.43017782891834e-05
"ENSG00000065911","MTHFD2",-0.223462619908722,0.0371243453078604
"ENSG00000066379","POLR1H",-0.388182868007638,0.000676740734032157
"ENSG00000066583","ISOC1",-0.473101848477131,7.75398106677705e-06
"ENSG00000066697","MSANTD3",-0.249827760934987,0.00626118832852957
"ENSG00000067334","DNTTIP2",-0.305166360031913,0.0032522456933111
"ENSG00000067533","RRP15",-0.284865797415988,0.000656610017177935
"ENSG00000068120","COASY",-0.250582173157653,0.00656625664534827
"ENSG00000068323","TFE3",-0.282048178609971,0.0404609540383047
"ENSG00000069011","PITX1",-0.304578828994436,0.00479236639441405
"ENSG00000069849","ATP1B3",-0.259280057659252,0.000970455441740318
"ENSG00000070047","PHRF1",-0.250668009021788,0.0264836135512481
"ENSG00000070423","RNF126",-0.564474480268792,2.07831264507739e-07
"ENSG00000070814","TCOF1",-0.244027874032628,0.010781462268744
"ENSG00000071462","BUD23",-0.284603834161239,0.00123331030198388
"ENSG00000071564","TCF3",-0.297788343780769,0.000239678178600435
"ENSG00000071655","MBD3",-0.590787892215881,4.00216052811156e-06
"ENSG00000071994","PDCD2",-0.161145400877049,0.0313841323162237
"ENSG00000072849","DERL2",-0.205369856296586,0.0495765506763378
"ENSG00000073008","PVR",-0.313300053951504,0.0119653645913612
"ENSG00000073111","MCM2",-0.283132228477287,0.0190231867636365
"ENSG00000073712","FERMT2",-0.398937230084056,0.00022765545216835
"ENSG00000074071","MRPS34",-0.21068241765307,0.0395524659284124
"ENSG00000074695","LMAN1",-0.290668035702604,2.78002960050577e-06
"ENSG00000074800","ENO1",-0.217375107507267,0.00568720941376877
"ENSG00000074842","MYDGF",-0.258910508733637,0.00841458844319519
"ENSG00000075624","ACTB",-0.19314728122546,0.0385878375272158
"ENSG00000076650","GPATCH1",-0.313625207757503,0.0258962611453702
"ENSG00000076928","ARHGEF1",-0.474168413834183,0.000176023034123956
"ENSG00000077147","TM9SF3",-0.221277809251159,0.00189042457818748
"ENSG00000077348","EXOSC5",-0.222531196672718,0.0189632177072522
"ENSG00000078140","UBE2K",-0.247782749410432,0.000591255113297358
"ENSG00000078967","UBE2D4",-0.432030079519309,0.0053048324459735
"ENSG00000080608","PUM3",-0.183473683330874,0.00806025381785338
"ENSG00000080824","HSP90AA1",-0.41737911512485,9.77647387054379e-06
"ENSG00000081019","RSBN1",-0.41814811595116,4.81313608393878e-06
"ENSG00000081307","UBA5",-0.19599979790132,0.0176631360416848
"ENSG00000082153","BZW1",-0.256250701407106,0.00520150764003611
"ENSG00000082515","MRPL22",-0.196787439573286,0.048021512078707
"ENSG00000083635","NUFIP1",-0.170453909372105,0.0428362870129004
"ENSG00000083937","CHMP2B",-0.292999261602227,0.000774995327901819
"ENSG00000084073","ZMPSTE24",-0.362171021679065,0.000469220816178357
"ENSG00000084090","STARD7",-0.223166822970366,0.0154432378775867
"ENSG00000084463","WBP11",-0.21353266797315,0.0232267667046613
"ENSG00000085231","AK6",-0.439324727315592,2.61444950440514e-05
"ENSG00000085760","MTIF2",-0.24071900890954,0.00814204811612062
"ENSG00000085872","CHERP",-0.241250593022994,0.0155318837349134
"ENSG00000086061","DNAJA1",-0.499086186387847,3.06180429172199e-10
"ENSG00000086475","SEPHS1",-0.320293903375414,4.32525752478785e-05
"ENSG00000086598","TMED2",-0.233620000650251,0.00858159297352147
"ENSG00000087053","MTMR2",-0.36440717938915,6.57268142992046e-05
