"ENSEMBL","SYMBOL","log2FoldChange","padj"
"ENSG00000000971","CFH",0.808702082200418,0.0322732451074321
"ENSG00000001036","FUCA2",0.306535319291679,0.00219449638487398
"ENSG00000001561","ENPP4",0.487403699445151,0.11111221058351
"ENSG00000002586","CD99",-0.0492011811963343,0.68802829225012
"ENSG00000003137","CYP26B1",0.138438788351581,0.630564442425026
"ENSG00000003402","CFLAR",-0.157976676839945,0.284510708087031
"ENSG00000004660","CAMKK1",-0.532417910447916,0.00820948952084606
"ENSG00000004766","VPS50",-0.00841250842687738,0.983403509588428
"ENSG00000004799","PDK4",-0.0177278518355287,0.968255888012337
"ENSG00000004975","DVL2",0.0300763925183516,0.872188073449782
"ENSG00000005100","DHX33",-0.00999040645550699,0.950944313470453
"ENSG00000005238","ATOSB",0.555026572585669,0.000227802093973856
"ENSG00000005249","PRKAR2B",-0.142974829582179,0.547978249563471
"ENSG00000005483","KMT2E",-0.117492476221374,0.317837994303708
"ENSG00000005486","RHBDD2",1.43517197002877,1.00291796423589e-27
"ENSG00000005700","IBTK",-0.376691438452857,2.84097410026833e-05
"ENSG00000005884","ITGA3",-0.933672075793435,3.03100569502206e-15
"ENSG00000005889","ZFX",-0.0976712733867028,0.528904846548527
"ENSG00000006451","RALA",0.161077605870437,0.062185162079605
"ENSG00000006576","PHTF2",-0.299713350792032,0.00203414630909735
"ENSG00000006831","ADIPOR2",-0.138515417662525,0.0604461264735461
"ENSG00000007866","TEAD3",1.23593500947831,9.43146587410432e-20
"ENSG00000008018","PSMB1",-0.100525337324173,0.404583935488835
"ENSG00000008838","MED24",0.16482607331629,0.260060813927576
"ENSG00000008853","RHOBTB2",0.626150013209532,1.26991061377929e-05
"ENSG00000010295","IFFO1",0.597943738811235,1.25296342134343e-06
"ENSG00000011007","ELOA",-0.0403247245062554,0.769686757445034
"ENSG00000011332","DPF1",0.28358365746516,0.0460973515162672
"ENSG00000011347","SYT7",-0.0562027209884634,0.874965142916818
"ENSG00000011465","DCN",0.0660275829578366,0.837497640922381
"ENSG00000012232","EXTL3",-0.101657895760673,0.335648881662397
"ENSG00000013306","SLC25A39",0.0599754165635318,0.586838797487253
"ENSG00000013374","NUB1",0.0810470275086667,0.461098790826764
"ENSG00000013619","MAMLD1",-0.0369574697125335,0.903610982847778
"ENSG00000015532","XYLT2",-0.00989617259637044,0.964691427230734
"ENSG00000016082","ISL1",0.0620575029644318,0.853287572989689
"ENSG00000017797","RALBP1",0.26607940141744,7.20152651109572e-06
"ENSG00000018408","WWTR1",-0.246886729815849,0.00622207225464255
"ENSG00000019169","MARCO",0.035811717157936,0.921428107791884
"ENSG00000020129","NCDN",0.364666486574064,0.00178509806625971
"ENSG00000020181","ADGRA2",0.262928664506284,0.342528995131275
"ENSG00000021645","NRXN3",-1.3989466198526,6.0708627368282e-08
"ENSG00000021762","OSBPL5",-0.0847864190101563,0.735512256440617
"ENSG00000022567","SLC45A4",-0.00425607013532074,0.996512978493317
"ENSG00000023228","NDUFS1",0.00880204279809397,0.961231096850392
"ENSG00000023445","BIRC3",1.75233953303537,1.16892455543142e-15
"ENSG00000023516","AKAP11",0.171999451386806,0.0897834926547783
"ENSG00000023608","SNAPC1",0.0760307028869148,0.586936738683906
"ENSG00000024422","EHD2",0.119484869328552,0.438226996073678
"ENSG00000025039","RRAGD",0.786614404355502,0.00437120258505375
"ENSG00000025796","SEC63",-0.237348134077415,0.0173652149795309
"ENSG00000026751","SLAMF7",0.798467866951384,9.83111467856846e-05
"ENSG00000027697","IFNGR1",0.438295692575074,0.0196358658962655
"ENSG00000027869","SH2D2A",1.07814772842305,3.78682345067163e-06
"ENSG00000028203","VEZT",-0.0982167791382906,0.273663346977392
"ENSG00000030066","NUP160",0.0356919414710842,0.84535001190594
"ENSG00000030419","IKZF2",-0.150141514693256,0.582809302975743
"ENSG00000031081","ARHGAP31",-0.268321614713278,0.120221853393777
"ENSG00000031698","SARS1",0.0750861138640653,0.63188891280898
"ENSG00000032389","EIPR1",-0.596627989259233,3.7642307698412e-09
"ENSG00000033030","ZCCHC8",-0.194047591821576,0.11826930571501
"ENSG00000033178","UBA6",-0.0362192455772554,0.716119496992081
"ENSG00000033800","PIAS1",-0.180208912422742,0.0413537813898542
"ENSG00000033867","SLC4A7",-0.163397773329131,0.17841528536888
"ENSG00000035687","ADSS2",-0.400868404418007,0.000195628508276624
"ENSG00000036549","ZZZ3",-0.442448317251957,1.0233903597482e-07
"ENSG00000037965","HOXC8",0.23273577957477,0.0533105199012411
"ENSG00000038427","VCAN",0.246790294029149,0.226298580601817
"ENSG00000039560","RAI14",-0.590114449488364,7.28184336433627e-10
"ENSG00000040487","SLC66A1",0.43763198579425,0.00068491777313426
"ENSG00000046604","DSG2",0.394686383519827,6.6790862725032e-06
"ENSG00000046651","OFD1",0.528370490046966,1.07128115368258e-07
"ENSG00000047315","POLR2B",-0.00485368550199574,0.973224020016591
"ENSG00000047597","XK",0.064719187759184,0.84731068710725
"ENSG00000048140","TSPAN17",0.219987417854063,0.0505941692988393
"ENSG00000048342","CC2D2A",0.12258208940018,0.385675933582676
"ENSG00000048991","R3HDM1",-0.681316677507477,2.47789050816687e-14
"ENSG00000049192","ADAMTS6",-0.589295351070561,0.00205673591615012
"ENSG00000049860","HEXB",0.0698077965999579,0.528882122153273
"ENSG00000050393","MCUR1",0.0148941592975487,0.902908251636753
