"ENSEMBL","SYMBOL","log2FoldChange","padj"
"ENSG00000001561","ENPP4",-2.30607200251361,0.000193200025702563
"ENSG00000003402","CFLAR",-0.46376568937414,0.000863066936294355
"ENSG00000004660","CAMKK1",-0.627433218717241,0.00168265036907729
"ENSG00000004766","VPS50",-0.331919163718388,0.0404430713286868
"ENSG00000004799","PDK4",-3.4604208336953,1.49909460467959e-11
"ENSG00000004975","DVL2",-0.292658439651666,0.0419653970944411
"ENSG00000005249","PRKAR2B",-2.1826261349982,2.57945296248063e-08
"ENSG00000005483","KMT2E",-0.270139246520225,0.0215954723726612
"ENSG00000005889","ZFX",-0.460882421289851,0.000601743617201587
"ENSG00000011007","ELOA",-0.382537220045916,0.000438938693511861
"ENSG00000011347","SYT7",-0.548692447200567,0.0258995103960507
"ENSG00000011465","DCN",-2.37242033001408,1.84833492160864e-07
"ENSG00000013374","NUB1",-0.225157399734029,0.0336444514092979
"ENSG00000016082","ISL1",-0.707046778908324,0.00131075964676903
"ENSG00000019169","MARCO",-0.641300123389135,0.0306402638751234
"ENSG00000021645","NRXN3",-0.96617038913144,0.0170654304104838
"ENSG00000021762","OSBPL5",-0.390153722366834,0.0311395325017391
"ENSG00000023228","NDUFS1",-0.373053800595329,0.000165435811111298
"ENSG00000023445","BIRC3",-0.779517798016016,0.000210167822854007
"ENSG00000023516","AKAP11",-0.304609281317751,0.00808661790685334
"ENSG00000025039","RRAGD",-1.52867356876018,0.000181379869709205
"ENSG00000026751","SLAMF7",-0.59761086918294,0.0161595311066166
"ENSG00000027697","IFNGR1",-0.964416538905752,2.51556252908168e-06
"ENSG00000028203","VEZT",-0.200159953091229,0.030011131683531
"ENSG00000030419","IKZF2",-0.92778571587259,4.39299512787567e-05
"ENSG00000033030","ZCCHC8",-0.457477244895982,0.000400970880859112
"ENSG00000033800","PIAS1",-0.241865505463692,0.0145372451445581
"ENSG00000035687","ADSS2",-0.307619564351663,0.0111945278986566
"ENSG00000036549","ZZZ3",-0.219452242847381,0.0411336996339711
"ENSG00000039068","CDH1",-0.691665890206368,1.34628591443379e-08
"ENSG00000046604","DSG2",-0.292582301132845,0.00393006495273916
"ENSG00000046651","OFD1",-0.392581449744625,0.000387946355287824
"ENSG00000047315","POLR2B",-0.208856261159045,0.00549154763700206
"ENSG00000047597","XK",-0.624819486072338,0.0152991935901482
"ENSG00000047936","ROS1",-0.617823038648818,0.00228006573462362
"ENSG00000048342","CC2D2A",-0.332252365511014,0.0172247375885807
"ENSG00000052344","PRSS8",-0.560158840270519,0.000171240134159956
"ENSG00000054277","OPN3",-0.983687508816573,1.82655430273046e-09
"ENSG00000058063","ATP11B",-0.262387956302977,0.0150157874990337
"ENSG00000058668","ATP2B4",-0.668224787606604,0.00279881291211493
"ENSG00000059769","DNAJC25",-0.267616307997169,0.0416218345875044
"ENSG00000061918","GUCY1B1",-0.387387849190254,0.0265823533565318
"ENSG00000062194","GPBP1",-0.224922107047088,0.00309822066854732
"ENSG00000064195","DLX3",-0.854640300363423,0.0112604501530644
"ENSG00000064726","BTBD1",-0.378471064756802,0.028662406426269
"ENSG00000064886","CHI3L2",-0.62202316883558,0.00795434895939997
"ENSG00000066827","ZFAT",-0.50719091967888,0.0126647411039702
"ENSG00000066933","MYO9A",-0.233619201991737,0.0458535182279076
"ENSG00000067167","TRAM1",-0.229129053547377,0.0154012136046319
"ENSG00000068615","REEP1",-1.81408136530848,0.00249233042371313
"ENSG00000069248","NUP133",-0.267754767859047,0.0327321052107964
"ENSG00000069702","TGFBR3",-1.05708682515818,1.56706697236538e-10
"ENSG00000070214","SLC44A1",-0.318947301049487,0.000645294528765486
"ENSG00000070269","TMEM260",-0.377914022114554,0.0113831209131104
"ENSG00000070476","ZXDC",-0.31702627018185,0.0207097095513946
"ENSG00000070501","POLB",-0.285922832118982,0.0348274668964129
"ENSG00000071189","SNX13",-0.372706649571047,0.00649960311070093
"ENSG00000072071","ADGRL1",-0.435489460294335,0.0272488645448344
"ENSG00000072210","ALDH3A2",-0.261620539409359,0.0428007276734959
"ENSG00000072756","TRNT1",-0.259867762902706,0.018462014322694
"ENSG00000073350","LLGL2",-0.462258526017103,0.0037025864824606
"ENSG00000073756","PTGS2",-1.12646857607366,0.00263043131688321
"ENSG00000074054","CLASP1",-0.677562319589335,1.24518320622919e-08
"ENSG00000074657","ZNF532",-0.455014479991505,0.00123212804933959
"ENSG00000075426","FOSL2",-0.808919992209021,1.42628082127653e-11
"ENSG00000075711","DLG1",-0.301362338364912,0.0160243792186831
"ENSG00000075945","KIFAP3",-0.483389986558994,9.00447131213553e-05
"ENSG00000076321","KLHL20",-0.248247188142024,0.0212477520447373
"ENSG00000076555","ACACB",-1.39008318988766,1.47927989323957e-05
"ENSG00000077097","TOP2B",-0.348524880423922,7.74107533498297e-05
"ENSG00000077254","USP33",-0.362637365906752,0.000159824665953984
"ENSG00000077274","CAPN6",-0.895153071329224,0.0228409801103247
"ENSG00000077942","FBLN1",-0.347511690848228,0.0443257292582081
"ENSG00000078018","MAP2",-3.28998352305871,9.09314575764744e-15
"ENSG00000078070","MCCC1",-0.330472611576856,0.026211274864882
"ENSG00000078114","NEBL",-2.54644531553556,1.49909460467959e-11
"ENSG00000078403","MLLT10",-0.46939052968616,6.40693167435445e-05
"ENSG00000079134","THOC1",-0.406896729381899,0.00174201279252669
"ENSG00000079313","REXO1",-0.507268862976516,0.00929706783584337
"ENSG00000080298","RFX3",-0.374503553804065,0.0459454949829225
"ENSG00000080822","CLDND1",-0.471798483244997,0.0018180709962683
"ENSG00000080854","IGSF9B",-0.626887210629683,0.00737034113418864
"ENSG00000081052","COL4A4",-2.10846880566052,8.79030437706866e-05
"ENSG00000082074","FYB1",-0.572604995082121,0.0151550074388196
"ENSG00000082269","FAM135A",-0.419233529551212,0.00098035093733846
"ENSG00000082641","NFE2L1",-0.456008739238934,1.33433361112926e-05
"ENSG00000082996","RNF13",-0.515096148643603,0.000623968789686334
"ENSG00000083223","TUT7",-0.29943445544214,0.0259484888045704
"ENSG00000083307","GRHL2",-0.33453031349578,0.0065462028019021
"ENSG00000083544","TDRD3",-0.443613740542081,0.00254127525638043
"ENSG00000084733","RAB10",-0.225005333350637,0.0217069991198897
"ENSG00000085978","ATG16L1",-0.296099229377003,0.0167486647311799
"ENSG00000086544","ITPKC",-0.358646104669127,0.0323781165240645
