"ENSEMBL","SYMBOL","log2FoldChange","padj"
"ENSG00000000971","CFH",1.00390099838931,0.0172157664405078
"ENSG00000001036","FUCA2",0.318183141196763,0.00519145493264497
"ENSG00000002586","CD99",0.330111471908911,0.00186600147937826
"ENSG00000003137","CYP26B1",1.91347745881426,2.82552902224252e-06
"ENSG00000005100","DHX33",0.254585652564376,0.00933971946923429
"ENSG00000005238","ATOSB",1.00947707177688,8.77160370908091e-07
"ENSG00000005486","RHBDD2",0.585911558216743,0.00041294885396816
"ENSG00000005700","IBTK",0.263984305739337,0.0142048617823429
"ENSG00000005884","ITGA3",0.389115008529947,0.00516135488582988
"ENSG00000006451","RALA",0.22946067999679,0.0213214066582045
"ENSG00000006576","PHTF2",0.358177880719941,0.000928791410752674
"ENSG00000006831","ADIPOR2",0.240915309133081,0.00394300404957212
"ENSG00000007866","TEAD3",0.298547813326344,0.0403732755747995
"ENSG00000008018","PSMB1",0.359206132844308,0.00178051426680852
"ENSG00000008838","MED24",0.849755108482694,2.64889286699768e-08
"ENSG00000008853","RHOBTB2",0.64099122287302,7.10441781833e-05
"ENSG00000008952","SEC62",0.198870442114416,0.0192684058254348
"ENSG00000010295","IFFO1",0.792956789949051,0.0286156701248617
"ENSG00000011332","DPF1",0.473226010395846,0.00612673029860453
"ENSG00000012232","EXTL3",0.300325536164716,0.00637385256435066
"ENSG00000012983","MAP4K5",0.19678989274034,0.0398594609149392
"ENSG00000013306","SLC25A39",0.256865346193932,0.00655465395110483
"ENSG00000013619","MAMLD1",0.736681614728453,0.00473803933006743
"ENSG00000015532","XYLT2",0.751681713540495,4.12025369404586e-08
"ENSG00000017797","RALBP1",0.209028674066097,0.00315025791118547
"ENSG00000018408","WWTR1",0.298292536745764,0.0142018780452631
"ENSG00000020129","NCDN",0.352705401009401,0.0101156569517934
"ENSG00000020181","ADGRA2",1.06505842649323,0.0125065326455938
"ENSG00000022567","SLC45A4",0.529490741198284,0.00820034419154109
"ENSG00000023608","SNAPC1",0.382937316086617,0.00348140675769941
"ENSG00000023902","PLEKHO1",0.378661277284306,0.0116186952180287
"ENSG00000024422","EHD2",0.372278355783942,0.00908461214113067
"ENSG00000025796","SEC63",0.447085011434788,6.59288021694334e-05
"ENSG00000027869","SH2D2A",1.83169253805241,5.13423579433188e-11
"ENSG00000030066","NUP160",0.457954765725126,0.000329368481766811
"ENSG00000031081","ARHGAP31",0.975159721855015,0.00202434068969602
"ENSG00000031698","SARS1",0.332815542292002,0.0145044222036428
"ENSG00000032389","EIPR1",0.405111389507635,0.00064714820983584
"ENSG00000033178","UBA6",0.176690526345962,0.0466498854334007
"ENSG00000033867","SLC4A7",0.59044488201168,4.9520881797642e-06
"ENSG00000037965","HOXC8",0.315804148157169,0.0191398599042934
"ENSG00000038427","VCAN",2.24868328613948,1.36107166836533e-07
"ENSG00000039560","RAI14",0.639316068806802,3.59961333808062e-08
"ENSG00000040487","SLC66A1",0.407512078155967,0.012280531773508
"ENSG00000048140","TSPAN17",0.532218833820562,2.58304827583413e-05
"ENSG00000048991","R3HDM1",0.243145755673079,0.0215507851945016
"ENSG00000049192","ADAMTS6",1.4206150595897,1.42405147800103e-06
"ENSG00000049860","HEXB",0.295216374065066,0.00377436512874315
"ENSG00000050393","MCUR1",0.225460914375737,0.00844171726085542
"ENSG00000053524","MCF2L2",0.762791563631993,0.0265823533565318
"ENSG00000054967","RELT",0.371230106845069,0.0162754337199954
"ENSG00000055211","GINM1",0.304852096811874,0.00590034986419071
"ENSG00000057019","DCBLD2",0.591441536050933,4.25981284384082e-08
"ENSG00000057704","TMCC3",1.35093578697548,6.86691752652454e-05
"ENSG00000060558","GNA15",0.653471021499642,4.58406552539512e-06
"ENSG00000060971","ACAA1",0.242978437165273,0.0420167696809834
"ENSG00000062822","POLD1",0.363621211437609,0.0328477433824976
"ENSG00000063245","EPN1",0.25429094259882,0.0393949826809673
"ENSG00000063587","ZNF275",0.314635139148915,0.0441930566176148
"ENSG00000064490","RFXANK",0.873233069343694,2.90541457308646e-09
"ENSG00000064666","CNN2",0.520487483895992,9.03957465841692e-05
"ENSG00000065427","KARS1",0.154688210675497,0.0356526314410836
"ENSG00000065600","PACC1",0.431111723701065,0.00970730398579306
"ENSG00000065802","ASB1",0.720239976305211,6.23816069910732e-08
"ENSG00000065911","MTHFD2",0.250832427776273,0.0416218345875044
"ENSG00000065989","PDE4A",0.906724167502084,0.00545344807470874
"ENSG00000066697","MSANTD3",0.376097638017956,0.000571672379699857
"ENSG00000067057","PFKP",0.555625775857273,3.11692748933464e-10
"ENSG00000067113","PLPP1",0.35170313133508,0.0325489424736863
"ENSG00000067208","EVI5",0.281048284712614,0.0450403164652092
"ENSG00000067560","RHOA",0.168629872232483,0.0308572922686881
"ENSG00000067955","CBFB",0.203400558732867,0.0352497452522729
"ENSG00000067992","PDK3",0.397328030171053,0.0202059928140689
"ENSG00000068366","ACSL4",0.277314526400269,0.0179703851562001
"ENSG00000068796","KIF2A",0.428521705840018,1.93040066729301e-06
"ENSG00000069493","CLEC2D",0.571189514948821,0.0486922248500006
