"ENSEMBL","SYMBOL_wt","log2FC_wt","padj_wt","SYMBOL_KO","log2FC_KO","padj_KO"
"ENSG00000004799","PDK4",-4.79949945762825,7.01215800250585e-14,"PDK4",-0.912014194940746,0.00419815495345997
"ENSG00000007968","E2F2",-1.22687158359616,1.76719311739063e-07,"E2F2",-0.855427650197977,2.57237463495019e-05
"ENSG00000008283","CYB561",-0.287386466165484,0.00333699878235226,"CYB561",-0.174193422337081,0.0494063455484857
"ENSG00000009830","POMT2",-0.370110544397672,0.00254861434184061,"POMT2",-0.38796627253977,0.000202760810751497
"ENSG00000010292","NCAPD2",-0.646665795549344,1.38828756773778e-06,"NCAPD2",-0.220671423353458,0.0432013735474264
"ENSG00000011304","PTBP1",-0.197736919814458,0.0420448523936198,"PTBP1",-0.358738331237193,2.69337706023859e-06
"ENSG00000011426","ANLN",-0.284612729269866,0.0484088661716395,"ANLN",-0.248388477634294,0.0371400875093469
"ENSG00000011485","PPP5C",-0.450952366102236,0.000927019884898855,"PPP5C",-0.347633307105396,0.00209669835448981
"ENSG00000012124","CD22",-2.8726691192191,4.92307243197281e-10,"CD22",-0.803717949252953,0.00704072673151657
"ENSG00000013810","TACC3",-0.4740694466874,0.000640309168032354,"TACC3",-0.226024284329709,0.0483241637418684
"ENSG00000028116","VRK2",-0.28184213345434,0.0325969977479436,"VRK2",-0.275421498521344,0.0122569833197735
"ENSG00000029363","BCLAF1",-0.389083701232057,4.43069686451487e-05,"BCLAF1",-0.256622299253229,0.00204417896921869
"ENSG00000040633","PHF23",-0.339268628930073,0.000654976629326681,"PHF23",-0.308526040041269,0.000373485516657929
"ENSG00000041802","LSG1",-0.202635717514429,0.00677838390557357,"LSG1",-0.156148203155676,0.0202269885912824
"ENSG00000043143","JADE2",-0.377969427893259,0.0021771961414477,"JADE2",-0.317820693541957,0.00241224205074705
"ENSG00000046647","GEMIN8",-0.341760456708075,0.040409831177844,"GEMIN8",-0.403541880682632,0.00634531732964464
"ENSG00000054118","THRAP3",-0.236110761087734,0.00380912981129018,"THRAP3",-0.316510060565089,1.62986540492129e-06
"ENSG00000055147","FAM114A2",-0.286968692828643,0.0124912244253031,"FAM114A2",-0.273988559505935,0.00525607392471199
"ENSG00000058729","RIOK2",-0.376201105039107,0.00201738724644293,"RIOK2",-0.228931176848251,0.0283822527167888
"ENSG00000058804","NDC1",-0.301807666229029,0.0107480205714736,"NDC1",-0.228737898275536,0.0225597851999525
"ENSG00000060339","CCAR1",-0.190881111088272,0.0337023752810086,"CCAR1",-0.180558229493399,0.0187717302947358
"ENSG00000060491","OGFR",-0.223936493720683,0.0139230336071057,"OGFR",-0.329655361718303,1.16239155873122e-05
"ENSG00000060688","SNRNP40",-0.357185839966794,0.0125137391402989,"SNRNP40",-0.264578076871662,0.0208208157203921
"ENSG00000062282","DGAT2",-0.606715897435906,0.000434473621068153,"DGAT2",-0.315293070620833,0.0178014060804379
"ENSG00000063244","U2AF2",-0.344909712325119,0.00149419302453628,"U2AF2",-0.381006653157575,2.80445747061293e-05
"ENSG00000064195","DLX3",-3.49062792694947,2.72053418939244e-11,"DLX3",-1.02024139217136,0.00267884634149652
"ENSG00000064205","CCN5",-6.01074688889731,1.73395803207542e-23,"CCN5",-1.57327048161095,2.38532529003736e-05
"ENSG00000065183","WDR3",-0.200037245235131,0.0131532667117206,"WDR3",-0.156198822763503,0.0296915639220311
"ENSG00000066027","PPP2R5A",-0.39917612780625,0.000708303873179623,"PPP2R5A",-0.346335746746973,0.00049564967933123
"ENSG00000066136","NFYC",-0.446103926240102,0.000640309168032354,"NFYC",-0.222778107623678,0.04301426024107
"ENSG00000069702","TGFBR3",-1.16503851955287,1.21164949080356e-11,"TGFBR3",-0.302407897514046,0.0169262024856013
"ENSG00000069869","NEDD4",-0.359810638135254,0.00717850100088538,"NEDD4",-0.375938576890831,0.000812624781441626
"ENSG00000070214","SLC44A1",-0.42236897958282,4.12072119449825e-06,"SLC44A1",-0.198740786616073,0.0172826496439428
"ENSG00000071242","RPS6KA2",-0.842533933443089,0.000613147992240495,"RPS6KA2",-0.905177730852987,0.000103848391875717
"ENSG00000071243","ING3",-0.300690954600592,0.015957669379799,"ING3",-0.268147678771239,0.00935837125167391
"ENSG00000071626","DAZAP1",-0.213920246391031,0.00789954134078233,"DAZAP1",-0.348432765805618,4.46268989162634e-08
"ENSG00000072071","ADGRL1",-0.818143695336385,0.000601455692446464,"ADGRL1",-0.333967730661464,0.0307504654318505
"ENSG00000073111","MCM2",-0.469246509259248,0.000739318609970692,"MCM2",-0.462727168345937,8.30707274503536e-05
"ENSG00000075131","TIPIN",-0.286728237969082,0.0399269921126383,"TIPIN",-0.239272615918926,0.0363905228937103
"ENSG00000075218","GTSE1",-0.407613118390009,0.000518790954796538,"GTSE1",-0.221128625376368,0.0259784991007697
"ENSG00000075426","FOSL2",-0.938819697582063,1.44003526976973e-14,"FOSL2",-0.213916252459422,0.0392151017762671
"ENSG00000076003","MCM6",-0.53198366340635,6.52570700875483e-05,"MCM6",-0.498262642851428,9.92715756057549e-06
"ENSG00000076248","UNG",-0.478755256944116,1.66076535322095e-05,"UNG",-0.33787922721367,0.000292006653634967
"ENSG00000076826","CAMSAP3",-0.629666352458775,0.0056086611172913,"CAMSAP3",-0.312045369540401,0.049264954248876
"ENSG00000077254","USP33",-0.536313949634522,3.09536720624178e-08,"USP33",-0.230674366653772,0.00770875280918527
"ENSG00000077312","SNRPA",-0.31993970882302,0.00234211353403792,"SNRPA",-0.284797970934901,0.00140355334389269
"ENSG00000077684","JADE1",-0.919407105718914,7.01215800250585e-14,"JADE1",-0.58416132445833,4.33101530938477e-08
"ENSG00000078114","NEBL",-2.95781202336823,3.18660347485652e-13,"NEBL",-0.664465979100241,0.0121512905929425
"ENSG00000079785","DDX1",-0.169821717524723,0.0367873850998483,"DDX1",-0.167999929073226,0.0154669857475831
"ENSG00000079974","RABL2B",-0.370976715961574,0.008378322710923,"RABL2B",-0.445641343137026,0.000319871984158372
"ENSG00000082641","NFE2L1",-0.84318263575873,5.439234720978e-15,"NFE2L1",-0.199601159585268,0.0370853735993078
"ENSG00000082898","XPO1",-0.219902211454328,0.00635734878477447,"XPO1",-0.164442661608444,0.0201243407125166
"ENSG00000083312","TNPO1",-0.410624725723702,1.64236944606505e-07,"TNPO1",-0.379607947447202,1.10156592725093e-08
"ENSG00000086827","ZW10",-0.264353276686301,0.0335492814198899,"ZW10",-0.393408662073119,0.000136717205424472
"ENSG00000087087","SRRT",-0.228677443116107,0.0166002847389084,"SRRT",-0.243861372833026,0.00227922239767713
"ENSG00000087269","NOP14",-0.165957461733066,0.0268661579702734,"NOP14",-0.285849064622522,1.3666906763538e-06
"ENSG00000087495","PHACTR3",-4.62045034212525,4.0523157218733e-08,"PHACTR3",-0.420120042721271,0.0143878276296165
"ENSG00000087510","TFAP2C",-1.74463826384931,7.18288866807019e-09,"TFAP2C",-0.320973905502689,0.0495036849942316
"ENSG00000088247","KHSRP",-0.335744199074768,0.000397711025172875,"KHSRP",-0.384491625329594,1.08206224457861e-06
"ENSG00000088325","TPX2",-0.483604427869578,9.53380255920147e-05,"TPX2",-0.273129271356344,0.00831823064525461
"ENSG00000088538","DOCK3",-0.922941919550844,0.026387006755575,"DOCK3",-0.335115672315198,0.0223708637831051
"ENSG00000089248","ERP29",-0.363231511871764,0.000530624887434595,"ERP29",-0.295500094842664,0.000877850570019627
"ENSG00000090060","PAPOLA",-0.357754835660132,3.1736968191237e-08,"PAPOLA",-0.203844908476952,0.000553180866770468
"ENSG00000091986","CCDC80",-1.27722921602197,2.14280917276109e-08,"CCDC80",-0.409154570121137,0.00832646269741772
"ENSG00000093000","NUP50",-0.270400238226762,0.00913261855688159,"NUP50",-0.342861718500218,5.23565266768895e-05
"ENSG00000099817","POLR2E",-0.296332401265888,0.011966368848389,"POLR2E",-0.404077562514569,3.72446776458804e-05
"ENSG00000099860","GADD45B",-1.02092251093403,2.12247552517788e-06,"GADD45B",-0.809123413030465,1.43854819050978e-05
"ENSG00000099875","MKNK2",-0.610946811586715,2.52310060754959e-09,"MKNK2",-0.324059938550064,0.000191985273577935
"ENSG00000099901","RANBP1",-0.327781973705856,0.000119310154024259,"RANBP1",-0.170535350852594,0.0288786331089998
"ENSG00000099995","SF3A1",-0.257026557765103,0.00460542301638777,"SF3A1",-0.183469002531642,0.0229152216913431
"ENSG00000100028","SNRPD3",-0.359980459085396,0.000282705611315517,"SNRPD3",-0.25282156362317,0.00359003020527349
"ENSG00000100201","DDX17",-0.47403567327512,9.40558608760406e-09,"DDX17",-0.297567754415062,3.1604599836777e-05
"ENSG00000100266","PACSIN2",-0.671980085420758,1.09341748134319e-08,"PACSIN2",-0.349492123810759,0.000301434569127483
"ENSG00000100591","AHSA1",-0.251746751370024,0.0227004669805478,"AHSA1",-0.262639811859416,0.00449956593273796
"ENSG00000100650","SRSF5",-0.329149807763788,0.000842651924520266,"SRSF5",-0.182915036925577,0.0414349320899593
"ENSG00000100994","PYGB",-0.234773957436276,0.017485836309158,"PYGB",-0.272295045093894,0.00111976752816969
"ENSG00000101040","ZMYND8",-0.356630752336452,0.000699421980301132,"ZMYND8",-0.258076723882847,0.00453344286063313
"ENSG00000101161","PRPF6",-0.168534586927503,0.0442423153198433,"PRPF6",-0.227146561314847,0.000974093428996094
