"ENSEMBL","SYMBOL","log2FoldChange","padj"
"ENSG00000002746","HECW1",0.760751559154607,0.0112054031572949
"ENSG00000002834","LASP1",0.0153070536178657,0.935922909748857
"ENSG00000003056","M6PR",0.130563400361991,0.0722917647927979
"ENSG00000003400","CASP10",0.196720080174232,0.374664149356661
"ENSG00000004399","PLXND1",-0.806044015007008,6.91262935980372e-06
"ENSG00000004478","FKBP4",0.54495259425385,2.6673379391407e-13
"ENSG00000005059","MCUB",-0.693568644324637,1.17679177241551e-09
"ENSG00000005882","PDK2",1.13172578584907,0.00025691436769479
"ENSG00000006042","TMEM98",0.0472271732166242,0.875184770635058
"ENSG00000006194","ZNF263",-0.356959891737878,0.00158697164178856
"ENSG00000006756","ARSD",-0.169220379960183,0.477679706933543
"ENSG00000007376","RPUSD1",-0.0204219052586102,0.923863213020046
"ENSG00000007392","LUC7L",-0.476482846084559,4.37894600170734e-08
"ENSG00000008282","SYPL1",0.0582695425196889,0.617723009779782
"ENSG00000008300","CELSR3",-0.144702211754763,0.475431796479983
"ENSG00000008311","AASS",0.0764133383934893,0.59686952646918
"ENSG00000008517","IL32",0.15085202364192,0.550907499611889
"ENSG00000012660","ELOVL5",-0.266604930832218,0.00681031473629261
"ENSG00000013275","PSMC4",0.272316434056152,0.00649653497523741
"ENSG00000013563","DNASE1L1",0.0566497542805288,0.766566092364683
"ENSG00000014216","CAPN1",-0.0909499606544662,0.536192541425785
"ENSG00000018189","RUFY3",-0.111044739244522,0.457325188617552
"ENSG00000018610","STEEP1",0.337191952367526,0.0127540093032077
"ENSG00000019995","ZRANB1",0.0620168292510967,0.591259006457264
"ENSG00000022976","ZNF839",-0.469154643871028,0.000369031819959156
"ENSG00000023171","GRAMD1B",0.097361057173504,0.610806024581249
"ENSG00000023734","STRAP",0.128834089290948,0.0793420445849211
"ENSG00000031823","RANBP3",0.182601067103175,0.0417679906255551
"ENSG00000032219","ARID4A",0.254804577028535,0.019141226423286
"ENSG00000033050","ABCF2",0.095880293186063,0.306714452780246
"ENSG00000034693","PEX3",0.208320928549876,0.121341848278053
"ENSG00000035403","VCL",-0.190967758253828,0.0422466150625535
"ENSG00000040531","CTNS",0.304760977866465,0.0411022766060209
"ENSG00000041988","THAP3",0.118575198437123,0.436356541194372
"ENSG00000042445","RETSAT",1.09687502984521,6.14935949703581e-34
"ENSG00000042493","CAPG",-0.465525620898397,0.000461129512416624
"ENSG00000042753","AP2S1",-0.229422584791233,0.0336706691048731
"ENSG00000047579","DTNBP1",-0.293150333630303,0.00195688510432111
"ENSG00000048162","NOP16",-0.144718238855738,0.102358777572222
"ENSG00000048392","RRM2B",1.12919842738875,4.90555394436824e-14
"ENSG00000050426","LETMD1",0.240112907738937,0.122784182410955
"ENSG00000052126","PLEKHA5",0.243628521741329,0.0048063498287521
"ENSG00000052749","RRP12",0.119281087776951,0.419630061218943
"ENSG00000052802","MSMO1",-1.10785279668637,5.83422707157349e-11
"ENSG00000053372","MRTO4",-0.292248770491815,0.000275176410398111
"ENSG00000053747","LAMA3",0.205193235219032,0.408332892975416
"ENSG00000054148","PHPT1",0.420355875475736,0.00207339552704087
"ENSG00000054219","LY75",-0.0203134730530535,0.94186622791049
"ENSG00000054282","SDCCAG8",-0.974664455298435,1.08145551525556e-15
"ENSG00000054392","HHAT",0.663480248073515,0.000282900741060664
"ENSG00000054598","FOXC1",0.485685237280582,6.17162770855802e-07
"ENSG00000054611","TBC1D22A",-0.249502048234238,0.051725452043854
"ENSG00000054965","FAM168A",0.0972113376978949,0.574483072472888
"ENSG00000055044","NOP58",-0.363008103563775,1.87808367733572e-07
"ENSG00000055917","PUM2",-0.0868890419452868,0.334475037587173
