"ENSEMBL","SYMBOL","log2FoldChange","padj"
"ENSG00000002834","LASP1",-0.256957199085933,0.0180947557987492
"ENSG00000003056","M6PR",-0.205178458835529,0.00938177920114833
"ENSG00000004478","FKBP4",-0.15628076224004,0.0486164212674992
"ENSG00000005059","MCUB",-0.274420417787369,0.0138928190584554
"ENSG00000006194","ZNF263",-0.247866356486844,0.0297479798992306
"ENSG00000007376","RPUSD1",-0.250299907634644,0.0355064161954036
"ENSG00000007392","LUC7L",-0.46247685531029,5.63555962405266e-07
"ENSG00000013275","PSMC4",-0.232580624920133,0.020143680646283
"ENSG00000018610","STEEP1",-0.282776070033497,0.0280288447279549
"ENSG00000019995","ZRANB1",-0.303891690207739,0.000684267767724306
"ENSG00000023734","STRAP",-0.219577779418789,0.00160971376867427
"ENSG00000031823","RANBP3",-0.260415364704419,0.00336305732331481
"ENSG00000033050","ABCF2",-0.191128146038612,0.0165547531072759
"ENSG00000035403","VCL",-0.209682049675673,0.028839978348636
"ENSG00000040531","CTNS",-0.411292226716788,0.00845513561735165
"ENSG00000041988","THAP3",-0.24478412771815,0.0434096982372944
"ENSG00000042753","AP2S1",-0.223213148332825,0.0326085464416609
"ENSG00000047579","DTNBP1",-0.412188567017078,4.46725125132854e-05
"ENSG00000048162","NOP16",-0.302485676089711,9.53233598567482e-05
"ENSG00000052749","RRP12",-0.274619827743686,0.022336908020266
"ENSG00000053372","MRTO4",-0.310903467634233,0.000100990495260648
"ENSG00000054598","FOXC1",-0.309456114908669,0.00171400698349675
"ENSG00000055044","NOP58",-0.219289923930156,0.00359586312786247
"ENSG00000055917","PUM2",-0.162810826919523,0.0472043038294009
"ENSG00000056277","ZNF280C",-0.301489117728026,0.0334431955708977
"ENSG00000058262","SEC61A1",-0.289246191499142,0.00409073171934221
"ENSG00000060069","CTDP1",-0.243584688685944,0.0447277590030316
"ENSG00000064419","TNPO3",-0.199447364690637,0.0187505075235743
"ENSG00000064651","SLC12A2",-0.219515969080969,0.00965455812121485
"ENSG00000064652","SNX24",-0.244483867605672,0.0191834866762477
"ENSG00000064666","CNN2",-0.229288381850542,0.0372227735817852
"ENSG00000065427","KARS1",-0.147891443188466,0.0197134144659461
"ENSG00000065548","ZC3H15",-0.192341850691554,0.0136048649933841
"ENSG00000065615","CYB5R4",-0.233670230520453,0.0431562452762996
"ENSG00000065911","MTHFD2",-0.202345971182158,0.0495213612267014
"ENSG00000066583","ISOC1",-0.258125222034444,0.0119554453973633
"ENSG00000066654","THUMPD1",-0.172247837253335,0.024624566049741
"ENSG00000067225","PKM",-0.181356169461547,0.0421066147445779
"ENSG00000068097","HEATR6",-0.390893953665397,1.96274732966163e-05
