"ENSEMBL","SYMBOL","log2FoldChange","padj"
"ENSG00000002746","HECW1",0.642148919895688,0.0127440428304423
"ENSG00000003400","CASP10",1.01856029364817,0.00208653575129878
"ENSG00000004399","PLXND1",0.461750409487744,0.0125830653280958
"ENSG00000005882","PDK2",0.416170713850697,0.0153146878046598
"ENSG00000006025","OSBPL7",0.604306349166403,0.00485389608967995
"ENSG00000006042","TMEM98",0.609446405914584,0.000276098192159546
"ENSG00000006756","ARSD",0.462116983771186,0.00115653823995927
"ENSG00000008282","SYPL1",0.209512286550904,0.0136905180097176
"ENSG00000008300","CELSR3",0.368963406833699,0.0311555644348507
"ENSG00000008311","AASS",0.362549700147969,0.000767457846328965
"ENSG00000008517","IL32",0.783468143987805,0.00138657263933277
"ENSG00000011638","LDAF1",0.528201202625141,0.000428815230083298
"ENSG00000012660","ELOVL5",0.235730221970944,0.0186501320064618
"ENSG00000013563","DNASE1L1",0.391734698668206,0.00478938951522024
"ENSG00000014216","CAPN1",0.237585368910404,0.0259784991007697
"ENSG00000018189","RUFY3",0.405148560902246,0.000156106466059853
"ENSG00000022976","ZNF839",0.268292554656882,0.0244841304453498
"ENSG00000023171","GRAMD1B",1.15897041596932,0.000660095188516902
"ENSG00000032219","ARID4A",0.357556524195779,0.000301096992866816
"ENSG00000034693","PEX3",0.244554068676883,0.0392370595600201
"ENSG00000042445","RETSAT",0.243286785372436,0.00904435995873728
"ENSG00000042493","CAPG",0.277327932247431,0.0222358029953284
"ENSG00000048392","RRM2B",0.512261240276287,0.000551228322325683
"ENSG00000050426","LETMD1",0.319961941433629,0.0200659697845736
"ENSG00000052126","PLEKHA5",0.20998338007127,0.0188632767953772
"ENSG00000052802","MSMO1",0.348513500454186,0.0142578422337847
"ENSG00000053747","LAMA3",0.467677517324482,0.000670976507170599
"ENSG00000054148","PHPT1",0.38627361759803,0.00342898728123052
"ENSG00000054219","LY75",0.655969952130903,0.00466478322990777
"ENSG00000054282","SDCCAG8",0.317395036701652,0.00529814950137486
"ENSG00000054392","HHAT",0.940840813143421,1.51519931918838e-05
"ENSG00000054611","TBC1D22A",0.248685817900337,0.0364430999489344
"ENSG00000054965","FAM168A",0.288668814908906,0.0344593414081947
"ENSG00000056972","TRAF3IP2",0.286444359842434,0.00553269350380029
"ENSG00000059378","PARP12",0.26839599787863,0.0309285400793246
"ENSG00000062038","CDH3",0.256756411054771,0.0023000021142867
"ENSG00000062716","VMP1",0.292237851951615,0.00788883847702795
"ENSG00000062725","APPBP2",0.227502538410856,0.0337409150939653
