"ENSEMBL","SYMBOL","log2FoldChange","padj"
"ENSG00000001036","FUCA2",0.306535319291679,0.00219449638487398
"ENSG00000001561","ENPP4",0.487403699445151,0.11111221058351
"ENSG00000002079","MYH16",1.00525516783898,2.04110370864466e-07
"ENSG00000002586","CD99",-0.0492011811963343,0.68802829225012
"ENSG00000003137","CYP26B1",0.138438788351581,0.630564442425026
"ENSG00000003402","CFLAR",-0.157976676839945,0.284510708087031
"ENSG00000003756","RBM5",0.0835241082144851,0.605739189159887
"ENSG00000004487","KDM1A",0.00710243950899324,0.976362330857382
"ENSG00000004660","CAMKK1",-0.532417910447916,0.00820948952084606
"ENSG00000004864","SLC25A13",-0.613952526370046,2.73337963990947e-13
"ENSG00000005020","SKAP2",-0.00157292373174111,0.999433637321825
"ENSG00000005100","DHX33",-0.00999040645550699,0.950944313470453
"ENSG00000005189","REXO5",0.377086226512323,0.0283870544765235
"ENSG00000005249","PRKAR2B",-0.142974829582179,0.547978249563471
"ENSG00000005483","KMT2E",-0.117492476221374,0.317837994303708
"ENSG00000005486","RHBDD2",1.43517197002877,1.00291796423589e-27
"ENSG00000005700","IBTK",-0.376691438452857,2.84097410026833e-05
"ENSG00000005884","ITGA3",-0.933672075793435,3.03100569502206e-15
"ENSG00000006327","TNFRSF12A",-0.130166846766921,0.286541013529955
"ENSG00000006468","ETV1",-0.315339393047144,0.119917527191241
"ENSG00000006534","ALDH3B1",0.346022673543826,0.0291844406913327
"ENSG00000006576","PHTF2",-0.299713350792032,0.00203414630909735
"ENSG00000006652","IFRD1",0.0464697147310768,0.844742578120284
"ENSG00000006704","GTF2IRD1",-0.505368162654152,8.31906251275775e-05
"ENSG00000007520","TSR3",0.0417699001728269,0.742467447196443
"ENSG00000008018","PSMB1",-0.100525337324173,0.404583935488835
"ENSG00000008083","JARID2",0.0704396023713835,0.691811374828275
"ENSG00000008394","MGST1",0.201191659976955,0.0419849277506256
"ENSG00000008405","CRY1",0.258119057424531,0.187509210319325
"ENSG00000008838","MED24",0.16482607331629,0.260060813927576
"ENSG00000008952","SEC62",0.0989187584470295,0.203801761065375
"ENSG00000011028","MRC2",-0.270116890396083,0.190244565801215
"ENSG00000011105","TSPAN9",-0.173727182618833,0.406818397836508
"ENSG00000011143","MKS1",0.212182240244285,0.171795909710611
