"ENSEMBL","SYMBOL","log2FoldChange","padj"
"ENSG00000001561","ENPP4",-2.831991897929,9.93578597542124e-05
"ENSG00000003402","CFLAR",-0.312478058268126,0.0210692130509603
"ENSG00000003756","RBM5",-0.314142685710717,0.024301461813691
"ENSG00000004487","KDM1A",-0.379242117674718,0.000400622760463701
"ENSG00000004660","CAMKK1",-0.498157177959732,0.0105183138665376
"ENSG00000004864","SLC25A13",-0.250606744935132,0.0102359832384675
"ENSG00000005020","SKAP2",-0.518029349017548,9.73515446439444e-05
"ENSG00000005249","PRKAR2B",-2.26249902089006,5.79497552814166e-08
"ENSG00000005483","KMT2E",-0.250839179202418,0.0321792812431672
"ENSG00000006025","OSBPL7",-0.597480617592352,0.00795025127211433
"ENSG00000006534","ALDH3B1",-0.730122231809918,0.000126484265032481
"ENSG00000006704","GTF2IRD1",-0.401498044767211,0.0042689901828737
"ENSG00000008394","MGST1",-0.250819023760118,0.0167636653336423
"ENSG00000008405","CRY1",-0.645742116059554,0.00647930648166054
"ENSG00000011198","ABHD5",-0.469756602275014,0.000136380753384822
"ENSG00000011260","UTP18",-0.278564096707552,0.0120212631507232
"ENSG00000011465","DCN",-3.27905087683357,2.48400861948679e-12
"ENSG00000011638","LDAF1",-0.584028447209377,0.000670081733992872
"ENSG00000012211","PRICKLE3",-0.323391947953307,0.0355552615112865
"ENSG00000019169","MARCO",-0.672197515414122,0.0356894631708514
"ENSG00000020922","MRE11",-0.339754585851968,0.00367065671935546
"ENSG00000021645","NRXN3",-0.932312001174587,0.0256255398982509
"ENSG00000021762","OSBPL5",-0.662800983651059,0.00108064861543379
"ENSG00000023228","NDUFS1",-0.322932246630305,0.00109887963583732
"ENSG00000023318","ERP44",-0.271965298268967,0.00322840491140206
"ENSG00000023445","BIRC3",-1.3237017507127,7.9928852048573e-09
"ENSG00000023572","GLRX2",-0.22606520570812,0.0494382670447898
"ENSG00000023697","DERA",-0.362587257058022,0.00824317666449765
"ENSG00000024526","DEPDC1",-0.352996076776497,0.0144266587836269
"ENSG00000025039","RRAGD",-0.8606417878144,0.0101770471343153
"ENSG00000026297","RNASET2",-0.352434857913318,0.0119583033097012
"ENSG00000026950","BTN3A1",-0.927414568142573,0.00054179438378514
"ENSG00000027697","IFNGR1",-1.48489505952051,4.0125965658294e-12
"ENSG00000030419","IKZF2",-0.764295456255346,0.000659411442983213
"ENSG00000033800","PIAS1",-0.282084020468056,0.00431927237219291
"ENSG00000035499","DEPDC1B",-0.33716746936348,0.0390562098841761
"ENSG00000035687","ADSS2",-0.271492918556931,0.0238055900534361
"ENSG00000037749","MFAP3",-0.25421866692876,0.0458814681238298
"ENSG00000038002","AGA",-0.481239030947155,0.0120036668499404
"ENSG00000038274","MAT2B",-0.288342960948434,0.0325080506515976
"ENSG00000039068","CDH1",-0.918925007244214,2.8920227269034e-13
"ENSG00000039123","MTREX",-0.236278451284657,0.017485836309158
"ENSG00000046604","DSG2",-0.326258076966113,0.00106106188630438
"ENSG00000047315","POLR2B",-0.173885420103085,0.0264045249866764
"ENSG00000047936","ROS1",-0.991050845184554,3.01138390704937e-05
"ENSG00000048342","CC2D2A",-0.317141716450979,0.0217040703384546
"ENSG00000049283","EPN3",-0.741990459687899,0.000367495271902962
"ENSG00000049759","NEDD4L",-0.477603485464184,0.000365668043683712
"ENSG00000052344","PRSS8",-0.776025115585093,1.35078903252382e-06
"ENSG00000053371","AKR7A2",-0.384759159562867,0.000273101312374323
"ENSG00000054277","OPN3",-1.01643155547472,1.052741570016e-09
"ENSG00000058063","ATP11B",-0.233046930706934,0.0342654408823266
"ENSG00000058091","CDK14",-0.255472361246256,0.0435553262026272
"ENSG00000058668","ATP2B4",-0.543415651537076,0.0116750761543343
"ENSG00000062370","ZNF112",-0.520044786603778,0.0477610862624025
"ENSG00000063180","CA11",-0.501318440702853,0.0433041490703237
"ENSG00000064886","CHI3L2",-1.48633750357571,3.91148160506513e-06
"ENSG00000064932","SBNO2",-0.481652456687062,0.000156618681599206
"ENSG00000065150","IPO5",-0.220121856087334,0.012545144350335
"ENSG00000065361","ERBB3",-0.737000546904413,0.000540725621942528
"ENSG00000065518","NDUFB4",-0.32877362539862,0.000268346319089893
"ENSG00000067141","NEO1",-0.850938253974979,0.026582364990927
"ENSG00000067167","TRAM1",-0.33952020344008,0.000209513666850441
"ENSG00000067248","DHX29",-0.338997100506112,0.000140831156740189
"ENSG00000068615","REEP1",-1.9649983100073,0.00282154758756507
"ENSG00000068697","LAPTM4A",-0.284492917966617,0.00182067147143441
"ENSG00000068724","TTC7A",-0.410152438155097,0.00124124388220928
"ENSG00000069248","NUP133",-0.282090253994933,0.0220429308071207
"ENSG00000070269","TMEM260",-0.370479522304725,0.0126097233116688
"ENSG00000070413","DGCR2",-0.286481052150786,0.00898410164885574
"ENSG00000071189","SNX13",-0.402623825071809,0.00323660102945918
"ENSG00000071205","ARHGAP10",-0.342816942501423,0.000309450483013536
"ENSG00000073060","SCARB1",-0.259163781515533,0.0370924910200664
"ENSG00000073331","ALPK1",-0.564910243005073,0.00992554408593777
"ENSG00000073350","LLGL2",-0.540780234736894,0.00102019287689934
"ENSG00000073464","CLCN4",-0.610006386089508,0.000257139921945318
"ENSG00000073737","DHRS9",-0.962455197518465,0.0147212540656337
"ENSG00000074054","CLASP1",-0.821346891097375,3.697310257831e-11
"ENSG00000074201","CLNS1A",-0.230056674209752,0.031942586348164
"ENSG00000074527","NTN4",-0.39229886474509,0.0369120376438384
"ENSG00000075239","ACAT1",-0.244370861379551,0.0135397699497114
"ENSG00000075651","PLD1",-0.610471574962096,0.00877129787094345
"ENSG00000076382","SPAG5",-0.456868439713774,0.00347812961277471
"ENSG00000076555","ACACB",-1.43497733819225,1.51292657716884e-05
"ENSG00000077097","TOP2B",-0.354238109422738,5.11309745103171e-05
"ENSG00000077274","CAPN6",-2.66499663276606,0.000644979691889129
"ENSG00000077942","FBLN1",-1.20040760070174,1.32256411152297e-08
"ENSG00000078018","MAP2",-2.67630020427079,2.37103729679962e-10
"ENSG00000078053","AMPH",-1.6585695052899,0.00373907325862416
"ENSG00000078070","MCCC1",-0.739880276622981,8.58406336314915e-06
"ENSG00000079134","THOC1",-0.347450767975375,0.00669418342464665
"ENSG00000079246","XRCC5",-0.158343363665888,0.031474073970827
"ENSG00000080546","SESN1",-0.366435281463938,0.0108579772213505
"ENSG00000080822","CLDND1",-0.499258457149037,0.0011200683165486
"ENSG00000080854","IGSF9B",-1.18632296949254,7.55911088062216e-05
"ENSG00000081052","COL4A4",-2.04767024695384,0.000160564466600893
"ENSG00000082074","FYB1",-1.45906689029356,3.92152615605395e-06
"ENSG00000082438","COBLL1",-0.406254483959475,0.000681057679089616
"ENSG00000082516","GEMIN5",-0.223848173720169,0.0264922231794872
"ENSG00000082996","RNF13",-0.398076460491077,0.00718965037783411
"ENSG00000083307","GRHL2",-0.815750445595795,1.13228589208825e-09
"ENSG00000084754","HADHA",-0.189068877951392,0.0120594543978524
"ENSG00000085465","OVGP1",-1.4282358788067,0.00734165796282002
"ENSG00000086062","B4GALT1",-0.275043207016777,0.038288769372246
"ENSG00000086544","ITPKC",-0.355491848987611,0.0310077514605572
"ENSG00000087128","TMPRSS11E",-1.18619890995731,0.000601455692446464
"ENSG00000087258","GNAO1",-1.94985035984481,0.000109087951772944
"ENSG00000087274","ADD1",-0.284196978175512,0.00100006431351662
"ENSG00000087365","SF3B2",-0.198960023278501,0.00795390751629158
"ENSG00000087586","AURKA",-0.364504798446427,0.00145569292892438
"ENSG00000088280","ASAP3",-1.57492663072016,5.6485588515467e-06
"ENSG00000088367","EPB41L1",-0.682411578068612,4.98178506651184e-05
"ENSG00000088682","COQ9",-0.553757844882876,0.000455853067787094
"ENSG00000089006","SNX5",-0.28657961578786,5.23474812283905e-05
