"ENSEMBL","SYMBOL_wt","log2FC_wt","padj_wt","SYMBOL_KO","log2FC_KO","padj_KO"
"ENSG00000001460","STPG1",0.30421149725721,0.0370067039042915,"STPG1",0.61663668555657,1.90651286347239e-05
"ENSG00000001461","NIPAL3",0.0348916852628478,0.879091914256695,"NIPAL3",0.0592744673877129,0.771024923529146
"ENSG00000002079","MYH16",1.00525516783898,2.04110370864466e-07,"MYH16",1.38966970157194,9.72541847586919e-13
"ENSG00000002549","LAP3",0.0167716279004238,0.939635119893708,"LAP3",-0.0157486794328855,0.935808696940338
"ENSG00000002586","CD99",-0.0492011811963343,0.68802829225012,"CD99",-0.258573830721684,0.00249899336899357
"ENSG00000002587","HS3ST1",-0.343945407983139,0.221606512394344,"HS3ST1",-0.108751485359684,0.668265998123839
"ENSG00000002834","LASP1",-0.155149527128876,0.228257963320472,"LASP1",0.0153070536178657,0.935922909748857
"ENSG00000003400","CASP10",0.530893953729567,0.0317970210958588,"CASP10",0.196720080174232,0.374664149356661
"ENSG00000003402","CFLAR",-0.157976676839945,0.284510708087031,"CFLAR",0.125898953619698,0.396631219905669
"ENSG00000004864","SLC25A13",-0.613952526370046,2.73337963990947e-13,"SLC25A13",-0.182977691066881,0.0456703727307002
"ENSG00000005001","PRSS22",0.0761395153640404,0.811399647088828,"PRSS22",-0.0325835920254887,0.91275046080807
"ENSG00000005156","LIG3",-0.113369913281297,0.284836146270737,"LIG3",0.169104205962963,0.07966265995002
"ENSG00000005238","ATOSB",0.555026572585669,0.000227802093973856,"ATOSB",0.310539110608551,0.0411453836581841
"ENSG00000005448","WDR54",0.13530988406146,0.323941282403959,"WDR54",0.169446889430867,0.173223630656561
"ENSG00000005810","MYCBP2",-0.536799177593326,3.35904756378245e-07,"MYCBP2",-0.44815022716107,1.85342416643488e-05
"ENSG00000006025","OSBPL7",0.399838963885808,0.0340654914654716,"OSBPL7",0.28786637117072,0.127810896419121
"ENSG00000006042","TMEM98",0.748773438300028,4.96579810412427e-06,"TMEM98",0.0472271732166242,0.875184770635058
"ENSG00000006062","MAP3K14",0.0200106779105755,0.949983030421644,"MAP3K14",-0.0332063261892685,0.898363733882914
"ENSG00000006432","MAP3K9",0.553178136884292,0.000791615745218478,"MAP3K9",0.839362467158487,2.01024859541652e-05
"ENSG00000006451","RALA",0.161077605870437,0.062185162079605,"RALA",0.253095309381253,0.00151266784331183
"ENSG00000006453","BAIAP2L1",0.551498492415767,2.5757767789652e-10,"BAIAP2L1",0.753843453508042,1.67765294783088e-14
"ENSG00000006606","CCL26",2.36062826044511,1.917799614116e-08,"CCL26",3.31383102875425,6.08816913853573e-08
"ENSG00000006607","FARP2",-0.183472259507573,0.15309914898424,"FARP2",-0.179300892986595,0.152494735644313
"ENSG00000006634","DBF4",-0.601885993711832,6.86007055429134e-10,"DBF4",-0.363306352907742,0.000185394732274569
"ENSG00000006638","TBXA2R",0.917608835710669,0.000592886416522932,"TBXA2R",0.868116861256195,0.00402281143817424
"ENSG00000006715","VPS41",-0.577235655229809,1.588143157104e-08,"VPS41",-1.08926908021566,3.42589421397339e-24
