"ENSEMBL","SYMBOL_wt","log2FC_wt","padj_wt","SYMBOL_KO","log2FC_KO","padj_KO"
"ENSG00000002549","LAP3",-0.360348016871608,0.00777849305222124,"LAP3",-0.536145277051547,3.85378421394575e-06
"ENSG00000004864","SLC25A13",-0.374483930126501,9.76823958540049e-05,"SLC25A13",-0.291513470502669,0.000382670756206097
"ENSG00000005156","LIG3",-0.432708321592048,1.46754457588356e-05,"LIG3",-0.447117076418274,9.40123076262329e-08
"ENSG00000005810","MYCBP2",-0.337507615097791,0.00729231466059843,"MYCBP2",-0.381995366462104,0.000347638555444843
"ENSG00000006607","FARP2",-0.267136842226808,0.0334608688727095,"FARP2",-0.427673379688787,2.86062880313288e-05
"ENSG00000006634","DBF4",-0.559435377496646,4.77357752500175e-06,"DBF4",-0.537881533519719,6.22514111907853e-08
"ENSG00000006715","VPS41",-0.276679098927133,0.0286687679901249,"VPS41",-0.54868419937534,3.35883447159239e-07
"ENSG00000007392","LUC7L",-0.277712236582878,0.0168591947934398,"LUC7L",-0.429519039076476,2.54043530352871e-06
"ENSG00000007968","E2F2",-0.988933670508121,9.63489339250893e-06,"E2F2",-0.359790954155544,0.0369844903474461
"ENSG00000008441","NFIX",-0.277205744516784,0.0436914702959501,"NFIX",-0.415095784021648,0.000321409816650453
"ENSG00000009307","CSDE1",-0.143431043330803,0.0168215544872564,"CSDE1",-0.235572888932627,1.22892875437166e-07
"ENSG00000009954","BAZ1B",-0.397905716774095,0.00040638088508105,"BAZ1B",-0.488311629431723,1.58387742151531e-07
"ENSG00000010219","DYRK4",-0.851946678795997,5.40511011483806e-08,"DYRK4",-0.951589244017048,5.43693478712096e-14
"ENSG00000010803","SCMH1",-1.09703131837804,3.04666441905868e-10,"SCMH1",-1.22798206011566,5.24482015157174e-17
"ENSG00000011478","QPCTL",-0.550825193489688,0.0055381850569525,"QPCTL",-0.489908300755572,0.00549414053844915
"ENSG00000013374","NUB1",-0.227619260529673,0.0375706189923176,"NUB1",-0.254278024570741,0.0044884824797478
"ENSG00000013503","POLR3B",-0.562057033979422,1.4323226888137e-06,"POLR3B",-0.519995112155084,1.55265836674181e-07
"ENSG00000013583","HEBP1",-0.294716760828204,0.00799034065190321,"HEBP1",-0.352119330499063,0.000143634644430862
"ENSG00000015153","YAF2",-0.401525048760065,0.00109652756289197,"YAF2",-0.454770355586914,1.07537973330502e-05
"ENSG00000015171","ZMYND11",-0.311369556339669,0.000497616012899039,"ZMYND11",-0.352747967420241,1.22771752303548e-06
"ENSG00000015676","NUDCD3",-0.227703612146281,0.0127347503633863,"NUDCD3",-0.499984936449282,3.22189225662547e-12
"ENSG00000021826","CPS1",-1.90559921257917,6.11254191096758e-08,"CPS1",-2.51566744101931,6.47552985993941e-12
"ENSG00000023041","ZDHHC6",-0.31315550731087,0.0142787238874383,"ZDHHC6",-0.553385169102776,1.35687632212437e-07
"ENSG00000023228","NDUFS1",-0.251611588951795,0.0154123053372524,"NDUFS1",-0.183750499739579,0.0432162167270747
"ENSG00000027001","MIPEP",-0.765781796190554,3.93350698308908e-06,"MIPEP",-1.18346083098593,3.02004191511629e-16
"ENSG00000029363","BCLAF1",-0.43148063656265,7.75303144407168e-06,"BCLAF1",-0.299742408900339,0.000256422708979435
"ENSG00000032742","IFT88",-0.460018137045452,0.00469230935489537,"IFT88",-1.02964320017724,1.11406706600346e-11
"ENSG00000033170","FUT8",-0.823224458346136,2.8414647980123e-05,"FUT8",-1.33892474474678,1.62301014342331e-14
"ENSG00000035141","FAM136A",-0.332040301206004,0.000380322961285784,"FAM136A",-0.397569469592538,5.92072849802232e-08
"ENSG00000035681","NSMAF",-0.495899876338747,4.93376620641634e-06,"NSMAF",-0.43272324406297,2.15785298408369e-06
"ENSG00000037897","METTL1",-0.328849044862799,0.0145502372676005,"METTL1",-0.263012062025703,0.0244109294460036
"ENSG00000037965","HOXC8",-0.299694003514424,0.0340929930412927,"HOXC8",-0.563069515522374,1.46821303093091e-06
"ENSG00000038210","PI4K2B",-0.62536077717942,0.000697335031452602,"PI4K2B",-1.14829835966384,2.35470392917227e-11
