"ENSEMBL","SYMBOL_wt","log2FC_wt","padj_wt","SYMBOL_KO","log2FC_KO","padj_KO"
"ENSG00000001460","STPG1",0.709402107108037,4.70959386143584e-05,"STPG1",0.59871456345112,8.02387736307487e-06
"ENSG00000001461","NIPAL3",0.403685521949085,0.013927747843468,"NIPAL3",0.669194310527168,4.94750426925564e-06
"ENSG00000002079","MYH16",1.88733007794964,0.000467138652301382,"MYH16",1.51319261166321,2.06396817745157e-07
"ENSG00000002586","CD99",0.28816993965685,0.00825838399015854,"CD99",0.192433002956888,0.0400108576892186
"ENSG00000002587","HS3ST1",0.61321882424485,0.0376374229119257,"HS3ST1",0.699900617578165,0.0232282450299726
"ENSG00000002834","LASP1",0.450658811389985,0.000604207044197083,"LASP1",0.491631739016541,8.89095526544119e-06
"ENSG00000003400","CASP10",2.03458351895091,0.00020402609489781,"CASP10",1.42261610065163,0.00526517916197551
"ENSG00000003402","CFLAR",0.560775886133842,5.56560607799121e-05,"CFLAR",0.856717582062493,4.75588149615406e-13
"ENSG00000005001","PRSS22",2.19344458822821,5.8434684536838e-10,"PRSS22",2.82265947179303,2.10414666536258e-15
"ENSG00000005238","ATOSB",1.39862995203688,1.44490690254597e-11,"ATOSB",1.22143782134188,9.01787734477125e-15
"ENSG00000005448","WDR54",0.589341941959809,3.21868000820622e-05,"WDR54",0.35755195242795,0.0024514924916933
"ENSG00000006025","OSBPL7",0.39257496170163,0.0392875560333597,"OSBPL7",1.23289513054659,1.49807036988927e-07
"ENSG00000006042","TMEM98",0.637932188078088,0.000608839834904825,"TMEM98",0.880684333600642,8.42324241069381e-08
"ENSG00000006062","MAP3K14",0.43348964992527,0.0448902572083888,"MAP3K14",0.952695471541884,8.95127092028337e-06
"ENSG00000006432","MAP3K9",0.592186787472264,0.00103043018109821,"MAP3K9",0.429048452204051,0.00411870126776207
"ENSG00000006451","RALA",0.349091598328405,0.000305407968491322,"RALA",0.340586151858287,1.87977973450029e-05
"ENSG00000006453","BAIAP2L1",0.488818261576095,4.5447734647094e-07,"BAIAP2L1",0.503114226492658,1.94307246927263e-10
"ENSG00000006606","CCL26",4.11215164686392,7.87898571406601e-11,"CCL26",4.51956536668089,2.16743522434345e-21
"ENSG00000006638","TBXA2R",0.865002878692202,0.017969663135226,"TBXA2R",1.90865281345833,8.57787709356138e-05
"ENSG00000006756","ARSD",0.352865833013479,0.0232862168516627,"ARSD",0.340257335276269,0.0241777293841228
"ENSG00000007168","PAFAH1B1",0.179075445798413,0.0293992806890927,"PAFAH1B1",0.230567741198091,0.000216202498511267
"ENSG00000007384","RHBDF1",0.876800046527684,5.71232665318176e-07,"RHBDF1",1.10521928269627,6.76676038805423e-14
"ENSG00000007866","TEAD3",0.716810743079005,2.50774098228688e-06,"TEAD3",0.851508521553529,2.29513290817023e-12
"ENSG00000008086","CDKL5",1.36869848774696,1.03191937507804e-06,"CDKL5",1.70303526968172,4.51782483410085e-07
"ENSG00000008517","IL32",0.642982408936982,0.00830869981318355,"IL32",0.928020940271645,0.000112966319197516
"ENSG00000010017","RANBP9",0.335302690236122,0.00599184319115519,"RANBP9",0.312114603998075,0.00234176048771574
