"ENSEMBL","SYMBOL","log2FoldChange","padj"
"ENSG00000000460","FIRRM",0.307187117679772,0.0198202935592611
"ENSG00000002330","BAD",0.292628100045073,0.0153108934527835
"ENSG00000003249","DBNDD1",0.477450396883069,0.0106914676458952
"ENSG00000003987","MTMR7",0.899396932380494,0.00634296077904638
"ENSG00000003989","SLC7A2",0.650713547315525,0.000312410067965302
"ENSG00000004478","FKBP4",0.192719532202112,0.00914602725493221
"ENSG00000004961","HCCS",0.227290172116714,0.0247801403762362
"ENSG00000005020","SKAP2",0.24389908486622,0.0363492824929793
"ENSG00000005075","POLR2J",0.223034017497197,0.0122695617814317
"ENSG00000005469","CROT",0.34560173377611,0.00960039397005452
"ENSG00000005486","RHBDD2",0.799735856547457,3.23234813286879e-09
"ENSG00000006007","GDE1",0.332209554212396,3.33255948108489e-05
"ENSG00000006712","PAF1",0.213382847861685,0.0102848242111736
"ENSG00000007047","MARK4",0.58464028360407,4.60911566876751e-06
"ENSG00000007080","CCDC124",0.310759038579964,0.0102942782035249
"ENSG00000007545","CRAMP1",0.406564924423156,0.00108250050314955
"ENSG00000008256","CYTH3",0.601504133190529,0.000120114597005989
"ENSG00000008282","SYPL1",0.198243038095878,0.0197117060738833
"ENSG00000008513","ST3GAL1",0.343905917929627,0.0148536097388399
"ENSG00000008838","MED24",0.281144557691607,0.0300096158211906
"ENSG00000009830","POMT2",0.414514189826342,3.39464557946033e-05
"ENSG00000009844","VTA1",0.191843999533882,0.0102172325726855
"ENSG00000009950","MLXIPL",1.21534053336661,0.0101771357836234
"ENSG00000011132","APBA3",0.42786022367861,0.0045539902453924
"ENSG00000011243","AKAP8L",0.726432063111519,5.90226535766612e-06
"ENSG00000011451","WIZ",0.348269158140363,0.00415436789391237
"ENSG00000011638","LDAF1",0.397117387475759,0.00866340314235024
"ENSG00000012124","CD22",0.759773130528895,0.00444005864791213
"ENSG00000012822","CALCOCO1",0.744805005224453,0.0024551081173117
"ENSG00000013523","ANGEL1",0.50431752644244,0.00917800024840052
"ENSG00000013561","RNF14",0.200235513272512,0.0389723799773706
"ENSG00000014257","ACP3",0.889406027194069,0.0271392874121588
"ENSG00000019995","ZRANB1",0.232278020892063,0.00919305006078205
"ENSG00000022277","RTF2",0.143559834171804,0.00789378561771732
"ENSG00000022840","RNF10",0.391256807292045,9.18762686222984e-07
"ENSG00000023171","GRAMD1B",1.58563284973421,9.05923239432819e-06
"ENSG00000023287","RB1CC1",0.186771696303142,0.0420385980184778
"ENSG00000023318","ERP44",0.269250167133291,0.000453554457854021
"ENSG00000023330","ALAS1",0.313660965997366,0.0216559557311244
"ENSG00000023839","ABCC2",0.507593496397616,0.00429596097644874
"ENSG00000025039","RRAGD",0.857998034270089,0.00230885407616421
"ENSG00000026297","RNASET2",0.275582195233402,0.0332856295808842
"ENSG00000027075","PRKCH",0.611337357962852,0.00377132057271416
"ENSG00000028203","VEZT",0.403165752823368,1.8681019160437e-08
"ENSG00000031003","FAM13B",0.349611913863399,0.0331450209441451
"ENSG00000033327","GAB2",0.554084232953222,0.035387079307654
"ENSG00000034152","MAP2K3",0.359105410688943,0.0024145693793099
"ENSG00000036672","USP2",1.09978188028847,0.00732286853799132
"ENSG00000038427","VCAN",2.34178161543142,9.17821372043063e-05
"ENSG00000040608","RTN4R",1.07673022928139,6.95185258010033e-06
"ENSG00000043093","DCUN1D1",0.209951144650182,0.0309157735822468
"ENSG00000044090","CUL7",0.408992408721494,0.0276383440901229
"ENSG00000047315","POLR2B",0.148693855443246,0.0202563104533589
"ENSG00000047346","ATOSA",0.815284378633851,1.61680381745144e-06
"ENSG00000049089","COL9A2",2.62081654520322,2.49941062676765e-06
"ENSG00000049283","EPN3",1.08309569381044,1.06290629617534e-09
"ENSG00000049759","NEDD4L",0.747423438743768,3.91204056566118e-11
"ENSG00000050165","DKK3",1.33239110303381,0.00303286187007571
"ENSG00000051009","FHIP1B",0.373756040787639,0.0127488226059913
"ENSG00000051596","THOC3",0.274500610636365,0.0167563906508706
"ENSG00000054179","ENTPD2",0.914406298467496,0.00142185204030606
"ENSG00000054277","OPN3",0.411388249347382,0.0018355246965628
"ENSG00000054793","ATP9A",0.320171374759267,0.034993455418953
"ENSG00000055118","KCNH2",1.49949277174067,0.00401582368122617
"ENSG00000055208","TAB2",0.17716022928393,0.0429713167342235
"ENSG00000055950","MRPL43",0.220620232117983,0.043775539686671
"ENSG00000056586","RC3H2",0.288090178716158,0.000904006951552059
"ENSG00000057657","PRDM1",0.939641503293802,9.72323192902536e-05
"ENSG00000059378","PARP12",0.664790889940686,6.07112764895159e-07
"ENSG00000060491","OGFR",0.371521356938279,5.44295094230662e-08
"ENSG00000061936","SFSWAP",0.247760829323788,0.00685508474871842
"ENSG00000062598","ELMO2",0.303282446816468,0.0371982142539177
"ENSG00000063169","BICRA",0.369855439784167,0.0484457098876214
"ENSG00000063177","RPL18",0.229564309076223,0.0117978642340786
"ENSG00000063245","EPN1",0.396297438959215,0.000107033834898681
"ENSG00000063322","MED29",0.242854416867693,0.0215699304148148
"ENSG00000063438","AHRR",1.30654010670161,0.00527619506101746
"ENSG00000063587","ZNF275",0.329504969998113,0.0178435629000892
"ENSG00000063854","HAGH",0.347275417944788,0.00600507980708214
"ENSG00000064547","LPAR2",0.47503258498508,0.00193379387100058
"ENSG00000064886","CHI3L2",0.96644767836617,4.42894538311253e-05
"ENSG00000064932","SBNO2",0.323008308245557,0.00312417043831164
"ENSG00000064961","HMG20B",0.203227613451462,0.0350544222668337
"ENSG00000065989","PDE4A",0.631119762397119,0.0245984569810672
"ENSG00000066322","ELOVL1",0.377871545957019,0.00105856386008124
