"ENSEMBL","SYMBOL","log2FoldChange","padj"
"ENSG00000000003","TSPAN6",0.273476328220394,0.0325971373983389
"ENSG00000001036","FUCA2",0.306535319291679,0.00219449638487398
"ENSG00000003137","CYP26B1",0.138438788351581,0.630564442425026
"ENSG00000004660","CAMKK1",-0.532417910447916,0.00820948952084606
"ENSG00000005249","PRKAR2B",-0.142974829582179,0.547978249563471
"ENSG00000005801","ZNF195",0.734707908953817,4.58680362426924e-13
"ENSG00000006282","SPATA20",0.258056459797611,0.0616170799559833
"ENSG00000006652","IFRD1",0.0464697147310768,0.844742578120284
"ENSG00000007923","DNAJC11",0.00145210724158975,0.999433637321825
"ENSG00000008018","PSMB1",-0.100525337324173,0.404583935488835
"ENSG00000008283","CYB561",0.904792346892113,2.30551573327032e-13
"ENSG00000008394","MGST1",0.201191659976955,0.0419849277506256
"ENSG00000008952","SEC62",0.0989187584470295,0.203801761065375
"ENSG00000010244","ZNF207",-0.258093637958228,6.64514716823886e-05
"ENSG00000010292","NCAPD2",-0.315402181504924,0.00473882818897822
"ENSG00000011304","PTBP1",-0.288385525687985,0.000223575701727588
"ENSG00000011405","PIK3C2A",0.186933538009283,0.010121738677934
"ENSG00000011677","GABRA3",-0.63957704386666,6.76458662335904e-06
"ENSG00000012061","ERCC1",0.0375880156281015,0.749746598242551
"ENSG00000013375","PGM3",0.220030137998107,0.000470269397732926
"ENSG00000014914","MTMR11",0.0937685163267725,0.53270948805253
"ENSG00000019144","PHLDB1",0.729530930804934,9.84802526929155e-09
"ENSG00000021762","OSBPL5",-0.0847864190101563,0.735512256440617
"ENSG00000027869","SH2D2A",1.07814772842305,3.78682345067163e-06
"ENSG00000033100","CHPF2",0.342845077121806,0.00243076623538025
"ENSG00000034677","RNF19A",0.194429103658527,0.193212627978509
"ENSG00000036257","CUL3",-0.245403669853188,0.00112073960813496
"ENSG00000037042","TUBG2",0.10001578377621,0.649530730930749
"ENSG00000039650","PNKP",-0.227835016776926,0.0710414642815092
"ENSG00000040633","PHF23",-0.191031577001035,0.0263823654834307
"ENSG00000041802","LSG1",0.429083660428623,8.13224300674063e-17
