"ENSEMBL","SYMBOL","log2FoldChange","padj"
"ENSG00000004660","CAMKK1",-0.550554909482397,0.00577318004684055
"ENSG00000005249","PRKAR2B",-0.660371576359465,0.0129843000609354
"ENSG00000007923","DNAJC11",-0.265391354536575,0.00885565243363902
"ENSG00000008283","CYB561",-0.255425232615291,0.0118768741619112
"ENSG00000008394","MGST1",-0.365473034345026,0.000408876473178929
"ENSG00000010244","ZNF207",-0.260172805590204,0.00158479229554786
"ENSG00000010292","NCAPD2",-0.365055482414277,0.0050973273720019
"ENSG00000011304","PTBP1",-0.266537608889086,0.0054343065419169
"ENSG00000011677","GABRA3",-0.628468237815569,0.0411681293706095
"ENSG00000021762","OSBPL5",-0.362973192732575,0.0451698544070978
"ENSG00000036257","CUL3",-0.218060450611918,0.0258008012774709
"ENSG00000040633","PHF23",-0.282598487348055,0.00607344991920808
"ENSG00000041802","LSG1",-0.273788020066831,0.000181293108232158
"ENSG00000047936","ROS1",-0.687922789001187,0.00121016297066024
"ENSG00000049883","PTCD2",-0.353879849137699,0.0356644369330181
"ENSG00000052841","TTC17",-0.323423159982132,0.00589336329439346
"ENSG00000055483","USP36",-0.299228342880762,0.0327669529921103
"ENSG00000062282","DGAT2",-0.56864878171593,0.000760786004505565
"ENSG00000063241","ISOC2",-0.459385162681215,0.00925843296012964
"ENSG00000064195","DLX3",-1.63417441349805,0.000181373016420634
"ENSG00000064205","CCN5",-1.07388806587041,0.000107444883367718
"ENSG00000066654","THUMPD1",-0.211895526806293,0.0180313146226143
"ENSG00000067596","DHX8",-0.277384645895801,0.0113290307821545
"ENSG00000067715","SYT1",-0.811050983345684,0.00998276712365475
"ENSG00000068120","COASY",-0.289473034110119,0.00831449749686743
"ENSG00000069011","PITX1",-0.373768285831296,0.00285754705384538
"ENSG00000069702","TGFBR3",-0.453807295923757,0.00267150504803922
"ENSG00000071655","MBD3",-0.342790624638142,0.0198873987324625
"ENSG00000073111","MCM2",-0.342193389380058,0.0146516376367878
"ENSG00000075218","GTSE1",-0.278376052422208,0.0225798279807909
"ENSG00000075856","SART3",-0.238820942098678,0.0151309533910409
"ENSG00000077684","JADE1",-0.364160211052908,0.00168968719171743
"ENSG00000078018","MAP2",-1.62283401460192,5.17853423958758e-05
"ENSG00000078114","NEBL",-1.44196133113151,3.65289241929585e-05
"ENSG00000083457","ITGAE",-0.487125729695414,0.00463231717875797
"ENSG00000084070","SMAP2",-0.277158645609034,0.027512956696989
"ENSG00000086696","HSD17B2",-0.425952828999257,0.0467276683735874
"ENSG00000087116","ADAMTS2",-0.668187124845196,0.0356269694809352
"ENSG00000087586","AURKA",-0.254708090505247,0.0356644369330181
"ENSG00000088325","TPX2",-0.289200511135017,0.023374574350675
"ENSG00000089094","KDM2B",-0.289133597952983,0.0225957640675829
"ENSG00000090932","DLL3",-0.605581013083833,0.0353964744159375
"ENSG00000091542","ALKBH5",-0.221097756996066,0.0417490574499432
"ENSG00000091831","ESR1",-0.53702253715116,0.0455352826834425
"ENSG00000095787","WAC",-0.140584507728376,0.0260476093009563
"ENSG00000096717","SIRT1",-0.300058369319725,0.0374976177827134
"ENSG00000099204","ABLIM1",-0.215446386868291,0.03457252497827
"ENSG00000099817","POLR2E",-0.249044215935718,0.0448045190941145
"ENSG00000100211","CBY1",-0.25372663564252,0.0443911732219986
"ENSG00000100271","TTLL1",-1.76555743919453,0.000145967258108064
"ENSG00000100294","MCAT",-0.366165702427932,0.00871015047372116
"ENSG00000100526","CDKN3",-0.373870656436713,0.0309957011038117
"ENSG00000101412","E2F1",-0.435027987560303,0.0135860775464401
"ENSG00000101447","FAM83D",-0.389514819064373,0.0131628164728661
"ENSG00000101452","DHX35",-0.519089726833502,0.00440080642552531
"ENSG00000102554","KLF5",-0.303942966700905,0.0242971465762745
"ENSG00000103126","AXIN1",-0.30792364153626,0.0345553742836191
"ENSG00000103150","MLYCD",-0.897906449698566,0.0131628164728661
"ENSG00000103591","AAGAB",-0.243118740513174,0.0469203616688024
"ENSG00000104691","UBXN8",-0.567886483044667,0.000105086779520134
"ENSG00000104731","KLHDC4",-0.485843269985917,0.00041445442742685
"ENSG00000104835","SARS2",-0.437673571874354,0.00465707950704806
"ENSG00000104976","SNAPC2",-0.301707595168849,0.0248663468533183
"ENSG00000105576","TNPO2",-0.396367121059149,0.00091627425263694
"ENSG00000107731","UNC5B",-1.40941168478099,7.01007335308155e-06
"ENSG00000107897","ACBD5",-0.33255731357073,0.0145775394567506
"ENSG00000107951","MTPAP",-0.275448598376035,0.0204502932301564
"ENSG00000108352","RAPGEFL1",-0.844701529360496,0.00387494447084484
"ENSG00000108448",NA,-0.374628371813631,0.00813891845018185
"ENSG00000108604","SMARCD2",-0.363161884500997,0.00511337562877244
"ENSG00000109133","TMEM33",-0.227454177596689,0.0121574865626377
"ENSG00000109606","DHX15",-0.28048996358621,0.002946992356239
"ENSG00000110107","PRPF19",-0.326720666122146,0.000608422776753612
"ENSG00000110851","PRDM4",-0.224849124191699,0.0475270820115438
"ENSG00000110881","ASIC1",-0.402296876016889,0.0472101890362556
"ENSG00000111877","MCM9",-0.630777326528899,0.00994155103738624
"ENSG00000112031","MTRF1L",-0.352935155920102,0.00825838399015854
"ENSG00000113966","ARL6",-0.831702079244119,0.000515647117531029
"ENSG00000114062","UBE3A",-0.185639375072943,0.023883624756859
"ENSG00000114120","SLC25A36",-0.3274123765188,0.000547053455283301
"ENSG00000114439","BBX",-0.250789628231948,0.00636079887037935
"ENSG00000114767","RRP9",-0.500115817105578,6.70927045605896e-06
"ENSG00000114861","FOXP1",-0.315716993459283,0.0059073975902991
"ENSG00000114867","EIF4G1",-0.253092121257183,0.0338232770150679
"ENSG00000114978","MOB1A",-0.274319978251214,0.00439618773617047
"ENSG00000114982","KANSL3",-0.267580601689998,0.0255909545904886
"ENSG00000114993","RTKN",-0.231869654312754,0.0475370237323727
"ENSG00000115844","DLX2",-0.664580233463402,0.00531946031092967
"ENSG00000116044","NFE2L2",-0.257668934022107,0.0259889424462065
"ENSG00000116406","EDEM3",-0.279064397693285,0.0291210329342347
"ENSG00000117362","APH1A",-0.305227100750395,0.0057014486600388
"ENSG00000117543","DPH5",-0.256384489818679,0.043063338833741
"ENSG00000118257","NRP2",-0.413490411641544,0.0144079013000879
"ENSG00000118900","UBN1",-0.246681493753794,0.0239860010306554
"ENSG00000119138","KLF9",-0.442824448904021,0.0412444183834693
"ENSG00000120837","NFYB",-0.294763787879919,0.00395555628062207
"ENSG00000121057","AKAP1",-0.272744525821553,0.00409193652370281
"ENSG00000121864","ZNF639",-0.271679828241046,0.0218422101713648
"ENSG00000123610","TNFAIP6",-0.798160910965428,0.0218406594727057
"ENSG00000124151","NCOA3",-0.280493141266648,0.03457252497827
"ENSG00000124313","IQSEC2",-0.627154478159377,0.00529120725738283
"ENSG00000124782","RREB1",-0.520577342584707,0.00230369273880664
"ENSG00000125812","GZF1",-0.257685735522877,0.0414916577420283
"ENSG00000125848","FLRT3",-0.549458987762141,0.000339722990916064
"ENSG00000127125","PPCS",-0.327063302919804,0.00554993371504019
"ENSG00000127152","BCL11B",-0.534757443640561,0.0194133455987656
"ENSG00000127311","HELB",-0.797492835661177,0.00411865801883537
"ENSG00000128564","VGF",-0.544048109021333,0.0248876816853638
"ENSG00000128606","LRRC17",-1.16112001806244,0.00559123565390509
"ENSG00000130204","TOMM40",-0.350876220232521,0.00409869606474991
"ENSG00000130382","MLLT1",-0.262335323529179,0.0223948640641895
"ENSG00000130695","CEP85",-0.364969522662053,0.0292393159661545
"ENSG00000130749","ZC3H4",-0.252316189105448,0.0278203597781124
"ENSG00000131368","MRPS25",-0.332801094193304,0.0281213981940188
"ENSG00000131370","SH3BP5",-0.336137524540525,0.0120701533383591
"ENSG00000131381","RBSN",-0.334152635038904,0.00402819853599296
"ENSG00000131697","NPHP4",-0.446653264855463,0.0293086282665429
"ENSG00000131848","ZSCAN5A",-0.503382769654427,0.00611438785562348
"ENSG00000132275","RRP8",-0.403105582859685,0.000909530180331168
"ENSG00000132294","EFR3A",-0.21167918429894,0.016462576066244
"ENSG00000132768","DPH2",-0.307512065478263,0.00572131343384621
"ENSG00000132915","PDE6A",-0.742854434110069,0.0224922697407786
"ENSG00000134046","MBD2",-0.153736969382796,0.0475249512680511
"ENSG00000134375","TIMM17A",-0.253796991522748,0.0186473883346405
"ENSG00000136205","TNS3",-0.320446581298689,0.0432674869998789
"ENSG00000136381","IREB2",-0.186537278488978,0.0357136380318497
"ENSG00000136875","PRPF4",-0.246754158364266,0.0138586054949942
"ENSG00000137273","FOXF2",-0.382096859646653,0.0210322952633818
"ENSG00000137494","ANKRD42",-0.602652855871325,0.00395290148827266
"ENSG00000138002","IFT172",-0.412946962584812,0.0428232763378301
"ENSG00000138061","CYP1B1",-0.574004099223067,0.0101916673224998
"ENSG00000138074","SLC5A6",-0.647284274059819,4.74870379985529e-07
"ENSG00000138160","KIF11",-0.313531816824415,0.0167005986810441
"ENSG00000138193","PLCE1",-0.558699487756829,0.00305933125241066
"ENSG00000138411","HECW2",-2.00496192147129,7.02337130256912e-10
"ENSG00000138617","PARP16",-0.547896752304002,0.0250284661168125
"ENSG00000139174","PRICKLE1",-0.55807637311618,0.00556662189781252
"ENSG00000139718","SETD1B",-0.418562888382929,0.00860327628794866
"ENSG00000139970","RTN1",-1.03619711033123,0.00329179277223092
"ENSG00000140332","TLE3",-0.726145736355294,1.13768560253724e-06
"ENSG00000140854","KATNB1",-0.371456129566239,0.0196975377838486
"ENSG00000140948","ZCCHC14",-0.353111602137631,0.0188892305147429
"ENSG00000141084","RANBP10",-0.480121836411288,0.00209804977698945
"ENSG00000141179","PCTP",-0.441382078136615,0.00465707950704806
"ENSG00000141582","CBX4",-0.560820546495914,2.77168300124844e-08
"ENSG00000141664","ZCCHC2",-0.492851769409237,8.53532328370147e-05
"ENSG00000141905","NFIC",-0.316772933815253,0.0131628164728661
"ENSG00000142230","SAE1",-0.23708928682221,0.0411681293706095
"ENSG00000143149","ALDH9A1",-0.337008809089955,0.00451259876467413
"ENSG00000143294","PRCC",-0.455324447984475,0.00216724061801096
"ENSG00000143537","ADAM15",-0.297735675380248,0.0483710028601253
