"ENSEMBL","SYMBOL","log2FoldChange","padj"
"ENSG00000000003","TSPAN6",0.300180874626815,0.0367433912246793
"ENSG00000001036","FUCA2",0.350685101517777,0.00220124537472321
"ENSG00000003137","CYP26B1",0.715648378242315,0.0166961896526813
"ENSG00000005801","ZNF195",0.277403746903162,0.0398476766659219
"ENSG00000006282","SPATA20",0.375566400550658,0.0379899246113245
"ENSG00000006652","IFRD1",0.44457620500956,0.0191660667148979
"ENSG00000008018","PSMB1",0.335542925302032,0.00364860613452897
"ENSG00000008952","SEC62",0.205204992390257,0.0184832031432675
"ENSG00000011405","PIK3C2A",0.219822573783629,0.0102525311839717
"ENSG00000012061","ERCC1",0.534874016054115,2.71404095906585e-08
"ENSG00000013375","PGM3",0.221226372479937,0.0067864607506171
"ENSG00000014914","MTMR11",0.442371159813053,0.031045464457848
"ENSG00000019144","PHLDB1",0.315376134183694,0.0386242426633052
"ENSG00000026025","VIM",0.374261039516539,0.0318510190463369
"ENSG00000027869","SH2D2A",1.17497260730309,1.49214111863069e-05
"ENSG00000033100","CHPF2",0.283534624687873,0.0497786240473592
"ENSG00000034677","RNF19A",0.335143821715337,0.0343756280570388
"ENSG00000037042","TUBG2",0.396638280294112,0.0400784539445258
"ENSG00000039650","PNKP",0.308186671713586,0.0181255602888671
"ENSG00000047365","ARAP2",0.329462530473463,0.0488912116262845
"ENSG00000049192","ADAMTS6",0.928972794500444,0.000613221156118716
"ENSG00000050344","NFE2L3",0.531218658566452,0.00212476919295844
"ENSG00000054392","HHAT",0.478824454014041,0.0194423314566901
"ENSG00000057019","DCBLD2",0.284486716151621,0.0113439480724689
"ENSG00000057252","SOAT1",0.312819504466841,0.00340144435774114
"ENSG00000057704","TMCC3",1.55948913001835,4.53449275003306e-06
"ENSG00000058085","LAMC2",0.274186003712574,0.0282044139326724
"ENSG00000059728","MXD1",0.337593361813748,0.0261585082826056
"ENSG00000060558","GNA15",0.699301847118022,1.78311479249881e-06
"ENSG00000060971","ACAA1",0.300559023327246,0.0126009585404833
"ENSG00000061987","MON2",0.383295952134806,0.0206074205540872
"ENSG00000062716","VMP1",0.415129978563629,0.00213370442866467
"ENSG00000064012","CASP8",0.276031113589297,0.0238085117619393
"ENSG00000064490","RFXANK",0.305105424945582,0.0385663831433736
"ENSG00000065491","TBC1D22B",0.352793450656845,0.0385748646771518
"ENSG00000067182","TNFRSF1A",0.246647916255832,0.0291273169133605
"ENSG00000068745","IP6K2",0.247319155211088,0.0308922700232529
"ENSG00000070087","PFN2",0.298425497866271,0.019601600643856
"ENSG00000070404","FSTL3",0.34924375751619,0.0367433912246793
"ENSG00000074047","GLI2",0.974880687344688,0.00525211021646642
"ENSG00000074219","TEAD2",0.359862367373539,0.0487745798858334
"ENSG00000075539","FRYL",0.218553142959448,0.049182484430011
"ENSG00000075568","TMEM131",0.390225124710584,0.00401028063301165
"ENSG00000076641","PAG1",0.406292260737745,0.0213880574354571
"ENSG00000077238","IL4R",0.641822392777631,8.34734630703099e-07
"ENSG00000079215","SLC1A3",0.485346850829584,0.0298070724776957
"ENSG00000081870","IFT25",0.271012775672845,0.0264613149780826
"ENSG00000082781","ITGB5",0.420308869994904,0.00186762518652703
"ENSG00000084636","COL16A1",0.587722108948,0.0449136723233588
"ENSG00000085063","CD59",0.383995026065006,0.00386972699895156
"ENSG00000085185","BCORL1",0.39746598722305,0.049182484430011
"ENSG00000086666","ZFAND6",0.476623744814258,0.000294710127811313
"ENSG00000087206","UIMC1",0.2955174625534,0.00205597938675014
"ENSG00000087494","PTHLH",1.1908632839954,0.0058957835502794
"ENSG00000092969","TGFB2",1.28763230061622,0.000731676804148877
"ENSG00000093167","LRRFIP2",0.234074690123955,0.0222114303052379
"ENSG00000099250","NRP1",0.614311634180421,0.00163662002889307
"ENSG00000099337","KCNK6",0.431200525765226,0.0186147699618304
"ENSG00000099999","RNF215",0.729327706881632,0.0167541809612828
"ENSG00000100209","HSCB",0.720896645695512,0.000371980206799572
"ENSG00000100330","MTMR3",0.342707178936791,0.0244059882248411
"ENSG00000100600","LGMN",0.469763912774784,0.0100257063578476
"ENSG00000100612","DHRS7",0.341039186957488,0.0139591728642942
"ENSG00000100867","DHRS2",0.919943616490997,0.00352995057682782
"ENSG00000101000","PROCR",0.472739193406095,0.000208169577789213
"ENSG00000101608","MYL12A",0.326251710798713,0.000438318972180079
"ENSG00000102189","EEA1",0.422634358471327,0.000445447207769265
"ENSG00000102265","TIMP1",0.541499690236125,0.00147601697094185
"ENSG00000102359","SRPX2",0.403079266524828,0.0346287840780062
"ENSG00000102572","STK24",0.240308209603753,0.0428665206605896
"ENSG00000102699","PARP4",0.315788660647547,0.0346737389723339
"ENSG00000102781","KATNAL1",0.434198429164047,0.00353627390570121
"ENSG00000102901","CENPT",0.333889811706717,0.0469746642292732
"ENSG00000102908","NFAT5",0.384709288786662,0.0258342505318557
"ENSG00000103145","HCFC1R1",0.335846815869088,0.00960483055578355
"ENSG00000103381","CPPED1",0.283759846644793,0.037675146830629
"ENSG00000103507","BCKDK",0.241840476520663,0.0391899405456394
"ENSG00000104312","RIPK2",0.317679567877447,0.0109079705642232
"ENSG00000104365","IKBKB",0.309484615074659,0.0445112119364455
"ENSG00000104783","KCNN4",0.281493485216949,0.0174142888802844
"ENSG00000105048","TNNT1",0.780581508605676,0.000141529923805106
"ENSG00000105329","TGFB1",0.591127470136842,0.00690033503910459
"ENSG00000105640","RPL18A",0.283797305417015,0.0413736849761604
"ENSG00000105829","BET1",0.376078890656959,0.0156944042838545
"ENSG00000108854","SMURF2",0.381104741505575,0.0189464441000568
"ENSG00000109790","KLHL5",0.312454389867859,0.0161270054198015
"ENSG00000109861","CTSC",0.26682164179239,0.044964657226539
"ENSG00000110315","RNF141",0.273066312534906,0.0198325119773438
"ENSG00000110888","CAPRIN2",0.319574722535892,0.0425201062244971
"ENSG00000111961","SASH1",0.338562933261552,0.0135155826538684
"ENSG00000112655","PTK7",0.417234834897036,0.0183228609076936
"ENSG00000113441","LNPEP",0.250802458830492,0.00884330293440208
"ENSG00000113758","DBN1",0.418907871301569,1.09006351052254e-05
"ENSG00000113812","ACTR8",0.249144853345657,0.0344679370038771
"ENSG00000114166","KAT2B",0.568232866494386,0.0248078516591984
"ENSG00000115008","IL1A",0.517565591909813,0.00391609517290657
"ENSG00000115009","CCL20",0.541913287054229,0.0434894481132154
"ENSG00000115159","GPD2",0.259623346865503,0.00833390200927142
"ENSG00000115392","FANCL",0.439112075657808,0.00024521437836776
"ENSG00000115540","MOB4",0.232917958355878,0.0490133953114965
"ENSG00000115993","TRAK2",0.350836560824031,0.0202867347332142
"ENSG00000116489","CAPZA1",0.237287952247209,0.00716929881914258
"ENSG00000117153","KLHL12",0.314558015407037,0.0174757700977952
"ENSG00000117407","ARTN",1.09714111723019,0.00206466442132212
"ENSG00000119414","PPP6C",0.237664661630044,0.0263329420898835
"ENSG00000120254","MTHFD1L",0.286862113271533,0.00841174212882942
"ENSG00000120509","PDZD11",0.278200533581389,0.014114609350017
"ENSG00000121895","TMEM156",1.26046792763563,9.59278889740592e-05
"ENSG00000122591","HYCC1",0.243996007989527,0.0363902778647992
"ENSG00000122678","POLM",0.588825623169141,0.00134143606854951
"ENSG00000122786","CALD1",0.301448631698838,0.0121574865626377
"ENSG00000122861","PLAU",2.23207409122815,9.57176759341789e-07
"ENSG00000123415","SMUG1",0.390138389186564,0.0086750194078893
"ENSG00000123977","DAW1",0.478343777845556,0.0488269247450579
"ENSG00000124225","PMEPA1",0.601677300641068,0.0131254260551727
"ENSG00000124882","EREG",0.769011620637288,0.0224045744833609
"ENSG00000125170","DOK4",0.479351791062939,0.0435114664571586
"ENSG00000125726","CD70",1.51277766161576,8.34734630703099e-07
"ENSG00000126432","PRDX5",0.616908023945286,5.95398690829876e-07
"ENSG00000126562","WNK4",0.692239560028493,0.0305576026992552
"ENSG00000127920","GNG11",0.776366923730477,0.0189708826144107
"ENSG00000128340","RAC2",0.512049584297254,4.29432138338592e-06
"ENSG00000128342","LIF",0.865836827536452,0.00731028025179304
"ENSG00000128463","EMC4",0.414667454790375,0.000113266277725268
"ENSG00000128563","PRKRIP1",0.265000947084,0.0399080293592004
"ENSG00000128829","EIF2AK4",0.230696650251804,0.00401197777904639
"ENSG00000129474","AJUBA",0.434776506535946,0.0043114757862135
"ENSG00000129680","MAP7D3",0.28809408194962,0.000918489552505679
"ENSG00000130066","SAT1",0.718856531135676,7.37553633450176e-07
"ENSG00000130635","COL5A1",0.664899134599414,0.0253685422422256
"ENSG00000130811","EIF3G",0.18002115517308,0.0464769051191867
"ENSG00000130813","SHFL",0.432557404085222,0.0177015262712906
"ENSG00000131013","PPIL4",0.33597007502154,0.00241229427597331
"ENSG00000131016","AKAP12",0.69342810914692,0.0118540940305832
"ENSG00000131378","RFTN1",0.304566724883758,0.0262945441915103
"ENSG00000131475","VPS25",0.240433086968551,0.0497069692963511
"ENSG00000131725","WDR44",0.333667691853528,0.03684487132902
"ENSG00000132031","MATN3",0.521629970728692,0.041589891789224
"ENSG00000132334","PTPRE",0.349118699378706,0.0485542147022627
"ENSG00000132405","TBC1D14",0.23308510131941,0.037675146830629
"ENSG00000132646","PCNA",0.268511534245998,0.0253853598235775
"ENSG00000133030","MPRIP",0.301339354985898,0.0163941890830421
"ENSG00000133466","C1QTNF6",0.487778399334008,0.0313639514005207
"ENSG00000134265","NAPG",0.295644333347812,0.0193458107462106
"ENSG00000134285","FKBP11",0.392791697633086,0.0448836239170953
"ENSG00000134954","ETS1",0.389135707552432,0.01057328323957
"ENSG00000134955","SLC37A2",0.338779752526212,0.0218775303913621
"ENSG00000135074","ADAM19",1.73293268941681,0.000122880011078619
"ENSG00000135211","TMEM60",0.333289588616089,0.0489176828931765
