"ENSEMBL","SYMBOL","log2FoldChange_UVB","padj_UVB","log2FoldChange_UVA","padj_UVA","log2FoldChange_7gy","padj_7gy"
"ENSG00000115946","PNO1",-0.365101414618214,0.000513692245597678,-0.488634743032547,3.19677088719812e-06,-0.366238073119269,0.000544184360864397
"ENSG00000171867","PRNP",-1.02883800309353,2.30179235433076e-09,-0.404465289200362,0.00955949749897137,-0.412018666883591,0.0067381250192253
"ENSG00000132286","TIMM10B",-0.384549944603453,4.0122158016241e-05,-0.469703134422088,4.98260959249644e-07,-0.24032582774322,0.0131216187841611
"ENSG00000221838","AP4M1",-0.546715518011087,0.000277658062159812,-0.430774321679535,0.00277518302943274,-0.346380660913378,0.013445294624025
"ENSG00000265641","MIR3929",-0.86922898865588,0.0148172821519018,-0.787966019252997,0.00813669899896967,-1.55213906563148,0.000669371374854256
"ENSG00000115652","UXS1",-0.211533815972961,0.00605070715083299,-0.193950298003976,0.0130482768549579,-0.190540916174788,0.0162338369890433
"ENSG00000046647","GEMIN8",-0.399933290360042,0.0222270345920338,-0.416816535614557,0.0149002137702371,-0.553690714598736,0.00245845901135974
"ENSG00000108960","MMD",-0.402420992536657,0.0115801106861403,-0.629434456050147,0.000131678387312646,-0.342716904962523,0.0224279313960663
"ENSG00000177410","ZFAS1",-0.453827485190665,0.000395240927059069,-0.330791253808685,0.0107111063664365,-0.283195575668063,0.023680531470598
"ENSG00000176597","B3GNT5",-0.525477609359035,7.02570044455674e-07,-0.349377689045751,0.00100236792934393,-0.241674855757423,0.0243957917491437
"ENSG00000270170","NCBP2AS2",-0.319815500357151,0.000419002835417917,-0.665212363983134,1.35997947595634e-13,-0.201568064775114,0.0341137362193054
"ENSG00000261824","LINC00662",-0.519736864215641,0.000843856809522768,-0.316613354699836,0.0377362830151662,-0.570112406758886,0.000296624920989028
"ENSG00000263465","SRSF8",-0.209004947963047,0.0395688249340126,-0.344415013756559,0.000364550540495929,-0.302002570507351,0.00205196117727804
"ENSG00000187193","MT1X",-0.308753241010949,0.0401119998782327,-0.844719289985318,1.00104300855147e-07,-0.492185528704502,0.00109721651634021
"ENSG00000143315","PIGM",-0.179320838507075,0.0424083933678417,-0.279890697825609,0.000823010662011624,-0.203193756639188,0.0195640562533274
"ENSG00000186222","BLOC1S4",-0.230069231250121,0.0434690217981456,-0.377826388942694,0.000553132766367862,-0.339685367248399,0.00201051173964134
