"ENSEMBL","SYMBOL","log2FoldChange_UVB","padj_UVB","log2FoldChange_UVA","padj_UVA","log2FoldChange_7gy","padj_7gy"
"ENSG00000198826","ARHGAP11A",-0.564594049134567,5.12997376931484e-08,-1.27812527516363,1.06804317419285e-33,-0.596330315971882,2.03676783159054e-08
"ENSG00000163939","PBRM1",-0.346910160548758,7.47193658159686e-08,-0.315929666192414,1.13836180258724e-06,-0.380065240600514,2.0374153254896e-08
"ENSG00000100811","YY1",-0.295088931448913,1.62057253072247e-09,-0.335052093573865,5.90884127008324e-12,-0.239713158685187,5.74756087753066e-06
"ENSG00000075218","GTSE1",-0.529443371084276,2.26962519032545e-08,-0.977104957321922,2.41231865075775e-24,-0.414908280841032,2.16879713517156e-05
"ENSG00000138376","BARD1",-0.59931598800807,1.1406991825672e-11,-0.824824998172838,6.55630629941675e-20,-0.391701454979426,2.52792658489672e-05
"ENSG00000058056","USP13",-0.467468948131443,3.64243382798099e-08,-0.516286993784479,1.26841489447318e-09,-0.378678379524569,2.72623101572662e-05
"ENSG00000171848","RRM2",-0.810973183960075,3.80013511145889e-11,-1.03117372655639,2.88912146930528e-17,-0.506707545529325,2.85720194993371e-05
"ENSG00000105323","HNRNPUL1",-0.424844552696853,1.22112703010683e-07,-0.482980406026716,1.37442458133087e-09,-0.343242446871664,3.98092170052219e-05
"ENSG00000138160","KIF11",-0.436995538834663,6.40713089497064e-05,-1.45051706896646,1.53261190053562e-37,-0.546514059097824,8.47720323847256e-07
"ENSG00000121152","NCAPH",-0.534610313211434,8.67834543630045e-07,-1.14563304496806,1.24882023974038e-23,-0.436133389673952,9.37595357664887e-05
"ENSG00000174839","DENND6A",-0.721954077355122,3.32839935498934e-05,-0.690611010966873,5.04514015614979e-05,-0.68669460816551,0.000106145970856392
"ENSG00000169607","CKAP2L",-0.423604506683952,0.000165899729353273,-0.906139004676402,4.4279058539422e-16,-0.634981580282546,2.0374153254896e-08
"ENSG00000163935","SFMBT1",-0.45006879781557,0.000361608734018883,-0.61453440264586,1.11783696187183e-06,-0.444144153497325,0.00045760149580138
"ENSG00000125885","MCM8",-0.399859850658098,2.12755682909216e-05,-0.981298623651911,1.4256097677574e-25,-0.332780447673445,0.000622359593256156
"ENSG00000083642","PDS5B",-0.324578940741186,0.000679740829593982,-0.72522628344652,6.80691151599403e-15,-0.386436502203018,5.94806048318554e-05
"ENSG00000149554","CHEK1",-0.324272907732202,0.000723077123599617,-0.361368070396323,0.00014989360241179,-0.39957979270959,5.06339043625344e-05
"ENSG00000289194",NA,-0.526677038363376,2.39018652773594e-07,-1.01360838931807,1.79118848299316e-21,-0.35355344843421,0.000888410076566833
"ENSG00000143476","DTL",-0.403396506653541,0.000415573307090301,-1.00494594381862,3.55518768664606e-18,-0.371544965704881,0.00127159120718724
"ENSG00000113575","PPP2CA",-0.450350562729542,7.01803113000952e-05,-0.495162988567123,1.20850715981708e-05,-0.372050236630702,0.00139822781453948
"ENSG00000179051","RCC2",-0.284811701934841,0.000914890255664509,-0.622374667748839,3.99101691194954e-14,-0.275300829442631,0.00189853601040118
"ENSG00000163808","KIF15",-0.792344041009365,3.6641506102293e-08,-1.41128942316743,4.22508254406013e-22,-0.424023853990878,0.00195820516207165
"ENSG00000237649","KIFC1",-0.708091991335689,4.57545428996594e-07,-1.32243242700892,3.83604253211153e-20,-0.414627541295515,0.00215252864728978
"ENSG00000198355","PIM3",-0.481851669664641,3.06940703101057e-05,-0.350508391340539,0.00288655291750824,-0.353336388569635,0.00239649053821429
"ENSG00000134318","ROCK2",-0.239821068414965,0.00227161010238853,-0.233531727689053,0.00298806847669658,-0.240423193329369,0.0033126897578402
"ENSG00000112877","CEP72",-0.508520287523452,0.00339383905164793,-0.940411223001356,5.40345775393678e-07,-0.611804621012692,0.000619425236324268
"ENSG00000111247","RAD51AP1",-0.326985630579781,0.00340645258814521,-0.728632082822638,2.43766764007032e-11,-0.354179746628194,0.00149382847526579
"ENSG00000119640","ACYP1",-0.407888822451249,0.00421326395144618,-0.459481598088124,0.00120313356089107,-0.553330366449182,0.00013033327057595
"ENSG00000107672","NSMCE4A",-0.439920662834626,1.48019257369866e-05,-0.447451289162845,1.08144496890949e-05,-0.306455724502378,0.00424920456147584
"ENSG00000123080","CDKN2C",-0.332505516106393,0.00443497240783662,-0.938511238562943,2.84550388029057e-15,-0.406050629377691,0.000537397104533744
"ENSG00000175063","UBE2C",-0.633916786090613,2.48950691330092e-07,-0.550840125849186,6.1555558397167e-06,-0.346510845138124,0.00462335329170235
"ENSG00000103540","CCP110",-0.264524920000529,0.00490578535866603,-0.534721957715929,3.01066805621751e-09,-0.286733112169917,0.00290482071779767
"ENSG00000125450","NUP85",-0.315445182802145,6.33586459957579e-05,-0.411547741434086,1.34033207847615e-07,-0.240269715937461,0.00516166286366023
"ENSG00000137807","KIF23",-0.28105608023867,0.00528724163009965,-1.21341236739901,9.38505273284584e-34,-0.407587563968776,4.81176032404272e-05
"ENSG00000051180","RAD51",-0.423963511806202,0.00560065241539739,-0.651931386990932,2.14371599353746e-05,-0.570949365112609,0.000192356079718443
"ENSG00000163781","TOPBP1",-0.204428880290613,0.00579685245720085,-0.65441774966391,9.75145173878297e-21,-0.36647539757467,6.89748855756881e-07
"ENSG00000093000","NUP50",-0.288232963719225,0.00052450626414602,-0.673678303986188,7.79992744147892e-17,-0.243228525697899,0.00597557113457516
"ENSG00000167325","RRM1",-0.278007642882123,0.00597895452057568,-0.697753995090404,3.4443036605942e-13,-0.348739097259347,0.000453078391404506
"ENSG00000172775","PSME3IP1",-0.206399892214683,0.00173244161657795,-0.182539741525611,0.00617098835182748,-0.275649476092449,5.71938983945841e-05
"ENSG00000090889","KIF4A",-0.337075992550115,0.00229052882394916,-1.06008807936621,4.02942795607252e-22,-0.300315384133614,0.00726733316690416
"ENSG00000123737","EXOSC9",-0.374868530617173,4.42421831045351e-06,-0.432501098156754,9.38078288260749e-08,-0.230612439941351,0.00945363596818788
"ENSG00000181588","MEX3D",-0.458557140569528,0.000422960278988801,-0.789294111122864,4.1869088728003e-09,-0.335027078575654,0.0106379183420968
"ENSG00000177084","POLE",-0.324116999170652,0.0110829192505913,-0.949492978303594,5.10846676102919e-13,-0.335086742559725,0.00840243039714191
"ENSG00000155506","LARP1",-0.423659546823673,1.1807744269611e-05,-0.256726438259027,0.0111613639959711,-0.378030131915822,0.000118606064425336
"ENSG00000165392","WRN",-0.521902043736465,7.81695251095025e-05,-0.52375020750737,6.70556183234335e-05,-0.331088236026957,0.0115755159650707
"ENSG00000108468","CBX1",-0.369523784689153,7.69698129167327e-05,-0.396164576804473,2.04611413111779e-05,-0.250005095104723,0.0117147864869554
"ENSG00000179981","TSHZ1",-0.315362956984219,0.0133616110629033,-0.72669726302445,1.29012161299861e-08,-0.430505143827527,0.000734314855835848
"ENSG00000131470","PSMC3IP",-0.292997563295093,0.0133999301587774,-0.681841691836564,4.30257815841985e-09,-0.389946672138554,0.000925561867962406
"ENSG00000151835","SACS",-0.309335098893186,0.0141214874971393,-0.723334467102476,2.5245698874778e-09,-0.330532712727505,0.00681977854737862
"ENSG00000149548","CCDC15",-0.422909126684505,0.000219092139455302,-0.415836121931088,0.00028064073226836,-0.292577019886417,0.0141233418164413
"ENSG00000123473","STIL",-0.381027248896346,7.16493512416394e-05,-0.981080147287732,9.50802617013248e-23,-0.252188608934487,0.0148413417236022
"ENSG00000172197","MBOAT1",-0.519302074398511,0.0130533845377795,-1.06963058729687,4.38258608243665e-06,-0.45027206031109,0.0148413417236022
"ENSG00000070366","SMG6",-0.363205030737714,0.000695573244357885,-0.268004074863353,0.0149074629549694,-0.348183836155234,0.00157245579090824
"ENSG00000036257","CUL3",-0.245403669853188,0.00112073960813496,-0.554535673090379,2.42534231726675e-14,-0.197979865726598,0.0162043643850067
"ENSG00000198830","HMGN2",-0.339228570476526,0.0173986288228068,-0.858581946474161,1.2042342198298e-09,-0.440329333762347,0.0012490702922943
"ENSG00000251493","FOXD1",-0.697823677553249,2.70281845053175e-07,-0.325370709564407,0.018740711892934,-0.368721877220672,0.00497801983551561
"ENSG00000088325","TPX2",-0.362040523757059,0.000702969419637797,-1.29790979048351,1.86924339734523e-35,-0.259171451226168,0.018851635969419
"ENSG00000009954","BAZ1B",-0.232514379204486,0.0197501179246645,-0.795712096867136,8.61312611513535e-18,-0.396837637208259,3.29243767747097e-05
"ENSG00000164104","HMGB2",-0.614836140874734,1.15656645843639e-05,-1.09944282306179,5.56580072095621e-15,-0.316707729537453,0.0198682926299805
"ENSG00000013810","TACC3",-0.284409688285581,0.0220458351622295,-1.01737611901278,1.19519638820092e-17,-0.367297162624106,0.00198138022894401
"ENSG00000131504","DIAPH1",-0.201435174955428,0.00723957636850725,-0.284401041994577,7.78411220106043e-05,-0.183108438225125,0.022215981618587
"ENSG00000197724","PHF2",-0.274297770119739,0.0222477222074956,-0.581005373348709,6.46914790506541e-07,-0.498738826885466,3.55400588821853e-05
"ENSG00000111665","CDCA3",-0.386711606230806,0.00494315365664391,-1.10883460365779,1.76744435497777e-15,-0.306395861284675,0.0225875138575343
"ENSG00000196422","PPP1R26",-0.327075377087014,0.0232616782540814,-0.330308219528355,0.0219473954416748,-0.383727282187689,0.00617264640166321
"ENSG00000151503","NCAPD3",-0.215491941494879,0.0195333814937916,-0.986995163159126,5.814955341301e-27,-0.220697347733704,0.0233997805241424
"ENSG00000136122","BORA",-0.629102598583513,0.000238146013413522,-0.730599985660013,2.08814813577652e-05,-0.351156234970159,0.0249208606662429
"ENSG00000138081","FBXO11",-0.200242952190359,0.0259413761028806,-0.56557708736784,1.93479449482645e-11,-0.225491572939828,0.0155514066645781
"ENSG00000116830","TTF2",-0.223283623007799,0.026149944910786,-0.606433627258326,1.59647919325113e-10,-0.348151533621516,0.000451955318352894
"ENSG00000168175","MAPK1IP1L",-0.191001977416643,0.0263823654834307,-0.212678166957115,0.0116968725906194,-0.218778668095607,0.0130874649846726
"ENSG00000236021",NA,-0.863563165347121,0.0214473971369248,-0.785725098645533,0.00927602705280668,-0.45299065025915,0.0273238037551674
"ENSG00000119397","CNTRL",-0.339374598886831,0.0220685401388,-1.03488281094542,6.92600516203059e-12,-0.312087750381199,0.0274657126486398
"ENSG00000139618","BRCA2",-0.28323409169769,0.0282407264763977,-1.04159729648051,1.2252682157635e-16,-0.509442910828063,3.97382009520053e-05
"ENSG00000135913","USP37",-0.528220260515262,3.09598158600695e-07,-0.70079823834211,2.55600987250764e-11,-0.244181725341284,0.0285075174281425
"ENSG00000139350","NEDD1",-0.178194492919736,0.0286672558827852,-0.566574016871383,1.86393176208863e-13,-0.310254108817594,0.000182527758106154
"ENSG00000107581","EIF3A",-0.254914350627721,0.0289341158218719,-0.366716639884329,0.00102072216718835,-0.263161623442787,0.0216157165837142
"ENSG00000077312","SNRPA",-0.208279688533682,0.0289362645196493,-0.404175932156757,5.9299081095959e-06,-0.396164362061867,1.74868138180885e-05
"ENSG00000165304","MELK",-0.449231721174068,7.61300629683431e-05,-0.706148824974713,5.42362067858936e-10,-0.259600600833915,0.0290112333288047
"ENSG00000100162","CENPM",-0.316939968373319,0.0251107333972694,-1.04505247024706,6.42692318552214e-13,-0.300061947237077,0.0290471794527451
"ENSG00000138180","CEP55",-0.281156590671017,0.0179169923792491,-1.02813857323298,2.30184275131819e-19,-0.258622086432185,0.0290943159100733
"ENSG00000109320","NFKB1",-0.219361661272783,0.0302015992602809,-0.516413940476889,6.16005339229768e-08,-0.416314842477802,2.97194490969102e-05
"ENSG00000159055","MIS18A",-0.260759356421153,0.0305194073629735,-0.886001051039901,2.20709610299946e-14,-0.410267830386432,0.000390843470406461
"ENSG00000070423","RNF126",-0.249359268863598,0.030237812238493,-0.24497040270729,0.033293097822401,-0.281953155670903,0.0121593586976865
"ENSG00000116128","BCL9",-0.419132253286156,0.0110087900426225,-0.351095266987892,0.034043492646286,-0.376299817160138,0.0159278140729194
"ENSG00000120254","MTHFD1L",-0.326840119327113,0.000140000652066086,-0.191313102919004,0.0352595444714773,-0.328612155533223,0.000243376530092204
"ENSG00000166845","C18orf54",-0.284372991156997,0.0353517783319732,-0.641659343607484,1.45503463019782e-06,-0.447028971618924,0.00079765231434975
"ENSG00000109805","NCAPG",-0.230819247444794,0.0364496687700276,-1.13580831926985,2.86647989614079e-28,-0.38058085875529,0.000271404538979349
"ENSG00000147649","MTDH",-0.275509401151874,5.06023396271927e-08,-0.115899488036694,0.0367687237880671,-0.2009586765976,0.000255240703130959
"ENSG00000131323","TRAF3",-0.40045064067047,2.2347452590427e-05,-0.29090714322379,0.00257554153776231,-0.216159686496019,0.0384516831930519
"ENSG00000171488","LRRC8C",-0.388562849883294,0.00346071484018022,-0.419516453105648,0.00151138462887483,-0.272842581367085,0.0406944656656129
"ENSG00000196642","RABL6",-0.368177674560923,2.73288947308809e-06,-0.400847851814181,2.91336585590558e-07,-0.181619284358378,0.0413072085203255
"ENSG00000092201","SUPT16H",-0.185179456646657,0.0430475088646736,-0.48490032593672,4.8513696845987e-09,-0.35102401880589,4.84649245340982e-05
"ENSG00000135486","HNRNPA1",-0.330668477902997,2.72790348395271e-05,-0.446250789874527,7.66376432907399e-09,-0.178662290846336,0.0433220914903176
"ENSG00000138658","ZGRF1",-0.617126056139671,0.000121009872851746,-0.961306647263124,8.63911286407972e-09,-0.304151604714713,0.0436914602795617
"ENSG00000135387","CAPRIN1",-0.134883375755035,0.0457570493329036,-0.268101553564167,1.5093940512209e-05,-0.143598865921568,0.0468732348308184
"ENSG00000136492","BRIP1",-0.642421463165767,3.69674701805198e-08,-0.993807859499672,3.63267000602885e-16,-0.243176124285581,0.0469281764365092
"ENSG00000147548","NSD3",-0.285100556464696,1.15798407983159e-05,-0.337781980729319,1.57730230832435e-07,-0.15034842532368,0.047025378112483
"ENSG00000257167","TMPO-AS1",-0.556884785630792,0.00393062225781814,-1.17450343457228,6.16005339229768e-08,-0.333515363972146,0.048457487420548
"ENSG00000124535","WRNIP1",-0.251800083918977,0.0338837861149332,-0.23612253177839,0.0486910334703263,-0.282066835596091,0.0183747127224499
"ENSG00000176208","ATAD5",-0.252220973030163,0.0491569151805818,-1.27089603720528,2.87652180800867e-24,-0.435995973717145,0.000327018276590824
