"ENSEMBL","SYMBOL","log2FoldChange_UVB","padj_UVB","log2FoldChange_UVA","padj_UVA","log2FoldChange_7gy","padj_7gy"
"ENSG00000138411","HECW2",-2.00496192147129,7.02337130256912e-10,-2.05113357377165,4.50804126156555e-10,-2.16802129872813,6.47406717208349e-12
"ENSG00000189221","MAOA",-0.929559502215931,5.5286114785753e-07,-1.38310530510539,2.22379552513165e-13,-1.10502607178265,3.68009567827666e-09
"ENSG00000107731","UNC5B",-1.40941168478099,7.01007335308155e-06,-2.39888133376021,1.57159679146678e-13,-1.63468425719434,3.87554368432076e-07
"ENSG00000078018","MAP2",-1.62283401460192,5.17853423958758e-05,-2.67630020427079,2.37103729679962e-10,-3.28998352305871,9.09314575764744e-15
"ENSG00000176641","RNF152",-0.651949315778641,0.000235662962424628,-1.61762925168776,5.79091996424566e-17,-1.42328793714926,1.04219531599485e-13
"ENSG00000104731","KLHDC4",-0.485843269985917,0.00041445442742685,-1.08738935646367,2.67496522579205e-13,-0.824303368727743,6.04305345910253e-09
"ENSG00000188895","MSL1",-0.342025697012951,7.07332848372845e-05,-0.287534111980099,0.000817082833863946,-0.345229533128341,4.20938633620567e-05
"ENSG00000143294","PRCC",-0.455324447984475,0.00216724061801096,-0.488043811394888,0.0010178143093756,-0.517727917521487,0.000518463032228137
"ENSG00000047936","ROS1",-0.687922789001187,0.00121016297066024,-0.991050845184554,3.01138390704937e-05,-0.617823038648818,0.00228006573462362
"ENSG00000186832","KRT16",-0.521560108040555,0.00228928241056552,-2.9896078796895,5.83542269916627e-56,-2.85979584302781,6.98100533532294e-52
"ENSG00000163082","SGPP2",-0.830413366307837,0.00257146581324616,-4.10045868265657,2.4414674435036e-32,-4.11537957637687,1.38022512225285e-34
"ENSG00000138193","PLCE1",-0.558699487756829,0.00305933125241066,-1.51057921933011,3.53286728132376e-11,-1.07104912855223,4.82251325555529e-07
"ENSG00000231663","COA6-AS1",-1.27649570036957,0.00011211777872438,-0.868456989581323,0.00324180469538599,-1.37261887944131,3.19116955191681e-05
"ENSG00000184368","MAP7D2",-1.2128174260403,0.00370539687384403,-4.88536777524733,1.38390969994687e-07,-2.33851717855419,2.83327238896747e-05
"ENSG00000185483","ROR1",-0.50968684071535,0.00370776485879995,-0.932064512668311,3.3281604641858e-06,-0.839209275186913,8.79790102731295e-06
"ENSG00000197641","SERPINB13",-0.803993725199642,0.0038924278272529,-2.02663188239926,2.82965572399876e-09,-2.20075549870451,9.84555185488759e-11
"ENSG00000201098","RNY1",-0.826878635558758,0.00118808336451808,-0.999418768331256,0.000336519437790688,-0.677135465644261,0.00409320298957181
"ENSG00000143995","MEIS1",-0.642560065787567,0.00467589765584179,-0.676197986958976,0.00418086714469911,-0.843326075341256,0.000460370732311108
"ENSG00000169469","SPRR1B",-1.47434330793634,1.57149316956535e-05,-0.816133363629874,0.00623556851244608,-1.22558796516311,0.000248902896663063
"ENSG00000139970","RTN1",-1.03619711033123,0.00329179277223092,-1.9562939728722,3.43286626836091e-05,-0.88960840970689,0.0063899328638934
"ENSG00000189369","GSPT2",-0.514524203455255,0.00299006097157688,-0.459315771447382,0.00663223916759847,-0.564150564678581,0.000928791410752674
"ENSG00000283227","SPRR5",-1.37511397797767,0.00344952436463551,-2.25308050844517,0.000389059271739796,-1.27812475765323,0.00667718036009126
"ENSG00000171365","CLCN5",-0.413700152725083,0.00639548740557546,-0.390740575842443,0.00853463606962202,-0.433707546531732,0.00369357931932566
"ENSG00000139718","SETD1B",-0.418562888382929,0.00860327628794866,-0.624517191799964,0.000231931333567554,-0.494010693535984,0.00196698030090023
"ENSG00000141084","RANBP10",-0.480121836411288,0.00209804977698945,-0.389278588119458,0.00966375170415398,-0.416535096974991,0.00570644009752197
"ENSG00000143149","ALDH9A1",-0.337008809089955,0.00451259876467413,-0.540209784637451,5.21644745045788e-06,-0.302760564327538,0.00991870940458622
"ENSG00000004660","CAMKK1",-0.550554909482397,0.00577318004684055,-0.498157177959732,0.0105183138665376,-0.627433218717241,0.00168265036907729
"ENSG00000005249","PRKAR2B",-0.660371576359465,0.0129843000609354,-2.26249902089006,5.79497552814166e-08,-2.1826261349982,2.57945296248063e-08
"ENSG00000176387","HSD11B2",-0.557905074367988,0.0131641723661492,-1.09585895164076,0.000124777254553311,-1.59615293798272,5.55768876351644e-08
"ENSG00000132294","EFR3A",-0.21167918429894,0.016462576066244,-0.337246930877915,4.06070948198607e-05,-0.299314368581071,0.000260864454100456
"ENSG00000247828","TMEM161B-DT",-0.449301995981989,0.00687160260219495,-0.37957933276139,0.0177170774175699,-0.467470302224687,0.00460476298117378
"ENSG00000183671","CMKLR2",-0.544700023825129,0.0184436845680634,-2.43601453754688,4.37197853118689e-15,-1.69597059577993,3.09441310927981e-08
"ENSG00000170323","FABP4",-1.23530255082731,0.00405277588071062,-2.41035742465366,0.000162577464918468,-0.809448400846223,0.0193302622835419
"ENSG00000170365","SMAD1",-0.370798548071405,0.00255214368327999,-0.376653394290229,0.0018321145103081,-0.28077703412346,0.0204095267667857
"ENSG00000102554","KLF5",-0.303942966700905,0.0242971465762745,-0.329274366792159,0.0115993740189477,-0.539042641189857,5.93072524222671e-05
"ENSG00000169371","SNUPN",-0.321261234070911,0.0253853598235775,-0.392205576243442,0.00549156142899331,-0.336513352923039,0.0165749439315693
"ENSG00000095787","WAC",-0.140584507728376,0.0260476093009563,-0.142066289169723,0.0205995224210865,-0.250694912607299,8.45319215622904e-06
"ENSG00000145241","CENPC",-0.346470144704916,0.0118949122337018,-0.298258416100207,0.0261998962435202,-0.303955122075064,0.0250646932791888
"ENSG00000169660","HEXD",-1.01226063262275,0.000495748891543064,-1.04831073520951,0.000590844624908991,-0.469263576750733,0.0278571396096587
"ENSG00000289305",NA,-0.548080070617636,0.0296877909939502,-2.1236293867895,1.86460373802455e-07,-1.77959488039779,3.38510882312763e-06
"ENSG00000159208","CIART",-0.537414475218989,0.0297119607079292,-1.15201134429542,0.00120557966124501,-1.35515718125447,0.000147106317446413
"ENSG00000114978","MOB1A",-0.274319978251214,0.00439618773617047,-0.221375354236022,0.0219112884497831,-0.206453179632338,0.0314833504324416
"ENSG00000148459","PDSS1",-0.364249287203642,0.00739094722989745,-0.281538022161606,0.0340180779550827,-0.370578905458943,0.00545344807470874
"ENSG00000164654","MIOS",-0.287268136434699,0.0341587642293798,-0.473787835165439,0.000389272596706043,-0.556672763395575,3.09246438661499e-05
"ENSG00000124151","NCOA3",-0.280493141266648,0.03457252497827,-0.379317011147623,0.00286671502331072,-0.374122656898142,0.0039304072822363
"ENSG00000150433","TMEM218",-0.325452439284675,0.0348644610977734,-0.349976844836021,0.0195923342050798,-0.510840154125577,0.000931491776611015
"ENSG00000127311","HELB",-0.797492835661177,0.00411865801883537,-0.484221334024559,0.0367065763720383,-0.728304400568263,0.00523766587318301
"ENSG00000167186","COQ7",-0.342813508663715,0.0369254852827267,-0.538073889444639,0.00186111886896409,-0.709233143819467,5.2661338402372e-05
"ENSG00000100271","TTLL1",-1.76555743919453,0.000145967258108064,-1.20800142207028,0.0042689901828737,-0.590983021181715,0.0371365534084579
"ENSG00000287080","H3C3",-0.645246500004626,0.0373176838741118,-1.94347495541875,0.0024460024381634,-1.97949656649877,0.00110193923243881
"ENSG00000149646","CNBD2",-0.43779824635165,0.037675146830629,-0.937424434097951,0.000686727786202295,-0.713517390794651,0.00253103572682911
"ENSG00000166833","NAV2",-0.433929753524395,0.0351054590540314,-1.66703899104819,5.25605062396825e-10,-0.411841809355294,0.0409966570630799
"ENSG00000119138","KLF9",-0.442824448904021,0.0412444183834693,-1.09264167119127,0.000187558774575246,-0.764122961836073,0.00249233042371313
"ENSG00000101447","FAM83D",-0.389514819064373,0.0131628164728661,-0.87148315636999,5.6137892957515e-07,-0.315324920835922,0.0428007276734959
"ENSG00000145041","DCAF1",-0.252900978267729,0.043063338833741,-0.293829488654046,0.0138916378038284,-0.529742070393037,1.00415145492256e-05
"ENSG00000136205","TNS3",-0.320446581298689,0.0432674869998789,-0.933429149322489,4.73803230898671e-07,-0.704748094882064,2.51798641614609e-05
"ENSG00000151623","NR3C2",-0.566972644668212,0.0443946767288302,-1.91702451920063,0.000628779347157311,-2.83917500554927,1.93640311247441e-05
"ENSG00000021762","OSBPL5",-0.362973192732575,0.0451698544070978,-0.662800983651059,0.00108064861543379,-0.390153722366834,0.0311395325017391
"ENSG00000134046","MBD2",-0.153736969382796,0.0475249512680511,-0.339152984146902,6.21073197706418e-07,-0.180699040574069,0.0132054014422781
"ENSG00000110851","PRDM4",-0.224849124191699,0.0475270820115438,-0.364987573970155,0.000601455692446464,-0.462208288961558,1.23755133531694e-05
"ENSG00000114120","SLC25A36",-0.3274123765188,0.000547053455283301,-0.194533561502171,0.0477214350502687,-0.33224627723837,0.000343505677593851
"ENSG00000143537","ADAM15",-0.297735675380248,0.0483710028601253,-0.415371697827334,0.00483538557841858,-0.297951932427638,0.0458535182279076
